AT3G10500	NAC_ANAC053_colamp_a
AT3G15500	NAC_ANAC055_col
AT3G17730	NAC_ANAC057_col_a
AT3G17730	NAC_ANAC057_colamp_a
AT3G18400	NAC_ANAC058_col_a
AT3G18400	NAC_ANAC058_colamp_a
AT3G49530	NAC_ANAC062_col
AT3G49530	NAC_ANAC062_colamp_a
AT4G10350	NAC_ANAC070_col
AT4G10350	NAC_ANAC070_colamp_a
AT4G17980	NAC_ANAC071_col_a
AT4G17980	NAC_ANAC071_colamp_a
AT4G29230	NAC_ANAC075_col_a
 AT5G07680	NAC_ANAC079_col
AT5G13180	NAC_ANAC083_col_v3a
AT5G13180	NAC_ANAC083_colamp_a
AT5G18270	NAC_ANAC087_col_v3a
AT5G18270	NAC_ANAC087_colamp_a
AT5G39610	NAC_ANAC092_col_v3a
AT5G39610	NAC_ANAC092_colamp_a
AT5G39820	NAC_ANAC094_col_a
AT5G46590	NAC_ANAC096_col
AT5G46590	NAC_ANAC096_colamp_a
AT5G64060	NAC_ANAC103_col_a
AT5G64060	NAC_ANAC103_colamp_a
AT1G19040	NAC_AT1G19040_col_a
AT1G01720	NAC_ATAF1_col_a
AT3G15170	NAC_CUC1_col_v31
AT5G53950	NAC_CUC2_col
AT5G53950	NAC_CUC2_colamp_a
 AT1G76420	NAC_CUC3_col_a
AT5G04410	NAC_NAC2_col_v3a
AT5G04410	NAC_NAC2_colamp_a
AT1G52880	NAC_NAM_col_v3a
AT1G52880	NAC_NAM_colamp_a
AT1G69490	NAC_NAP_col_v3a
AT1G69490	NAC_NAP_colamp_a
AT2G46770	NAC_NST1_col_v31
AT2G46770	NAC_NST1_colamp_a
AT2G27300	NAC_NTL8_col
AT4G01540	NAC_NTM1_col_a
AT4G01540	NAC_NTM1_colamp_a
AT4G01550	NAC_NTM2_col_b
AT1G79580	NAC_SMB_col_a
AT1G79580	NAC_SMB_colamp_a
AT4G28500	NAC_SND2_col_a
AT4G28500	NAC_SND2_colamp_a
 AT1G28470	NAC_SND3_col_b
 AT1G28470	NAC_SND3_colamp_a
AT2G18060	NAC_VND1_col_a
AT4G36160	NAC_VND2_col_a
AT4G36160	NAC_VND2_colamp_a
AT5G66300	NAC_VND3_col
AT5G66300	NAC_VND3_colamp_a
AT1G12260	NAC_VND4_col
AT1G12260	NAC_VND4_colamp_a
AT5G62380	NAC_VND6_col_v31
AT5G62380	NAC_VND6_colamp_a
AT4G38170	ND_FRS9_col_a
AT4G38170	ND_FRS9_colamp_a
AT1G24250	Orphan_AT1G24250_col_a
AT3G21890	Orphan_BBX31_col_a
AT1G13260	RAV_RAV1_col
AT1G13260	RAV_RAV1_colamp_a
AT1G49480	REM_REM19_col_a
AT1G49480	REM_REM19_colamp_a
AT4G24020	RWPRK_NLP7_col_a
AT1G74480	RWPRK_RKD2_col_a
AT1G74480	RWPRK_RKD2_colamp_a
AT3G09735	S1Falike_AT3G09735_col_a
AT2G47070	SBP_SPL1_col_a
AT2G47070	SBP_SPL1_colamp_a
AT5G50670	SBP_SPL13_col_a
AT1G20980	SBP_SPL14_col_a
AT3G57920	SBP_SPL15_colamp_a
AT3G15270	SBP_SPL5_col_a
AT3G15270	SBP_SPL5_colamp_a
AT2G42200	SBP_SPL9_col_a
AT2G42200	SBP_SPL9_colamp_a
AT1G19790	SRS_SRS7_colamp_a
AT1G69690	TCP_At1g69690_col_a
AT1G72010	TCP_At1g72010_col
AT1G72010	TCP_At1g72010_colamp_a
AT2G45680	TCP_At2g45680_col_b
AT5G08330	TCP_At5g08330_col_a
AT3G27010	TCP_TCP20_col_a
AT1G30210	TCP_TCP24_col
AT1G53230	TCP_TCP3_col
AT5G23280	TCP_TCP7_col_a
AT1G76880	Trihelix_AT1G76880_col_a
AT2G33550	Trihelix_AT2G33550_colamp_a
AT3G10030	Trihelix_AT3G10030_col_a
AT3G10030	Trihelix_AT3G10030_colamp_a
AT3G14180	Trihelix_At3g14180_col
AT3G25990	Trihelix_AT3G25990_colamp_a
AT5G05550	Trihelix_AT5G05550_col_a
AT5G05550	Trihelix_AT5G05550_colamp_a
AT5G47660	Trihelix_AT5G47660_colamp_a
 AT1G13450	Trihelix_GT1_col_a
AT1G76890	Trihelix_GT2_col_a
AT1G76890	Trihelix_GT2_colamp_a
AT5G01380	Trihelix_GT3a_col_a
AT1G33240	Trihelix_GTL1_col_a
AT1G33240	Trihelix_GTL1_colamp_a
AT1G30650	WRKY_WRKY14_col_a
AT1G30650	WRKY_WRKY14_colamp_a
AT2G23320	WRKY_WRKY15_col_b
AT2G23320	WRKY_WRKY15_colamp_a
AT4G31800	WRKY_WRKY18_col_a
AT4G31800	WRKY_WRKY18_colamp_a
AT4G26640	WRKY_WRKY20_col_a
AT2G30590	WRKY_WRKY21_col
AT4G01250	WRKY_WRKY22_col
AT4G01250	WRKY_WRKY22_colamp_a
AT5G41570	WRKY_WRKY24_col_a
AT5G41570	WRKY_WRKY24_colamp_a
AT2G30250	WRKY_WRKY25_col_a
AT2G30250	WRKY_WRKY25_colamp_a
AT5G52830	WRKY_WRKY27_col_a
AT5G52830	WRKY_WRKY27_colamp_a
AT4G18170	WRKY_WRKY28_col_a
AT4G23550	WRKY_WRKY29_col_a
AT4G23550	WRKY_WRKY29_colamp_a
AT2G03340	WRKY_WRKY3_col_a
AT5G24110	WRKY_WRKY30_colamp_a
AT4G22070	WRKY_WRKY31_colamp_a
AT2G38470	WRKY_WRKY33_col_a
AT1G80840	WRKY_WRKY40_col
AT3G01970	WRKY_WRKY45_col_a
AT3G01970	WRKY_WRKY45_colamp_a
AT5G26170	WRKY_WRKY50_col_a
AT2G40740	WRKY_WRKY55_col_a
AT1G62300	WRKY_WRKY6_colamp_a
AT1G29280	WRKY_WRKY65_col_a
AT1G29280	WRKY_WRKY65_colamp_a
AT4G24240	WRKY_WRKY7_col
AT3G56400	WRKY_WRKY70_col
AT1G29860	WRKY_WRKY71_col_a
AT5G13080	WRKY_WRKY75_col_a
AT5G13080	WRKY_WRKY75_colamp_a
AT5G46350	WRKY_WRKY8_col
AT5G46350	WRKY_WRKY8_colamp_a
AT3G42860	zfGRF_AT3G42860_col_a
AT5G39760	ZFHD_ATHB23_col_b
AT5G39760	ZFHD_ATHB23_colamp_a
AT2G18350	ZFHD_ATHB24_col_a
AT2G18350	ZFHD_ATHB24_colamp_a
AT5G65410	ZFHD_ATHB25_col_a
AT5G65410	ZFHD_ATHB25_colamp_a
AT1G14687	ZFHD_AtHB32_col200_a
AT1G75240	ZFHD_ATHB33_col_a
AT1G75240	ZFHD_ATHB33_colamp_a
AT3G28920	ZFHD_ATHB34_col_a
AT3G28920	ZFHD_ATHB34_colamp_a
