ID 	mean_control	mean_IAA	Fold_Changes	logFC	p-value	FDR
AT1G13120	11.74	18.82	1.603	0.681	0.371	0.942
AT1G13160	27.51	56.66	2.06	1.043	0.0206	0.183
AT1G13170	38.52	34.82	0.904	-0.146	0.82	1
AT1G13180	12.28	8.29	0.675	-0.567	0.557	1
AT1G13190	40.56	35.96	0.887	-0.174	0.76	1
AT1G13195	7.25	16.76	2.312	1.209	0.159	0.662
AT1G13210	75.54	99.37	1.315	0.396	0.216	0.766
AT1G13220	23.88	45.57	1.908	0.932	0.0579	0.369
AT1G13245	12.73	12.19	0.957	-0.063	0.983	1
AT1G13250	3.67	4.27	1.163	0.217	0.975	1
AT1G13260	78.13	20.98	0.269	-1.897	8.54E-06	0.000326
