ID 	mean_control	mean_IAA	Fold_Changes	logFC	p-value	FDR
AT2G19670	7.34	22.85	3.113	1.638	0.0321	0.25
AT2G19680	15.77	12.07	0.765	-0.386	0.643	1
AT2G19690	1.77	5.41	3.063	1.615	0.544	1
AT2G19710	36.07	37.72	1.046	0.065	0.917	1
AT2G19720	6.07	5.6	0.923	-0.116	0.984	1
AT2G19730	209.77	253.34	1.208	0.272	0.22	0.771
AT2G19740	57.24	117.16	2.047	1.033	0.00135	0.0233
AT2G19750	27.6	52.17	1.89	0.919	0.0423	0.3
AT2G19760	108.35	84.89	0.783	-0.352	0.246	0.813
AT2G19780	2.45	0.37	0.15	-2.739	0.468	0.999
AT2G19790	29.41	12.31	0.418	-1.257	0.0417	0.298
AT2G19800	151.09	98.65	0.653	-0.615	0.0257	0.214
AT2G19810	12.37	42.42	3.429	1.778	0.00156	0.0261
AT2G19830	43.73	41.48	0.949	-0.076	0.842	1
AT2G19860	18.31	20.11	1.098	0.135	0.882	1
AT2G19870	9.88	17.5	1.771	0.825	0.283	0.857
AT2G19880	32.04	15.6	0.487	-1.038	0.0804	0.456
AT2G19900	1.77	0.43	0.241	-2.054	0.638	1
AT2G19910	0.63	0	0	NA	0.932	1
AT2G19920	0	1.1	Inf	Inf	0.75	1
AT2G19930	9.15	5.36	0.585	-0.774	0.467	0.999
AT2G19940	12.78	15.29	1.196	0.258	0.814	1
AT2G19950	52.21	84.7	1.622	0.698	0.0537	0.352
AT2G19960	0	0.79	Inf	Inf	0.896	1
AT2G19970	8.02	261.38	32.587	5.026	3.25E-40	5.10E-37
AT2G19980	0	0.43	Inf	Inf	1	1
AT2G19990	1.27	36.42	28.705	4.843	1.91E-07	1.13E-05
AT2G20000	20.71	20.31	0.981	-0.028	1	1
AT2G20010	78.17	49.79	0.637	-0.651	0.111	0.552
AT2G20020	6.07	13.77	2.268	1.181	0.219	0.769
AT2G20030	0.59	2.32	3.933	1.976	0.63	1
AT2G20050	47.86	30.39	0.635	-0.655	0.143	0.629
AT2G20060	33.54	37.83	1.128	0.174	0.77	1
AT2G20080	13.1	24.92	1.903	0.928	0.151	0.647
AT2G20100	0.63	6.53	10.286	3.363	0.0941	0.503
AT2G20110	5.48	4.21	0.768	-0.382	0.868	1
AT2G20120	24.43	17.78	0.728	-0.458	0.438	0.984
AT2G20130	23.84	16.81	0.705	-0.504	0.416	0.97
AT2G20140	73.23	76.29	1.042	0.059	0.866	1
AT2G20142	6.21	3.36	0.541	-0.887	0.606	1
AT2G20180	3.72	1.1	0.296	-1.757	0.48	0.999
AT2G20190	142.71	123.15	0.863	-0.213	0.424	0.97
AT2G20210	4.94	4.56	0.924	-0.114	0.997	1
AT2G20230	79.62	44.67	0.561	-0.834	0.0226	0.196
AT2G20240	7.3	6.51	0.893	-0.164	0.916	1
AT2G20250	0.59	1.83	3.11	1.637	0.746	1
AT2G20260	8.47	0.43	0.05	-4.316	0.0144	0.142
AT2G20270	7.79	9.87	1.266	0.341	0.81	1
AT2G20280	47.81	58.89	1.232	0.301	0.487	1
AT2G20290	24.43	17.19	0.704	-0.507	0.434	0.98
AT2G20300	35.85	38.44	1.072	0.101	0.889	1
AT2G20310	12.28	8.29	0.675	-0.567	0.557	1
AT2G20320	28.82	34.8	1.208	0.272	0.591	1
AT2G20330	22.79	36.02	1.58	0.66	0.201	0.74
AT2G20340	3.08	0.37	0.119	-3.072	0.339	0.913
AT2G20360	132.06	93.88	0.711	-0.492	0.0746	0.437
AT2G20362	0.63	0.85	1.342	0.424	1	1
AT2G20370	33.99	28.95	0.852	-0.231	0.663	1
AT2G20390	6.8	10.66	1.569	0.65	0.536	1
AT2G20400	8.61	5.91	0.686	-0.543	0.664	1
AT2G20410	12.73	8.84	0.694	-0.526	0.586	1
AT2G20420	128.93	188.17	1.459	0.545	0.0336	0.259
AT2G20440	6.75	8.17	1.21	0.275	0.846	1
AT2G20450	23.66	89.28	3.774	1.916	2.88E-06	0.000126
AT2G20470	0.59	0	0	NA	0.932	1
AT2G20480	0	0.37	Inf	Inf	1	1
AT2G20490	17.63	48.88	2.773	1.471	0.00378	0.0524
AT2G20495	5.44	4.69	0.863	-0.213	0.945	1
AT2G20500	2.45	4.08	1.667	0.737	0.775	1
AT2G20510	0.63	1.95	3.075	1.62	0.73	1
AT2G20515	18.26	8.59	0.471	-1.087	0.165	0.674
AT2G20520	6.66	2.32	0.348	-1.524	0.307	0.878
AT2G20530	35.62	39.85	1.119	0.162	0.793	1
AT2G20540	0.59	2.62	4.455	2.155	0.544	1
AT2G20550	9.29	5.12	0.551	-0.86	0.466	0.999
AT2G20560	12.78	6.89	0.539	-0.891	0.358	0.935
AT2G20562	0.63	0.43	0.671	-0.576	1	1
AT2G20580	110.21	101.53	0.921	-0.118	0.712	1
AT2G20585	1.22	11.16	9.121	3.189	0.0232	0.2
AT2G20590	1.22	6.22	5.082	2.345	0.196	0.735
AT2G20610	90.41	25.54	0.282	-1.824	2.79E-06	0.000123
AT2G20630	131.19	82.65	0.63	-0.667	0.0237	0.202
AT2G20635	4.21	11.51	2.732	1.45	0.196	0.734
AT2G20650	14.18	10.25	0.723	-0.469	0.649	1
AT2G20670	174.75	45.37	0.26	-1.945	4.15E-10	4.28E-08
AT2G20680	9.15	2.99	0.327	-1.614	0.206	0.746
AT2G20690	5.39	7.2	1.335	0.417	0.79	1
AT2G20710	3.63	8.52	2.351	1.233	0.363	0.938
AT2G20720	0.63	0.37	0.578	-0.792	1	1
AT2G20725	13.01	2.68	0.206	-2.277	0.04	0.291
AT2G20740	17.81	10.43	0.585	-0.772	0.337	0.913
AT2G20750	4.26	0	0	NA	0.0795	0.452
AT2G20760	131.47	106.27	0.808	-0.307	0.262	0.833
AT2G20770	3.13	1.64	0.526	-0.928	0.732	1
AT2G20780	35.71	56.02	1.569	0.65	0.114	0.559
AT2G20790	30.82	22.25	0.722	-0.47	0.43	0.976
AT2G20810	21.84	28.25	1.293	0.371	0.619	1
AT2G20815	4.85	1.89	0.39	-1.358	0.469	0.999
AT2G20820	56.24	52.47	0.933	-0.1	0.817	1
AT2G20830	9.7	19.14	1.974	0.981	0.205	0.746
AT2G20840	9.92	10.36	1.043	0.061	1	1
AT2G20850	14.82	11.34	0.765	-0.386	0.681	1
AT2G20860	34.21	38.46	1.124	0.169	0.74	1
AT2G20880	0.59	0	0	NA	0.932	1
AT2G20890	39.61	18.35	0.463	-1.11	0.0353	0.267
AT2G20900	27.92	43.07	1.543	0.625	0.216	0.766
AT2G20920	12.6	10.72	0.851	-0.233	0.794	1
AT2G20930	6.16	3.17	0.514	-0.96	0.53	1
AT2G20940	5.48	7.86	1.434	0.52	0.706	1
AT2G20950	17.04	4.69	0.275	-1.86	0.0357	0.269
AT2G20960	43.01	23.3	0.542	-0.884	0.121	0.578
AT2G20980	2.4	11.21	4.666	2.222	0.0779	0.448
AT2G20990	205.61	145.33	0.707	-0.501	0.0362	0.271
AT2G21010	25.42	18.41	0.724	-0.466	0.443	0.991
AT2G21030	0	0.37	Inf	Inf	1	1
AT2G21040	12.1	9.33	0.771	-0.375	0.705	1
AT2G21045	34.21	10.43	0.305	-1.714	0.00525	0.067
AT2G21050	12.33	15.1	1.225	0.292	0.806	1
AT2G21060	17.85	45.3	2.537	1.343	0.0128	0.13
AT2G21070	6.71	17.01	2.536	1.343	0.114	0.561
AT2G21080	1.27	1.95	1.537	0.62	0.935	1
AT2G21090	4.85	9.09	1.875	0.907	0.455	0.999
AT2G21100	7.16	5.91	0.826	-0.277	0.845	1
AT2G21120	25.56	30.41	1.19	0.251	0.681	1
AT2G21130	3.81	0.85	0.224	-2.161	0.559	1
AT2G21150	6.75	23.35	3.458	1.79	0.019	0.172
AT2G21160	134	96.67	0.721	-0.471	0.0996	0.52
AT2G21170	97.16	78.3	0.806	-0.311	0.324	0.899
AT2G21180	0	2.86	Inf	Inf	0.3	0.876
AT2G21185	1.81	0.37	0.202	-2.306	0.638	1
AT2G21190	22.48	19.26	0.857	-0.223	0.74	1
AT2G21195	6.71	2.49	0.372	-1.427	0.306	0.878
AT2G21230	30.41	32.47	1.068	0.095	0.885	1
AT2G21240	36.8	26.81	0.729	-0.457	0.376	0.943
AT2G21250	41.56	29.31	0.705	-0.504	0.289	0.866
AT2G21260	6.75	6.58	0.975	-0.036	1	1
AT2G21270	31	35.16	1.134	0.182	0.76	1
AT2G21280	3.76	1.53	0.405	-1.302	0.593	1
AT2G21290	26.74	25.97	0.971	-0.042	0.993	1
AT2G21300	35.89	65.87	1.835	0.876	0.0285	0.23
AT2G21320	0.63	0.79	1.248	0.32	1	1
AT2G21340	9.88	9.75	0.987	-0.019	1	1
AT2G21350	1.27	2.49	1.966	0.975	0.812	1
AT2G21370	4.35	6.83	1.571	0.651	0.618	1
AT2G21380	32.27	45.03	1.396	0.481	0.313	0.886
AT2G21385	7.48	12.86	1.72	0.783	0.386	0.948
AT2G21390	381.94	342.06	0.896	-0.159	0.411	0.968
AT2G21400	0.63	0.73	1.155	0.208	1	1
AT2G21410	80.03	53.59	0.67	-0.579	0.0975	0.514
AT2G21420	0.63	0.73	1.155	0.208	1	1
AT2G21430	0	4.02	Inf	Inf	0.155	0.655
AT2G21440	35.98	91.95	2.555	1.354	0.000313	0.00737
AT2G21470	45.91	50.28	1.095	0.131	0.764	1
AT2G21490	0	0.43	Inf	Inf	1	1
AT2G21500	18.4	12.67	0.689	-0.538	0.471	0.999
AT2G21520	141.25	164.05	1.161	0.216	0.402	0.962
AT2G21540	10.33	1.58	0.153	-2.705	0.0361	0.271
AT2G21550	12.19	7.19	0.59	-0.762	0.413	0.97
AT2G21560	45.95	5.85	0.127	-2.973	1.13E-06	5.58E-05
AT2G21580	147.51	208.32	1.412	0.498	0.0426	0.302
AT2G21590	0	2.98	Inf	Inf	0.47	0.999
AT2G21600	29.05	21.2	0.73	-0.455	0.474	0.999
AT2G21620	54.97	32.06	0.583	-0.778	0.0746	0.437
AT2G21630	4.26	4.14	0.971	-0.042	1	1
AT2G21640	0	1.16	Inf	Inf	0.738	1
AT2G21660	347.36	345.97	0.996	-0.006	1	1
AT2G21710	1.81	4.39	2.419	1.275	0.557	1
AT2G21780	1.9	0	0	NA	0.476	0.999
AT2G21790	38.38	156.13	4.068	2.024	5.35E-10	5.33E-08
AT2G21800	1.22	2.93	2.396	1.261	0.701	1
AT2G21830	21.93	4.2	0.191	-2.386	0.00284	0.0417
AT2G21840	48.67	38.95	0.8	-0.321	0.508	1
AT2G21850	32.4	34.08	1.052	0.073	0.881	1
AT2G21860	4.21	10.12	2.401	1.264	0.278	0.852
AT2G21870	240	227.98	0.95	-0.074	0.753	1
AT2G21880	6.71	0.73	0.109	-3.194	0.0817	0.459
AT2G21940	8.47	10.72	1.265	0.339	0.79	1
AT2G21950	21.12	20.78	0.984	-0.023	0.994	1
AT2G21960	13.91	2.49	0.179	-2.48	0.0165	0.156
AT2G21970	36.98	10.49	0.284	-1.818	0.00208	0.0329
AT2G22000	1.18	0	0	NA	0.638	1
AT2G22010	61.36	50.66	0.826	-0.277	0.517	1
AT2G22070	0.59	7.44	12.622	3.658	0.0636	0.393
AT2G22080	31.36	42.18	1.345	0.428	0.351	0.925
AT2G22090	12.19	14.25	1.169	0.225	0.871	1
AT2G22100	6.8	19.06	2.803	1.487	0.132	0.605
AT2G22120	15.45	13.04	0.844	-0.245	0.802	1
AT2G22122	20.44	12	0.587	-0.768	0.324	0.899
AT2G22125	498.4	309.45	0.621	-0.688	0.000435	0.00959
AT2G22140	0.63	2.99	4.715	2.237	0.461	0.999
AT2G22170	159.79	79.69	0.499	-1.004	0.000306	0.0072
AT2G22230	8.02	24.34	3.035	1.601	0.312	0.883
AT2G22240	5.62	8.84	1.574	0.654	0.552	1
AT2G22250	30	16.81	0.56	-0.836	0.145	0.633
AT2G22260	4.31	4.02	0.934	-0.099	1	1
AT2G22270	6.21	10.97	1.767	0.821	0.42	0.97
AT2G22290	1.27	0	0	NA	0.63	1
AT2G22300	99.06	130.96	1.322	0.403	0.341	0.915
AT2G22310	7.89	12.44	1.577	0.657	0.495	1
AT2G22330	226.63	73.28	0.323	-1.629	0.00141	0.0241
AT2G22360	7.48	9.81	1.312	0.392	0.716	1
AT2G22370	9.11	7.61	0.836	-0.259	0.826	1
AT2G22400	39.15	97.1	2.48	1.31	0.0054	0.0683
AT2G22410	0.63	5.41	8.534	3.093	0.304	0.878
AT2G22420	2.45	5.36	2.188	1.13	0.551	1
AT2G22425	4.89	7.98	1.63	0.705	0.601	1
AT2G22430	88.23	77.26	0.876	-0.192	0.562	1
AT2G22450	14.27	13.39	0.938	-0.092	0.956	1
AT2G22460	4.4	5.06	1.151	0.203	0.939	1
AT2G22470	78.17	14.14	0.181	-2.467	3.29E-08	2.25E-06
AT2G22475	30.73	33.59	1.093	0.128	0.798	1
AT2G22480	61	35.35	0.579	-0.787	0.0559	0.361
AT2G22490	36.89	33.15	0.899	-0.154	0.74	1
AT2G22500	23.16	10.55	0.455	-1.135	0.102	0.527
AT2G22510	9.11	21.2	2.327	1.218	0.114	0.56
AT2G22530	10.38	8.71	0.84	-0.252	0.831	1
AT2G22540	2.45	0.85	0.348	-1.524	0.624	1
AT2G22560	23.97	15.9	0.663	-0.592	0.357	0.934
AT2G22570	15.73	23.32	1.483	0.569	0.431	0.978
AT2G22590	3.67	0	0	NA	0.12	0.578
AT2G22600	1.9	6.58	3.46	1.791	0.254	0.819
AT2G22610	13.91	36.58	2.629	1.395	0.0162	0.154
AT2G22620	4.8	4.27	0.888	-0.171	0.984	1
AT2G22630	7.25	10.41	1.436	0.522	0.666	1
AT2G22640	11.65	2.98	0.256	-1.967	0.0647	0.398
AT2G22650	0.59	7.44	12.622	3.658	0.0636	0.393
AT2G22660	212.59	229.87	1.081	0.113	0.668	1
AT2G22670	61	240.81	3.948	1.981	4.69E-13	7.15E-11
AT2G22680	19.99	54.59	2.732	1.45	0.00291	0.0424
AT2G22690	9.7	8.17	0.842	-0.248	0.853	1
AT2G22720	50.35	54.66	1.086	0.119	0.769	1
AT2G22730	0.59	0	0	NA	0.932	1
AT2G22740	23.66	24.26	1.025	0.036	1	1
AT2G22750	1.9	5.67	2.982	1.576	0.369	0.942
AT2G22760	1.77	1.58	0.896	-0.158	1	1
AT2G22770	82.07	33.14	0.404	-1.308	0.000556	0.0117
AT2G22780	71.6	57.22	0.799	-0.324	0.379	0.943
AT2G22790	2.45	2.07	0.845	-0.242	1	1
AT2G22795	105.59	69.03	0.654	-0.613	0.0495	0.336
AT2G22800	13.37	3.05	0.228	-2.132	0.044	0.308
AT2G22830	3.63	0.73	0.202	-2.306	0.365	0.939
AT2G22840	16.95	11.59	0.684	-0.549	0.49	1
AT2G22850	3.58	2.26	0.631	-0.665	0.799	1
AT2G22860	4.94	3.23	0.653	-0.614	0.74	1
AT2G22870	1.22	5.43	4.435	2.149	0.268	0.841
AT2G22880	0	0.79	Inf	Inf	0.896	1
AT2G22890	0.63	0	0	NA	0.932	1
AT2G22900	20.71	32.46	1.567	0.648	0.268	0.841
AT2G22905	1.81	0	0	NA	0.423	0.97
AT2G22910	18.81	21.4	1.138	0.186	0.803	1
AT2G22920	11.01	10.9	0.99	-0.015	1	1
AT2G22930	12.1	0.85	0.07	-3.829	0.00409	0.0554
AT2G22950	1.22	0	0	NA	0.634	1
AT2G22970	37.98	40.89	1.077	0.107	0.833	1
AT2G22980	4.94	7.19	1.455	0.541	0.713	1
AT2G22990	13.46	3.17	0.235	-2.087	0.0436	0.307
AT2G23000	1.18	1.28	1.084	0.116	1	1
AT2G23010	0	1.28	Inf	Inf	0.716	1
AT2G23030	1.86	27.7	14.907	3.898	0.0146	0.143
AT2G23040	0	1.28	Inf	Inf	0.716	1
AT2G23050	12.01	10.6	0.883	-0.18	0.858	1
AT2G23060	1.9	55.2	29.001	4.858	8.15E-11	9.36E-09
AT2G23070	68.75	116.92	1.701	0.766	0.0146	0.143
AT2G23080	11.06	18.11	1.638	0.712	0.334	0.91
AT2G23090	62.67	42.64	0.68	-0.556	0.145	0.633
AT2G23093	3.04	2.38	0.783	-0.354	0.95	1
AT2G23100	0.63	2.13	3.354	1.746	0.735	1
AT2G23120	133.23	65.12	0.489	-1.033	0.000815	0.0157
AT2G23130	1.9	0	0	NA	0.476	0.999
AT2G23140	31.99	21.69	0.678	-0.561	0.319	0.892
AT2G23150	10.83	14.21	1.312	0.392	0.673	1
AT2G23170	32.49	1698.18	52.264	5.708	6.35E-48	1.62E-44
AT2G23180	0	2.8	Inf	Inf	0.305	0.878
AT2G23200	12.78	7.45	0.583	-0.779	0.461	0.999
AT2G23290	6.16	4.33	0.702	-0.51	0.762	1
AT2G23300	10.2	26.08	2.558	1.355	0.0537	0.352
AT2G23310	16.54	24.97	1.509	0.594	0.375	0.943
AT2G23320	13.37	18.23	1.364	0.447	0.551	1
AT2G23340	8.07	2.38	0.295	-1.763	0.198	0.737
AT2G23350	167.22	299.3	1.79	0.84	0.000452	0.00984
AT2G23360	13.96	30.54	2.188	1.129	0.0663	0.403
AT2G23370	9.88	6.47	0.655	-0.611	0.622	1
AT2G23380	25.11	25.27	1.007	0.01	1	1
AT2G23390	13.19	8.71	0.661	-0.598	0.545	1
AT2G23410	0	0.37	Inf	Inf	1	1
AT2G23420	9.74	11.28	1.158	0.211	0.86	1
AT2G23430	0.59	0	0	NA	0.932	1
AT2G23450	51.34	152.58	2.972	1.571	4.46E-07	2.40E-05
AT2G23460	53.38	124.93	2.34	1.227	0.000132	0.00356
AT2G23470	1.18	4.5	3.822	1.935	0.406	0.966
AT2G23510	0.59	0	0	NA	0.932	1
AT2G23520	28.1	36.45	1.297	0.375	0.462	0.999
AT2G23530	2.4	15.49	6.448	2.689	0.0139	0.138
AT2G23540	63.22	59.69	0.944	-0.083	0.823	1
AT2G23550	0	0.37	Inf	Inf	1	1
AT2G23560	5.98	1.83	0.306	-1.707	0.363	0.937
AT2G23590	1.81	0	0	NA	0.423	0.97
AT2G23600	27.01	12.29	0.455	-1.135	0.0653	0.399
AT2G23610	22.66	7.86	0.347	-1.527	0.0376	0.279
AT2G23620	47.9	28.9	0.603	-0.729	0.131	0.602
AT2G23630	2.54	1.28	0.503	-0.991	0.807	1
AT2G23670	2.49	4.27	1.712	0.776	0.703	1
AT2G23680	0.63	2.55	4.025	2.009	0.671	1
AT2G23690	3.67	0.37	0.1	-3.324	0.244	0.81
AT2G23700	10.79	21.74	2.016	1.011	0.262	0.833
AT2G23740	19.17	41.86	2.184	1.127	0.0292	0.235
AT2G23755	2.49	4.21	1.689	0.756	0.706	1
AT2G23760	9.24	1.95	0.211	-2.245	0.0913	0.493
AT2G23770	22.07	17.44	0.79	-0.34	0.647	1
AT2G23780	28.23	19.68	0.697	-0.52	0.384	0.947
AT2G23790	64.76	171.81	2.653	1.408	1.24E-06	6.07E-05
AT2G23810	85.2	61.98	0.728	-0.459	0.178	0.701
AT2G23820	10.42	4.75	0.456	-1.133	0.295	0.871
AT2G23890	15.77	19.19	1.217	0.283	0.748	1
AT2G23910	32.49	4.44	0.137	-2.87	0.0182	0.166
AT2G23930	22.16	61.6	2.78	1.475	0.00115	0.0206
AT2G23940	14.73	15.84	1.076	0.105	0.937	1
AT2G23950	16.41	14.64	0.892	-0.165	0.882	1
AT2G23960	1.27	0.37	0.289	-1.792	0.857	1
AT2G23980	36.98	35.35	0.956	-0.065	0.904	1
AT2G23985	1.18	1.53	1.294	0.372	1	1
AT2G24020	4.94	4.56	0.924	-0.114	0.997	1
AT2G24030	1.22	2.86	2.338	1.225	0.715	1
AT2G24040	3.63	4.69	1.295	0.372	0.896	1
AT2G24050	20.48	52.1	2.543	1.347	0.00483	0.0627
AT2G24060	9.7	11.03	1.137	0.186	0.907	1
AT2G24070	1.77	4.52	2.555	1.353	0.535	1
AT2G24090	17.27	10.31	0.597	-0.744	0.632	1
AT2G24100	23.66	12.07	0.51	-0.971	0.148	0.64
AT2G24120	20.94	19.49	0.931	-0.103	0.912	1
AT2G24140	1.22	1.16	0.947	-0.079	1	1
AT2G24150	22.11	25.96	1.174	0.231	0.707	1
AT2G24170	31	15.29	0.493	-1.02	0.0718	0.427
AT2G24180	37.25	21.56	0.579	-0.789	0.122	0.579
AT2G24190	6.66	6.22	0.933	-0.099	1	1
AT2G24200	178.05	113.71	0.639	-0.647	0.0127	0.129
AT2G24220	0	1.47	Inf	Inf	0.614	1
AT2G24230	24.34	19.36	0.796	-0.33	0.564	1
AT2G24240	12.87	5.18	0.402	-1.314	0.174	0.691
AT2G24250	2.49	2.98	1.195	0.257	1	1
AT2G24260	55.51	31.04	0.559	-0.838	0.224	0.777
AT2G24270	2.45	0.85	0.348	-1.524	0.624	1
AT2G24280	27.92	24.25	0.869	-0.203	0.709	1
AT2G24290	20.71	13.17	0.636	-0.653	0.363	0.938
AT2G24300	24.52	10.85	0.443	-1.176	0.0878	0.48
AT2G24310	0	1.64	Inf	Inf	0.583	1
AT2G24330	14.68	32.36	2.204	1.14	0.0561	0.362
AT2G24360	84.65	72.11	0.852	-0.231	0.51	1
AT2G24390	7.21	5.37	0.745	-0.425	0.773	1
AT2G24395	1.27	1.28	1.006	0.009	1	1
AT2G24420	63.04	27.91	0.443	-1.175	0.00579	0.0725
AT2G24430	7.34	10.91	1.486	0.572	0.579	1
AT2G24440	2.45	8.41	3.435	1.78	0.205	0.746
AT2G24460	0	0.37	Inf	Inf	1	1
AT2G24470	0	7.19	Inf	Inf	0.0261	0.215
AT2G24490	13.14	10.47	0.797	-0.327	0.765	1
AT2G24500	32.09	64.36	2.006	1.004	0.0177	0.164
AT2G24520	6.12	9.81	1.604	0.682	0.545	1
AT2G24530	13.91	7.02	0.505	-0.986	0.415	0.97
AT2G24540	5.44	3.29	0.604	-0.727	0.629	1
AT2G24550	94.53	71.31	0.754	-0.407	0.291	0.868
AT2G24570	86.51	36.79	0.425	-1.234	0.000784	0.0153
AT2G24580	58.41	14.75	0.253	-1.985	5.09E-05	0.00159
AT2G24590	13.41	23.82	1.776	0.828	0.226	0.78
AT2G24592	1.18	0.43	0.361	-1.469	0.856	1
AT2G24600	1.27	2.68	2.115	1.081	0.725	1
AT2G24610	42.73	24.8	0.58	-0.785	0.107	0.54
AT2G24630	9.88	8.48	0.858	-0.221	0.911	1
AT2G24640	24.83	25.55	1.029	0.041	0.975	1
AT2G24650	18.85	8.65	0.459	-1.123	0.142	0.627
AT2G24680	1.9	4.81	2.528	1.338	0.485	1
AT2G24690	14.91	19.55	1.311	0.391	0.587	1
AT2G24692	4.76	7.07	1.486	0.571	0.723	1
AT2G24700	0.59	0	0	NA	0.932	1
AT2G24710	0	0.37	Inf	Inf	1	1
AT2G24762	8.57	6.7	0.783	-0.354	0.79	1
AT2G24765	16	20.71	1.295	0.373	0.606	1
AT2G24790	54.74	44.51	0.813	-0.299	0.495	1
AT2G24820	12.87	8.71	0.677	-0.563	0.542	1
AT2G24830	12.96	20.36	1.571	0.651	0.35	0.924
AT2G24850	4.89	0.37	0.075	-3.739	0.124	0.581
AT2G24860	4.4	2.68	0.611	-0.712	0.772	1
AT2G24960	11.01	14.68	1.333	0.415	0.647	1
AT2G24970	0	2.44	Inf	Inf	0.377	0.943
AT2G24980	183.99	39.75	0.216	-2.211	4.05E-13	6.21E-11
AT2G24990	21.62	52.31	2.42	1.275	0.0181	0.166
AT2G25000	10.47	1.1	0.105	-3.251	0.0216	0.19
AT2G25010	14.5	12.82	0.884	-0.178	0.923	1
AT2G25050	6.66	9.93	1.491	0.576	0.63	1
AT2G25060	4.8	6.1	1.27	0.345	0.854	1
AT2G25070	48.53	31.75	0.654	-0.612	0.185	0.714
AT2G25080	26.24	16.02	0.61	-0.712	0.573	1
AT2G25090	13.01	1.1	0.085	-3.564	0.00772	0.0898
AT2G25100	3.13	6.58	2.106	1.074	0.454	0.999
AT2G25110	43.73	51.66	1.181	0.24	0.616	1
AT2G25130	6.75	11.28	1.67	0.74	0.46	0.999
AT2G25140	35.03	44.2	1.262	0.336	0.436	0.982
AT2G25150	4.98	0	0	NA	0.0509	0.341
AT2G25160	66.8	8.36	0.125	-2.999	6.55E-09	5.33E-07
AT2G25170	90.23	119.92	1.329	0.41	0.163	0.671
AT2G25180	23.38	19.73	0.844	-0.245	0.771	1
AT2G25190	10.33	4.44	0.43	-1.217	0.25	0.816
AT2G25200	1.22	11.1	9.073	3.182	0.0236	0.202
AT2G25210	51.48	83.64	1.625	0.7	0.0538	0.353
AT2G25220	9.65	1.7	0.176	-2.503	0.0477	0.327
AT2G25240	9.56	1.58	0.166	-2.594	0.158	0.661
AT2G25250	7.39	9.32	1.261	0.335	0.816	1
AT2G25260	12.87	6.82	0.53	-0.916	0.319	0.892
AT2G25270	7.3	19.67	2.696	1.431	0.0825	0.461
AT2G25280	28.73	19.13	0.666	-0.587	0.304	0.878
AT2G25290	12.87	8.35	0.648	-0.625	0.495	1
AT2G25300	4.98	4.44	0.892	-0.165	0.995	1
AT2G25310	37.79	30.17	0.798	-0.325	0.521	1
AT2G25320	78.72	77.36	0.983	-0.025	0.916	1
AT2G25330	6.07	7.92	1.304	0.383	0.804	1
AT2G25350	10.92	6.7	0.614	-0.704	0.482	1
AT2G25355	6.03	10.97	1.82	0.864	0.424	0.971
AT2G25410	0.59	0	0	NA	0.932	1
AT2G25420	8.61	15.59	1.811	0.857	0.323	0.899
AT2G25430	153.94	125.06	0.812	-0.3	0.269	0.843
AT2G25450	667.62	98.62	0.148	-2.759	1.06E-39	1.55E-36
AT2G25460	13.37	48.23	3.608	1.851	0.00805	0.0923
AT2G25480	9.2	10.17	1.105	0.144	0.973	1
AT2G25490	160.24	250.02	1.56	0.642	0.00607	0.0752
AT2G25510	1.27	0	0	NA	0.63	1
AT2G25520	116.83	222.7	1.906	0.931	0.000191	0.0049
AT2G25530	23.47	20.35	0.867	-0.206	0.755	1
AT2G25540	9.02	0.73	0.081	-3.621	0.0258	0.214
AT2G25560	11.56	12.98	1.123	0.168	0.898	1
AT2G25570	7.48	9.02	1.206	0.271	0.822	1
AT2G25580	7.89	18.52	2.349	1.232	0.133	0.607
AT2G25590	28.32	19.01	0.671	-0.575	0.335	0.911
AT2G25600	0.59	0	0	NA	0.932	1
AT2G25605	2.36	2.44	1.033	0.047	1	1
AT2G25610	29.23	26.28	0.899	-0.153	0.831	1
AT2G25620	16.31	12.55	0.77	-0.378	0.627	1
AT2G25630	1.81	0.43	0.235	-2.091	0.637	1
AT2G25640	13.37	32.79	2.453	1.295	0.032	0.25
AT2G25650	26.51	25.14	0.948	-0.076	0.92	1
AT2G25660	59.55	53.7	0.902	-0.149	0.743	1
AT2G25670	76.27	133.62	1.752	0.809	0.103	0.528
AT2G25680	4.85	8.61	1.775	0.828	0.602	1
AT2G25690	2.45	8.05	3.29	1.718	0.215	0.764
AT2G25700	0	1.95	Inf	Inf	0.482	0.999
AT2G25710	18.44	33.51	1.817	0.862	0.124	0.581
AT2G25720	4.89	6.58	1.345	0.428	0.783	1
AT2G25730	145.15	147.54	1.016	0.024	0.927	1
AT2G25735	0	0.43	Inf	Inf	1	1
AT2G25737	2.99	4.21	1.407	0.493	0.849	1
AT2G25740	7.98	17.31	2.17	1.118	0.176	0.695
AT2G25760	37.25	58.38	1.567	0.648	0.124	0.581
AT2G25770	1.18	0	0	NA	0.638	1
AT2G25790	22.61	93.4	4.13	2.046	5.12E-07	2.72E-05
AT2G25800	66.16	63.38	0.958	-0.062	0.897	1
AT2G25810	6.71	0	0	NA	0.0148	0.144
AT2G25830	5.44	8.1	1.489	0.574	0.7	1
AT2G25840	3.67	10.66	2.905	1.539	0.186	0.715
AT2G25850	49.62	43.81	0.883	-0.18	0.69	1
AT2G25870	18.85	44.06	2.337	1.225	0.0184	0.168
