ID	logFC_0.5h	FDR_0.5h	logFC_1h	FDR_1h	logFC_2h	FDR_2h	logFC_4h	FDR_4h	logFC_8h	FDR_8h	logFC_12h	FDR_12h	logFC_24h	FDR_24h
AT1G01360	0.089549783	0.896737782	-0.167082377	0.936399297	-0.574309983	0.390009968	-0.0603217	0.84903837	0.00969644	0.980252455	0.002884254	0.991801223	0.037209183	0.957269207
AT1G01370	-0.119956975	0.893222579	0.207068274	0.907429266	0.049431449	0.930529096	0.320259831	0.198496208	0.464783812	0.052399976	0.4863474	0.072555417	0.315846208	0.579362965
AT1G01380	-0.418452463	0.73729986	0.125048591	0.930231292	0.258239441	0.551301159	-0.325595433	0.292733236	-0.635392479	0.080347553	-0.138881047	0.700091146	-0.252142723	0.552770725
AT1G01390	0.074445984	0.862140419	0.138512433	0.959458645	-0.036528145	0.880219761	0.049069622	0.861853261	-0.144708897	0.463282961	-0.16044167	0.622253851	-0.055392818	0.866907813
AT1G01410	-0.028929056	0.965106705	0.019423851	0.987311436	-0.055977474	0.882757409	-0.14995428	0.267490385	-0.135556889	0.49891694	-0.175297137	0.529006982	0.039347823	0.888192118
AT1G01420	-0.34325237	0.581794534	-0.054172955	0.987911254	-0.672504139	0.283987352	-0.763847791	0.246186729	-0.88724045	0.001660794	-0.797858198	0.043665868	-0.296293571	0.400408537
AT1G01430	0.056888929	0.940229313	-0.010741865	0.997461788	-0.790653906	0.092798765	-0.571470318	0.016775311	-0.139639606	0.575549693	-0.040071417	0.86518842	-0.794977199	0.107298877
AT1G01440	-0.222361241	0.772445961	-0.114232725	0.968276889	-0.203964173	0.773134791	-0.132307001	0.710836138	-0.13585885	0.581350401	-0.172593995	0.619992447	-0.283039742	0.582329733
AT1G01450	-0.038227457	0.94101166	0.157771085	0.872378953	-0.039562023	0.940819791	0.166811336	0.382126752	0.030590175	0.874380659	-0.234665612	0.400198602	0.013572341	0.974783844
AT1G01460	-0.170631117	0.8114267	0.049486648	0.97499882	-0.033200048	0.947210949	0.000163939	0.999592722	0.076265682	0.746640487	0.140387457	0.54207329	-0.009585505	0.990001058
AT1G01470	0.392759856	0.690039263	0.223360741	0.907029117	0.385353971	0.479470801	0.110952402	0.708035595	0.321978594	0.292389863	0.541943273	0.273601645	0.359774846	0.411350616
AT1G01480	0.269333216	0.769428443	-0.245315053	0.899555466	-0.294130247	0.565331088	0.065208836	0.874313029	-0.274523123	0.360134761	-0.613211244	0.068811975	-0.39999325	0.523338958
AT1G01490	0.110288967	0.915119612	0.250702308	0.828525532	-0.045489749	0.929925411	-0.788134884	0.004664192	-0.648634486	0.008468606	-0.535004075	0.111857435	-0.085003889	0.903675017
AT1G01500	0.258498385	0.727233261	0.020206933	0.992956458	0.003827937	0.994033799	-0.141510263	0.643832652	-0.331029872	0.149629064	-0.464568272	0.099174634	-0.136165008	0.792749968
AT1G01510	0.001928231	0.997719648	0.034317943	0.986008083	0.165136107	0.644700799	0.103121912	0.628071975	0.154642358	0.429644319	0.13480223	0.501458246	-0.019305647	0.97018475
AT1G01520	0.075201425	0.837588001	0.167071561	0.755252602	0.024880549	0.904769543	-0.103689685	0.476437999	0.085478512	0.648632795	0.075046388	0.705097624	-0.039586153	0.931443322
AT1G01530	0.055220544	0.910573111	0.086462779	0.908767573	-0.012302266	0.965714224	-0.118823874	0.434501123	-0.081774445	0.669210248	-0.163798021	0.430891386	-0.006832244	0.986477238
AT1G01540	-0.129115586	0.872497901	0.173362664	0.879780676	-0.432234187	0.219452504	-0.334189904	0.106191483	-0.113558869	0.586956793	0.026668958	0.921750267	0.004591299	0.993367144
AT1G01550	0.10407787	0.85867606	-0.11128444	0.943902626	0.190370563	0.618256636	0.369973345	0.045585183	0.38570247	0.047472709	0.424089801	0.015442145	0.354808333	0.15570749
AT1G01560	-0.276597416	0.74051404	-1.057837135	0.685278152	-0.254249511	0.761474261	0.073963391	0.750943874	0.064498397	0.785042262	0.425447501	0.613856798	1.598392565	0.021011185
AT1G01570	-0.377980146	0.392984424	-0.479288102	0.654207853	-0.348792631	0.460694163	-0.466413143	0.110813853	-0.11968874	0.675434708	-0.297571547	0.231136923	-0.680486552	0.242354205
AT1G01600	-0.002621437	0.997719648	-0.642810436	0.528287296	-0.651101881	0.256965879	0.543993354	0.348696201	0.848774316	0.004422832	0.235277112	0.610639058	0.415967408	0.52910808
AT1G01610	0.063706898	0.962567956	-0.398024351	0.421550457	-0.663063356	0.079543561	-0.134033767	0.608817475	0.300955492	0.190484415	-0.354335784	0.477407473	-0.827987874	0.140839747
AT1G01620	-0.326784774	0.697879509	0.01679884	0.997006706	-0.973367875	0.228867054	-1.621174109	0.001635466	-0.649229863	0.046633881	-0.548771882	0.189770975	-0.601511857	0.368320977
AT1G01630	-0.046615752	0.948126837	-0.059247451	0.986008083	0.017210583	0.976947935	0.159117917	0.540965508	0.184088703	0.377297729	0.453781762	0.069135779	-0.067518076	0.915071411
AT1G01640	-0.18605156	0.839672857	-0.387911342	0.879780676	-0.322372421	0.434945386	-0.54634955	0.089249685	0.508687479	0.024836678	0.537781159	0.006496304	0.095312718	0.844360456
AT1G01650	0.351652529	0.483755894	0.314166773	0.851112518	0.304644858	0.481924986	0.515412596	0.053829359	0.363579868	0.10388251	0.45422702	0.096439218	0.065752076	0.888723307
AT1G01660	0.064407915	0.940472318	0.432015888	0.513365889	0.144974629	0.68188143	0.2881161	0.229055862	-0.000833771	0.997148469	0.024984678	0.96472404	0.149196557	0.759033794
AT1G01670	0.171335831	0.852535189	-0.060954686	0.975605803	0.089180613	0.822147068	-0.169480578	0.497519482	-0.056110758	0.83698736	-0.007389692	0.98290696	-0.066989779	0.92806877
AT1G01690	0.146997911	0.833615473	-0.009406065	0.996451614	-0.132667664	0.632357594	-0.063245911	0.856454252	-0.154475037	0.642089072	-0.302634042	0.478003147	0.065935633	0.926193328
AT1G01700	-0.072525342	0.933861169	-0.082030191	0.943469121	0.102959485	0.689232104	-0.031988356	0.881482988	-0.128824312	0.491880053	-0.145763725	0.330195563	-0.1053674	0.71985357
AT1G01710	0.210384182	0.703301184	0.041639467	0.985234455	-0.009128254	0.986161678	-0.038208163	0.895668035	-0.112965117	0.611669388	-0.166770986	0.635302395	0.015312338	0.984136298
AT1G01720	0.114163096	0.859705289	-0.29947541	0.861910419	0.174135691	0.696496756	-0.596246698	0.05425473	-0.755253072	0.00654087	-0.868959764	0.008242668	0.539745065	0.229674126
AT1G01725	-0.209877737	0.823396197	-0.291174539	0.889887204	-0.09713642	0.788475212	-0.186249204	0.48322413	-0.087363072	0.737924332	0.173698585	0.635812727	0.141217041	0.802329773
AT1G01730	-0.150433135	0.803049317	-0.140949806	0.918315676	0.107162818	0.816039308	0.124029867	0.62006794	0.229467843	0.219606919	0.380767689	0.153324651	0.04181231	0.928012549
AT1G01740	0.082789469	0.931926028	0.040701546	0.985602874	0.319693752	0.418813442	0.395892964	0.194712759	0.113468268	0.786101291	-0.256768009	0.276891482	0.0449428	0.947428401
AT1G01750	-0.255812587	0.889878878	0.268204824	0.939997501	-0.322394868	0.612433486	-0.842250711	0.028262112	-1.610640547	0.008297505	-1.842248199	0.034368564	-0.466860478	0.543108785
AT1G01760	0.068985133	0.940208869	0.077455522	0.977959059	-0.331530795	0.432625365	-0.076340687	0.810971224	-0.267235391	0.479058589	-0.222537651	0.721027937	0.018999177	0.975903226
AT1G01770	-0.157067738	0.920064981	0.18812342	0.970777542	0.501134703	0.237266003	0.113696351	0.838171642	0.624241377	0.042361717	0.211617286	0.385260157	0.697974092	0.240786343
AT1G01780	-0.280117265	0.692270109	-0.036155457	0.98770452	-0.660959627	0.169306268	-0.769039048	0.083995321	-0.432976432	0.299061636	-0.656335888	0.121609351	-0.284142695	0.653683553
AT1G01790	0.073398471	0.943146689	0.169482578	0.911853	0.00049377	0.999746268	0.007192223	0.987136838	-0.06429679	0.788800078	0.121293046	0.709439537	-0.23486483	0.667488049
AT1G01800	0.100253449	0.908473569	-0.109555887	0.952901431	-0.061347461	0.910067712	-0.048910466	0.841140334	-0.084130854	0.703155131	-0.028778304	0.912297506	-0.057212996	0.891681075
AT1G01820	-0.156459456	0.817018554	-0.113276565	0.932858394	0.148707942	0.762852792	0.091987808	0.688806212	0.012835136	0.964691501	0.075554867	0.68513864	-0.085410037	0.86034978
AT1G01830	-0.096385395	0.949338586	-0.066514769	0.986008083	-0.329444018	0.478408472	0.215676294	0.574411663	0.098685381	0.762199761	0.300153569	0.235695649	-0.015833513	0.978775009
