ID	logFC_0.5h	FDR_0.5h	logFC_1h	FDR_1h	logFC_2h	FDR_2h	logFC_4h	FDR_4h	logFC_8h	FDR_8h	logFC_12h	FDR_12h	logFC_24h	FDR_24h
AT1G68470	-0.023020208	0.98243463	-0.281200292	0.817191206	-0.307591069	0.590745405	0.43350538	0.33935721	0.241543508	0.416204055	0.264713838	0.433402769	0.519199559	0.274036796
AT1G68480	0.140082365	0.870594806	-0.017229632	0.992224975	0.086827714	0.762973153	-0.206322861	0.323201214	-0.050776062	0.780802255	-0.006095886	0.985262535	0.038343359	0.909079257
AT1G68490	-0.216246282	0.698650191	-0.50338733	0.448921771	-0.41685704	0.199049077	-0.237617692	0.384631501	-0.149806955	0.482902381	0.165124604	0.529006982	0.078722721	0.848180939
AT1G68500	0.274782948	0.870594806	0.788634712	0.277832467	0.33705047	0.721849301	0.056647372	0.973519628	-1.024883618	0.112680103	-1.00331863	0.091185167	-0.573914281	0.19188025
AT1G68510	-0.064766186	0.90346586	-0.119342189	0.930066563	-0.037892719	0.914092221	-0.056339799	0.816978385	0.036478945	0.864111546	0.111333781	0.651404465	0.164226512	0.588767309
AT1G68520	-0.130055838	0.943403708	0.231145445	0.899757498	-0.008031268	0.985027159	-0.025946468	0.945425625	-0.081639987	0.654093896	-0.147099065	0.524217806	-0.005323953	0.989639826
AT1G68530	-0.041372302	0.983900311	-0.167271943	0.938584844	0.149012523	0.72761071	0.043187512	0.947838631	-0.036553516	0.951055108	-0.142514457	0.813335191	0.675328429	0.094150258
AT1G68540	-0.143995461	0.858248137	-0.240469937	0.878553782	-0.869978933	0.205041078	-0.592828138	0.062932529	-0.222002846	0.425903803	-0.12357844	0.780768003	0.079860843	0.898968163
AT1G68550	-0.134665313	0.85951882	-0.189178427	0.939997501	0.081446911	0.833429107	0.014272722	0.961625589	-0.357877028	0.108616072	-0.181209567	0.433236917	-0.077349158	0.880687964
AT1G68560	-0.183759776	0.833615473	-0.052061834	0.978355674	-0.255697254	0.461539464	-0.61701995	0.048950265	-0.545769594	0.021409662	-0.259827548	0.436418132	-0.038542883	0.948565796
AT1G68570	-0.114465346	0.889878878	-0.262531632	0.894891629	0.024499852	0.974010062	0.180503597	0.675391094	0.444206706	0.069034178	0.315791178	0.280775355	0.407182787	0.316397085
AT1G68580	0.080844189	0.943897685	0.466367479	0.44813331	0.811761003	0.158422836	0.901998729	0.001702777	0.830804345	0.000631643	0.475674093	0.020537772	0.493220623	0.167984157
AT1G68585	-0.209036827	0.821053328	-0.18390055	0.881667281	0.290389839	0.669864307	0.119027056	0.700317403	-0.054008578	0.899164246	-0.310634094	0.430842165	-0.552287392	0.23282461
AT1G68590	0.170795267	0.91245025	0.036622674	0.984638886	0.201243448	0.827298674	-0.239131385	0.309072964	0.152719225	0.549810163	0.077595947	0.832509658	0.220982032	0.704440649
AT1G68600	0.099452464	0.785927565	-0.039565616	0.985234455	-0.092809795	0.729005623	-0.149142541	0.427795989	-0.018054295	0.940417505	-0.152975759	0.420350036	-0.008956755	0.979140937
AT1G68610	0.039099569	0.950434362	-0.114691044	0.934048141	-0.010821693	0.981688075	-0.256123688	0.178028517	-0.039307704	0.83772365	0.278217114	0.290761487	0.147281508	0.732423102
AT1G68620	-0.160044465	0.952012309	-1.019788859	0.401043937	-0.757789399	0.610798365	-2.493247938	0.005159243	-2.700345949	0.000500751	-2.963008566	6.23E-05	-1.307346317	0.012598384
AT1G68630	0.149014877	0.805594528	0.000278201	0.999668339	-0.004600537	0.991129831	0.275448732	0.290261476	0.028243392	0.89962258	-0.398035679	0.175961688	-0.038697653	0.943971713
AT1G68640	0.2145545	0.777200278	0.596397111	0.500501826	0.426695373	0.407445086	0.226935077	0.438978786	0.14664699	0.565888793	0.447177505	0.096875051	0.233687533	0.626950716
AT1G68650	0.001669145	0.997719648	-0.262659751	0.718817996	-0.307887015	0.461232393	-0.4882473	0.028061757	-0.374573266	0.092515052	-0.058415409	0.796103913	-0.264585795	0.42291681
AT1G68660	0.0848841	0.900613521	-0.032102044	0.9877896	-0.029779875	0.953469768	-0.17985582	0.465706431	-0.200794058	0.319357091	-0.014321317	0.973010281	0.047661159	0.944756751
AT1G68670	-0.257381169	0.744818054	-0.274317932	0.610721456	-0.425845933	0.445494111	-0.640168636	0.013289986	-0.958636448	0.001671674	-0.878001948	0.002150851	-0.348168725	0.451846849
AT1G68680	-0.368667905	0.719896987	-0.208903525	0.918655283	-0.166140724	0.815298695	-0.063101383	0.844197372	-0.176054524	0.598719438	0.07081803	0.899955019	0.028478711	0.95692238
AT1G68690	0.393665796	0.760631338	-0.409064232	0.870992403	0.147735022	0.89561699	0.492389362	0.101995306	-0.114454224	0.655702131	-0.009001641	0.989857932	0.479533905	0.51351011
AT1G68700	0.041445996	0.940719621	0.061383883	0.95571801	0.144205735	0.498767494	-0.051012341	0.844275099	-0.214092466	0.245213494	-0.111007949	0.65330587	0.017860356	0.971431207
AT1G68710	-0.462793199	0.309250722	-0.522113408	0.650911049	-0.249537703	0.721656645	-0.431441178	0.100688613	0.103681204	0.648561311	0.834891288	0.001227888	0.617598906	0.20007088
AT1G68720	0.052658689	0.946416771	-0.106827122	0.954379982	-0.009363163	0.984582199	-0.133837372	0.593130716	0.059268888	0.793768447	0.000668441	0.997672904	0.170436838	0.690957367
AT1G68730	0.077321134	0.946416771	0.210207507	0.946820365	0.034680366	0.963883908	0.098790086	0.895387856	-0.313008328	0.366140782	0.241067001	0.550220977	0.187828337	0.859799163
AT1G68740	-0.0911794	0.965960823	-0.067675227	0.990887215	-0.466695277	0.569608093	-0.85044778	0.031543059	-0.827721999	0.028607441	-0.611653309	0.311732356	-0.171725439	0.791393086
AT1G68750	-0.018089987	0.97886448	-0.252385639	0.536947051	-0.21588914	0.436959496	-0.295052198	0.129731469	-0.08659862	0.655643822	-0.210284917	0.29984593	-0.014609136	0.975570483
AT1G68760	0.044916769	0.972871911	0.176833945	0.915613259	-0.108518416	0.785909155	-0.144717409	0.498048654	0.329866314	0.095326723	0.790851021	0.002449955	0.902364456	0.044050731
AT1G68765	0.27206916	0.760102213	0.0113853	0.997006706	0.939194932	0.292869249	1.678570518	0.000179677	3.360765744	7.79E-07	3.559898002	8.17E-06	3.335094893	0.000184579
AT1G68780	0.086566967	0.921492819	-0.050579297	0.954379982	-0.108907093	0.558842287	0.005372252	0.983849919	-0.058624709	0.834075314	0.186103683	0.63850286	0.501897749	0.125302892
AT1G68790	-0.086057136	0.965250269	0.287199787	0.89743495	0.432118443	0.495177162	0.611900193	0.274000487	0.642228783	0.038848786	0.359790785	0.308874311	0.354132346	0.479082249
AT1G68795	0.175859124	0.798022484	-0.318618406	0.831741072	-0.860752308	0.183374925	-1.417065324	0.004443828	-1.617796491	0.000238185	-1.340850857	0.00511828	-1.184630435	0.015712097
AT1G68810	0.64582008	0.281050039	0.936885487	0.03762157	0.907337933	0.066982226	0.322221929	0.224206518	-0.27553777	0.182819583	-0.335661414	0.15157381	-0.758144763	0.049108791
AT1G68820	-0.102266491	0.916965636	-0.499014503	0.544965364	-0.507787247	0.430484939	-0.487058433	0.113529259	-0.46592963	0.052759337	-0.40638954	0.087434886	-0.023229622	0.972649722
AT1G68830	-0.120508066	0.913160052	-0.029938214	0.991443554	-0.087463738	0.871481871	-0.290728341	0.225074528	-0.332720408	0.230149717	-0.298225796	0.283424055	-0.152303318	0.857839057
AT1G68840	0.650107662	0.337307556	0.523049701	0.284859167	0.320194193	0.601656503	0.006123118	0.989546162	-0.149642726	0.666168833	-0.363827077	0.178900835	0.114273858	0.81292903
AT1G68850	-0.072928581	0.928364979	-0.672741559	0.102820797	-0.323566841	0.627854583	0.400416832	0.132237035	0.976483942	0.000213102	0.813981405	0.075560891	-0.199499864	0.863359698
AT1G68875	-0.014968324	0.994871064	0.097720494	0.940739745	-0.058747735	0.857460019	-0.065436532	0.77530005	-0.081344095	0.66682014	0.259759389	0.497034728	-0.11421018	0.746567167
AT1G68880	1.369930548	0.541092403	1.483264541	0.168727152	1.71080782	0.111005123	1.932802536	0.044609569	-0.392629493	0.436963399	0.178129933	0.87270952	-0.490660716	0.541653605
AT1G68890	0.043811129	0.945457983	0.114074493	0.965303342	-0.172738343	0.644173273	-0.120171118	0.587180507	-0.238971295	0.16641269	-0.173857662	0.473097978	-0.035164273	0.945161383
AT1G68910	-0.097485449	0.900559021	0.053443539	0.977959059	0.124433039	0.80762054	0.054192802	0.881464377	-0.082022505	0.820807557	0.100971583	0.824549919	0.113028123	0.869848988
AT1G68920	-0.051417134	0.966412249	-0.133285758	0.923111637	-0.206647863	0.618856797	-0.024590019	0.931378265	0.043387251	0.872073905	-0.17547379	0.430241682	0.031098399	0.96007822
AT1G68930	0.11629363	0.856832316	-0.286132705	0.660144608	-0.067200299	0.844292523	0.057509314	0.831578274	-0.420317038	0.109830198	0.12080499	0.629383787	-0.184551068	0.657454369
AT1G68940	-0.12639483	0.88286523	-0.288437654	0.83393297	-0.044192854	0.937145957	-0.005423531	0.987001883	-0.05554176	0.861966307	-0.015633308	0.969250636	0.158503286	0.85477526
AT1G68980	-0.162501386	0.849895843	-0.185309226	0.945142233	-0.033910855	0.950734374	0.049703907	0.890352796	0.010326846	0.979049834	0.003312617	0.993563805	-0.075216265	0.915490133
AT1G68990	0.082115508	0.917889553	0.298006074	0.861910419	0.457079271	0.22092138	0.636512314	0.060550709	-0.102457018	0.700638191	-0.22319122	0.627401072	-0.087673072	0.908174644
AT1G69010	-0.072379962	0.931926028	0.183300985	0.879780676	0.19340901	0.727860453	0.022406175	0.94583558	0.093825247	0.613654089	0.428410784	0.030215552	0.091395172	0.849750501
AT1G69020	-0.155950946	0.804772727	0.214070741	0.841132036	0.056140395	0.912936026	0.004926305	0.990554966	0.182860151	0.41448232	0.272720439	0.452372979	0.06148944	0.930161068
AT1G69030	0.205779895	0.716185428	0.202188992	0.907029117	-0.215647445	0.583919648	-0.009826517	0.9717118	0.351506781	0.137188892	0.554561894	0.008878468	0.548728681	0.165029793
AT1G69040	0.243473362	0.670050931	0.846328031	0.213429996	0.799952904	0.314700552	0.470016767	0.109487421	-0.172224847	0.360805146	-0.119392597	0.673859939	0.111270386	0.787889324
AT1G69050	0.007375345	0.997717509	0.0936222	0.985893413	-0.479177242	0.491368933	-0.050592552	0.913353141	-0.114918467	0.625370187	-0.284217574	0.274684918	-0.021800976	0.983177485
AT1G69070	-0.104256916	0.914697729	-0.097263811	0.970624843	0.507085922	0.462385363	0.791958488	0.028218417	0.202994626	0.45816901	-0.219555884	0.344292019	0.100876983	0.894534136
AT1G69080	-0.986355374	0.051199717	-1.607893616	0.2204396	-1.229716578	0.36725403	-0.32332876	0.552741343	0.181113712	0.730973193	-0.068485796	0.910404327	-0.182557844	0.735257395
AT1G69100	-0.060582864	0.882399212	-0.008231534	0.997006706	-0.067297031	0.804476523	-0.204233351	0.28347852	-0.166086732	0.304526991	-0.058042183	0.865677207	-0.013142886	0.971673772
AT1G69120	0.038049488	0.968103239	-0.163149434	0.866480236	0.015817856	0.967534398	-0.307284813	0.085657976	-0.003907233	0.986753674	0.028241282	0.929095063	-0.024498261	0.963054601
AT1G69150	0.64034892	0.712554602	0.178336992	0.917679913	0.561633411	0.185348301	-0.156957753	0.632412376	-0.142928435	0.736922654	-0.252492563	0.399189062	-0.049296532	0.939239545
AT1G69160	-0.142601983	0.858248137	0.003935259	0.998864179	0.074757498	0.937916673	0.041120306	0.904884476	-0.217339738	0.58826018	-0.147066829	0.632603836	-0.161931803	0.813105295
AT1G69170	-0.115662503	0.896737782	0.234114238	0.894154463	-0.394851581	0.461993177	-0.214176455	0.366554426	-0.194486879	0.377664593	-0.384503257	0.113861896	0.028535632	0.973269755
AT1G69180	0.160031126	0.752692604	0.065294611	0.958749188	-0.154191774	0.694182283	0.017911126	0.954578716	-0.202386382	0.349746361	-0.200090959	0.692007707	-0.136658729	0.722224497
AT1G69190	0.095578114	0.861681107	0.059787658	0.958295194	-0.042486694	0.900185559	-0.017499053	0.958340679	-0.032453086	0.875562936	-0.210464299	0.257476293	-0.106943847	0.803166553
AT1G69200	-0.009463802	0.996028581	-0.225827012	0.876460978	0.552856416	0.145397421	0.715188915	0.008352337	0.114409886	0.665869028	-0.185653416	0.511362364	-0.277862641	0.535099225
AT1G69210	-0.006230716	0.997717509	0.069665074	0.976667521	0.373320623	0.500675734	0.826652245	0.014540053	0.13015659	0.585029103	-0.058165037	0.823541477	0.099963992	0.902783421
AT1G69220	0.007818908	0.997717509	0.183512122	0.886964443	-0.033415731	0.953246013	-0.012217453	0.970244547	0.069273243	0.791411289	-0.09621188	0.683398141	-0.034814637	0.946930471
AT1G69230	-0.07604673	0.940429528	-0.082333094	0.970233257	-0.06093387	0.896907996	-0.069550888	0.861913746	-0.205310401	0.328460077	-0.351097567	0.213081729	0.002464396	0.998264109
AT1G69240	0.042442433	0.990833982	0.580351151	0.726414648	-0.047695495	0.960567318	-0.490672017	0.376265645	-0.817791581	0.045032943	-1.06623849	0.103711925	-0.066177449	0.941510641
AT1G69250	-0.003054191	0.997717509	-0.167986936	0.879780676	-0.074560328	0.865130502	0.235304289	0.275916389	-0.175390044	0.303653532	-0.217036096	0.292693963	-0.259148383	0.385326092
AT1G69260	0.416128397	0.471112908	0.013158586	0.997089236	-0.286763959	0.816342388	-0.956665799	0.004432334	-0.446125995	0.049828315	-0.531252036	0.195141555	0.159345357	0.898342251
AT1G69270	-0.066653211	0.937249757	-0.030504434	0.99089996	0.143395888	0.762686402	-0.120943095	0.671695595	-0.188253107	0.481077449	-0.317544704	0.225202768	0.268281316	0.531517508
AT1G69280	0.046698645	0.96110509	0.38338402	0.45603378	-0.001615424	0.997766038	0.022046906	0.943535347	0.071664788	0.785348558	-0.033411333	0.910161492	0.165877723	0.769989681
AT1G69295	0.090834169	0.893222579	0.16283212	0.952901431	-0.20481995	0.634601642	0.110418962	0.68357078	0.092868574	0.678667016	0.352953318	0.05573461	0.095577679	0.819926334
AT1G69310	0.083682399	0.943380576	-0.047866525	0.987311436	-0.75593272	0.124071805	-0.748652913	0.019683024	-0.450421501	0.169016853	-0.618847001	0.111999371	-0.173566931	0.891862896
AT1G69320	0.152024486	0.851648987	0.00986938	0.997006706	0.008455742	0.98633577	0.243065711	0.376126929	0.282729896	0.281686043	0.111861	0.732741659	-0.085732235	0.884686583
AT1G69330	-0.026285359	0.978276682	0.077237938	0.965303342	-0.115876189	0.749419771	0.015881841	0.966530833	-0.076744742	0.76170972	0.1363171	0.646336076	-0.126502852	0.868750457
AT1G69340	-0.091554832	0.870817391	-0.294132441	0.805586922	-0.278378047	0.449563885	-0.213664166	0.387836764	-0.23499015	0.336912627	-0.213993059	0.368674308	-0.117404	0.752550798
AT1G69350	0.024651377	0.97242352	0.205344021	0.878553782	-0.10262476	0.766176763	-0.146549929	0.610667249	0.110653936	0.707887176	-0.332710161	0.221709841	-0.14028564	0.829307636
AT1G69360	0.025482017	0.983490728	-0.046948771	0.985602874	-0.203432573	0.644096087	-0.09227565	0.728893011	0.655546808	0.018585419	0.399722896	0.074058141	0.230200144	0.713838694
AT1G69370	0.279487731	0.822653454	0.218414872	0.932858394	-0.129360858	0.829765378	0.004203112	0.990306338	0.316533648	0.184502064	0.40514491	0.22970001	0.063997898	0.93572007
AT1G69380	-0.214427179	0.803983839	0.204720929	0.879970369	0.530510578	0.240808814	0.583466039	0.056663514	0.435858833	0.139799495	0.079275787	0.831966	-0.103071493	0.838527656
AT1G69390	0.088982381	0.889878878	-0.019022502	0.996238958	-0.116636191	0.816857238	0.190775593	0.37497409	0.23354228	0.257279973	0.125918129	0.688395772	0.06001387	0.916027686
AT1G69400	-0.005613012	0.997717509	0.299458226	0.715875042	0.085767869	0.823831678	0.340592987	0.323840202	0.368496283	0.161118939	0.374197592	0.131702229	0.025978028	0.971431207
AT1G69410	0.011750993	0.992375946	0.03010358	0.989286965	0.194612911	0.701354995	0.143685158	0.529847682	0.183288579	0.414091342	0.391666448	0.204842379	0.111446013	0.770251483
AT1G69420	-0.163697417	0.82426686	-0.170131527	0.906312291	-0.008469342	0.988399208	0.05865738	0.845720782	0.377933803	0.051725708	0.498472681	0.091685414	0.313820404	0.401493504
AT1G69430	0.37094766	0.304514059	0.193582999	0.920559399	0.108641677	0.743556227	-0.229618712	0.372830874	-0.099506615	0.700259873	-0.288411466	0.460652713	-0.209370741	0.593238777
AT1G69440	-0.271005408	0.825107979	-0.139976415	0.958012631	0.722713549	0.136513462	0.470285812	0.085111355	-0.397311629	0.195800291	-0.430462606	0.378558536	-0.271183108	0.671422191
AT1G69450	0.057102861	0.94412282	0.340171161	0.751553741	-0.27730907	0.599239431	-0.522469008	0.059502682	-0.769384864	0.011046931	-0.780628361	0.004118479	-0.609472342	0.07075251
AT1G69470	-0.080170371	0.938995129	0.031205646	0.985482712	-0.138747406	0.512944174	0.120656432	0.591836703	0.111227255	0.742819764	0.06613116	0.823773916	-0.015431171	0.975570483
AT1G69480	-0.042802928	0.96110509	-0.11894805	0.915810061	-0.271810335	0.56682221	-0.892037075	0.005060353	-0.285535478	0.197175292	-0.667198546	0.103237319	0.505048995	0.184546029
AT1G69490	0.176425366	0.792964111	0.130684219	0.952901431	0.109979895	0.821065097	0.320841791	0.282823906	0.312793971	0.144814494	0.354670182	0.201938591	0.608380035	0.503636435
AT1G69500	-0.132629173	0.739884855	0.119018551	0.879812222	0.021104656	0.953870393	0.025582796	0.905445565	-0.030657942	0.856109725	0.110067199	0.73050827	-0.192733775	0.259333556
AT1G69510	-0.119388723	0.936970652	0.027735554	0.989286965	0.065369208	0.919368989	-0.132045015	0.622341438	-0.130003386	0.558845554	-0.040456226	0.901061301	-0.056797076	0.921830008
AT1G69523	0.326804746	0.64200319	0.188153095	0.75171925	0.051465828	0.886219959	0.080989126	0.721802678	-0.091674413	0.639349429	-0.05807229	0.832465058	0.004222387	0.992685516
AT1G69526	0.004408379	0.997717509	-0.0539368	0.987311436	-0.107248937	0.869517493	-0.889356685	0.005220171	-0.627488892	0.003725165	-0.748856618	0.002449955	-0.262833713	0.764524538
AT1G69530	1.172682698	0.280401856	0.905736316	0.127585205	2.210075709	0.065710027	3.634970889	3.36E-06	3.594909159	5.20E-05	3.449374064	0.000247406	2.568138029	0.000321606
AT1G69540	0.053758919	0.949051582	0.010501182	0.993248391	-0.086805068	0.661933887	-0.174545612	0.147496876	-0.064379945	0.682037028	-0.058695626	0.829016349	-0.062789384	0.859258222
AT1G69550	0.074852897	0.853457952	-0.208736975	0.587884819	0.027311586	0.94246935	-0.008127741	0.967338957	0.009382419	0.964561423	0.18612785	0.231692744	-0.159604381	0.508909531
AT1G69560	-0.029780067	0.984014608	0.006849305	0.997006706	-0.048688235	0.859966565	-0.360534359	0.050052083	-0.022603197	0.941978088	-0.04673719	0.801927231	-0.119400998	0.713589257
AT1G69570	0.226984944	0.813575462	-0.162720524	0.946158012	0.079736138	0.915970735	-0.061457583	0.865364868	-0.126284333	0.585416303	-0.304613244	0.356229824	-0.196999594	0.616176078
AT1G69580	0.202882216	0.835184683	0.092277464	0.985234455	-0.655822014	0.311648315	-0.475889925	0.10738939	-0.232184872	0.513015952	-0.39700786	0.217455066	-0.144640587	0.883375873
AT1G69600	-0.270098779	0.777200278	-0.110236951	0.986008083	-0.795872055	0.487675881	-1.569753276	0.018747115	-0.799140122	0.013445127	-0.611157519	0.063655988	0.028595509	0.978831467
AT1G69610	-0.24786019	0.763125357	-0.326908755	0.447071278	-0.068220603	0.820752551	-0.118695235	0.673042949	0.650724845	0.016390481	1.011984531	0.004270768	0.639506792	0.118540333
AT1G69620	0.047620562	0.936652195	0.00473009	0.997768712	0.134272897	0.683866715	0.282338518	0.16158809	0.305112547	0.093874918	0.266192305	0.140711385	0.107901271	0.691819768
AT1G69630	-0.033621878	0.949302096	-0.12416594	0.877989095	0.151927841	0.522456969	0.184931595	0.144264326	0.020417891	0.895227056	0.090072105	0.639127708	-0.095775088	0.779894706
AT1G69640	-0.073582563	0.932115077	-0.176895154	0.923125155	-0.178098205	0.661933887	0.118150541	0.653361943	-0.064587011	0.762339729	-0.064233862	0.809176418	-0.432010362	0.141871303
AT1G69660	0.214258207	0.55648723	0.027470512	0.98166331	-0.129002665	0.621944959	-0.141776379	0.458225304	-0.064310671	0.716685208	-0.320873252	0.332494183	-0.057773489	0.870553411
AT1G69670	-0.249029601	0.674874738	0.140585068	0.963992929	-0.131072903	0.762686402	0.137832537	0.633731259	0.189157938	0.364365427	0.266067081	0.420333154	0.171353071	0.710858451
AT1G69680	0.192482322	0.803049317	0.184049853	0.900624319	-0.022660022	0.965266612	-0.281878824	0.172409833	-0.192635404	0.351894604	-0.093391365	0.675360585	-0.045097669	0.945714077
AT1G69690	-0.680405924	0.300325436	-0.643983378	0.555091954	-1.442149517	0.060699229	-0.860780617	0.008512657	-0.476676869	0.049285826	-0.355577644	0.277021303	-0.638604485	0.062677047
AT1G69700	-0.139550876	0.834541646	-0.035063477	0.986008083	0.159384172	0.845565215	-0.329450239	0.188562703	0.094380337	0.763219677	0.315263792	0.333878274	0.334168893	0.420401432
AT1G69720	0.057707039	0.940429528	-0.155900943	0.858305993	0.077860219	0.726071102	0.076027837	0.768253407	-0.016821269	0.93915709	0.114878278	0.671572232	-0.160385181	0.641886386
AT1G69730	-0.163667209	0.807808126	-0.067134426	0.96761711	-0.186575051	0.64677019	-0.151420496	0.606693263	0.045665357	0.847734421	-0.033618325	0.899860128	-0.050216739	0.925350409
AT1G69740	0.031126443	0.96882461	-0.210504576	0.878553782	-0.080558806	0.854078631	0.153490229	0.507184953	0.288697287	0.101639473	0.143908071	0.578285997	0.074406566	0.910006946
AT1G69750	-0.083306367	0.946478478	-0.054732842	0.9877896	0.254649802	0.598837516	0.0688044	0.851686956	-0.151341887	0.578306663	0.101560753	0.925068416	0.008803524	0.990001058
AT1G69760	0.765538471	0.216596883	0.934050603	0.058973833	0.862874531	0.101432775	0.960892409	0.004555701	0.853037412	0.00106962	0.502018418	0.015259819	0.117245471	0.813501161
AT1G69770	-0.025718986	0.973419602	0.519517261	0.49293679	-0.040370957	0.957522383	0.322689483	0.135981758	0.224749325	0.252005138	0.009252996	0.970869009	0.19490743	0.594323509
AT1G69780	-0.411163656	0.716658655	-0.346749989	0.817191206	-0.806832849	0.400847392	-1.210389431	0.01408381	-1.213445706	0.000112508	-1.05082709	0.001698171	-0.649997594	0.204537201
AT1G69790	-0.275906313	0.785927565	-1.007039805	0.476873321	-0.62753207	0.303799995	-0.41409792	0.133197801	-0.148382727	0.518044953	-0.351709979	0.320343474	0.503909474	0.250460784
AT1G69800	-0.100684539	0.892826252	-0.183165891	0.919695342	0.075546449	0.846674361	-0.42918282	0.181069719	0.09495151	0.728747114	0.015424396	0.957735334	0.14576769	0.77534746
AT1G69810	0.504379478	0.574902576	0.462857692	0.676376443	-0.244010628	0.802984798	0.230212985	0.32497609	0.137465387	0.562956102	0.303506662	0.296514642	0.060405059	0.929342047
AT1G69820	0.091443957	0.900613521	0.171052829	0.844193368	-0.141814809	0.687635458	-0.068567527	0.782889329	-0.207561419	0.227946366	-0.203128002	0.511942478	-0.110320447	0.760512528
AT1G69830	-0.043826207	0.959675899	0.021253814	0.992349118	-0.009774058	0.984484533	-0.094055899	0.700827023	-0.062657056	0.780599895	0.264552091	0.248877417	0.061862258	0.89911119
AT1G69840	0.948126209	0.239413151	0.242353849	0.919705997	-0.245361968	0.840490274	0.529098382	0.116146602	0.466328132	0.034042518	-0.313540631	0.276488957	0.203887201	0.651911367
AT1G69850	-0.22593904	0.837588001	0.159527244	0.957320479	0.589571257	0.309006399	0.144987007	0.478771345	0.196313722	0.24306915	0.227758833	0.294475814	0.091665545	0.863359698
AT1G69860	0.180434994	0.747963014	0.017287885	0.9877896	-0.076612851	0.752062094	-0.087435954	0.644815654	0.017745377	0.939951046	-0.308822157	0.459488525	0.017176677	0.971604872
AT1G69870	-0.443520355	0.738426583	-0.564945517	0.464402127	-0.550961731	0.404586194	-0.394744653	0.273234689	-0.719317882	0.030965002	-0.270681059	0.435204851	-0.217208856	0.626796083
AT1G69880	-0.256692145	0.90947049	-0.364199873	0.947028028	0.096294598	0.935595881	0.417226037	0.526080822	-0.409654707	0.487350319	0.101946535	0.916462765	0.259795423	0.942303757
AT1G69890	-0.288532045	0.85867606	-0.12884808	0.965576537	-0.519475207	0.638169758	-0.338009483	0.520864353	-0.125681182	0.870846352	-0.276988889	0.529543116	-0.051081967	0.964216954
AT1G69910	0.26836794	0.679450425	-0.102683423	0.962768724	-0.12164159	0.769668941	-0.037881287	0.924992268	-0.284330429	0.24622371	-0.210816776	0.411408194	0.080024932	0.894300466
AT1G69920	1.089592082	0.477357399	-0.612293662	0.659203155	-0.099400651	0.901141196	0.815218859	0.016520444	-0.466125104	0.234982095	-0.516326194	0.6288191	-0.907812096	0.754786934
AT1G69930	1.961022127	0.041162973	0.457005174	0.889887204	0.762485011	0.577369208	0.74842194	0.023254811	-0.202973725	0.47799354	-0.993248275	0.240226027	0.851782444	0.787612695
AT1G69935	0.113794602	0.930093787	-0.111547743	0.955021066	-0.025409863	0.965266612	-0.464770596	0.086768221	-0.065898647	0.822740601	0.1451983	0.58369165	0.13191972	0.83533593
AT1G69950	-0.351265887	0.493036465	-0.150637188	0.938629811	0.129871897	0.763539265	0.492782599	0.197085925	0.256615552	0.337985813	0.325878306	0.535802024	-0.093001875	0.87819504
AT1G69960	0.016644852	0.983570093	0.006479116	0.998058161	0.013180452	0.983148975	0.04199212	0.889435842	-0.038056058	0.891355762	-0.056331415	0.804371289	-0.016576481	0.977720675
AT1G69970	0.316781931	0.435405383	0.182484446	0.847700821	0.443801722	0.332698704	0.294661062	0.218603618	-0.000383697	0.999275714	-0.239898518	0.334324177	-0.07908213	0.893842582
AT1G69980	-0.059349424	0.944654711	-0.076519416	0.964497748	-0.235441058	0.565331088	-0.284373196	0.185148026	-0.134503017	0.543954641	-0.041110435	0.841579854	-0.045505287	0.940763886
AT1G69990	-0.035048391	0.958737044	0.074181253	0.958416432	-0.04587129	0.863994147	-0.160199987	0.503068309	-0.098389451	0.669626754	-0.070667203	0.867692811	0.049765758	0.895560938
AT1G70000	0.073954049	0.940276458	0.388082458	0.562157713	0.022869788	0.963816985	-0.186898257	0.40004508	-0.151109735	0.435481573	-0.194525125	0.372300064	-0.021504311	0.971431207
AT1G70040	-0.002226143	0.997717509	0.104061172	0.95571801	0.163453961	0.720924844	-0.178103654	0.31994519	-0.027559427	0.949963602	-0.1416737	0.467925563	-0.120167832	0.811525616
AT1G70060	0.02179451	0.990833982	-0.256322403	0.907429266	-0.046798133	0.952642842	-0.082084224	0.857754387	0.159825259	0.639499907	0.025966276	0.935420804	0.267188719	0.570887348
AT1G70070	0.253603028	0.713560188	0.041030101	0.985602874	0.6503604	0.079360703	0.414080389	0.090771679	0.376343758	0.193038567	0.297963164	0.314687794	0.20686081	0.707894811
AT1G70080	-0.099039191	0.897814757	0.144495672	0.927483032	0.11435683	0.646737804	-0.090336508	0.628377101	0.042905652	0.860525501	0.233678107	0.356407285	-0.113725297	0.830416968
AT1G70090	-0.49280932	0.70165272	-0.510291161	0.802789807	-0.462884898	0.205709738	-0.180228021	0.652478833	-0.046849934	0.889198589	-0.075918957	0.88560385	0.102092456	0.918592576
AT1G70100	-0.166118878	0.800241372	-0.037509664	0.985893413	-0.105599486	0.807174163	-0.1034178	0.792952978	0.159455442	0.479058589	0.230174087	0.447175215	0.210240498	0.792802797
AT1G70110	0.237786651	0.495727311	0.070538893	0.958012631	-0.222011187	0.30701881	-0.113219076	0.61471804	-0.221978148	0.250807901	-0.25532379	0.3455595	-0.270597233	0.518010409
