"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT2G23170",10356.5335760408,7.55197208204023,0.159440414447166,47.3654820092226,0,0
"AT4G27260",8079.18750178807,4.51817274407362,0.13838133696057,32.650159648053,7.97149675135029e-234,8.78379227031288e-230
"AT4G37390",12979.403910505,5.41503346430484,0.184012064315505,29.4276002198436,2.43626105225487e-190,1.78967736898643e-186
"AT2G14960",1016.6692842775,3.88133849554768,0.136668921092233,28.3995692987749,2.04703396425328e-177,1.12781336260534e-173
"AT4G14560",1373.27756519545,3.4511026772626,0.140334467963989,24.5919817656499,1.53906522633357e-133,6.78358389158783e-130
"AT3G15540",2266.90911447977,4.4006113665673,0.179306279796917,24.5424274685273,5.21008544574313e-133,1.91366438422145e-129
"AT2G39370",949.306875127927,3.17894295914502,0.138834458711924,22.8973627198791,4.93597192719966e-116,1.5539849904518e-112
"AT1G60010",3366.2685678126,2.31791096471654,0.110793460696504,20.9210087864842,3.44744253665887e-97,9.49684232786101e-94
"AT3G58190",1103.62941386687,4.72812434980284,0.233517838883091,20.2473796966318,3.74645420738988e-91,9.17381753582868e-88
"AT4G28640",1200.03681738836,2.7288507904878,0.141829016427252,19.2404266716995,1.69804928824183e-82,3.74216102142734e-79
"AT1G78100",4424.52447055092,2.96286175351529,0.158417141099999,18.7029113954596,4.68741252642823e-78,9.39101793249322e-75
"AT5G54510",3572.11988316218,3.91223759574897,0.211266493993535,18.518022057339,1.47766869185727e-76,2.71373855259587e-73
"AT5G52900",471.756803154486,3.36890602414436,0.189285346986563,17.7980286259745,7.32006152698197e-71,1.24091935332022e-67
"AT3G23030",5444.36870319849,1.87795407810292,0.108755504682136,17.2676691960714,8.24039372942271e-67,1.29715569292155e-63
"AT2G33310",2490.88302075326,2.43562509637852,0.14403316734839,16.91016827039,3.78625350564413e-64,5.56276365049236e-61
"AT5G18560",232.687994146396,3.3339389518675,0.210958991762341,15.8037300236218,2.93240224469002e-56,4.03901754177991e-53
"AT2G34650",610.702082511979,2.64863633645891,0.172477585117082,15.3564089772068,3.20861967171202e-53,4.15950354854056e-50
"AT5G54490",1845.50253030563,3.37430862229862,0.222071569851499,15.1946898225426,3.83474413980699e-52,4.69500507517036e-49
"AT4G21200",179.607398090976,3.9288158014894,0.261599953501705,15.0184116965594,5.5624635608431e-51,6.4518722080979e-48
"AT1G28370",276.868520485596,4.01052301079036,0.280909394291789,14.2769273377326,3.04744578539997e-46,3.35798051093223e-43
"AT4G37295",159.011572691592,4.09951573197187,0.290997215896784,14.0878177110325,4.51293079373339e-45,4.73599851582364e-42
"AT4G12410",174.395497055992,3.88354041109997,0.276404422295686,14.050210842667,7.68050294241007e-45,7.69376926567423e-42
"AT3G15370",140.043479716413,4.49449956485002,0.322189904240987,13.9498460556613,3.15285183459447e-44,3.0209803795997e-41
"AT1G02400",936.057438080899,1.75513774338242,0.126849122872092,13.8364200212264,1.53671499835803e-43,1.41108854724226e-40
"AT3G55720",972.213585958382,1.6795612594141,0.122228245407621,13.7411876756711,5.75243283257166e-43,5.07088459056857e-40
"AT4G36880",994.525154523674,2.99321903366225,0.218020624487102,13.7290636640632,6.80067091839943e-43,5.76435329614179e-40
"AT1G51170",762.569997139024,1.97420932334528,0.145960341857545,13.5256556556443,1.10355334517953e-41,9.00744763743203e-39
"AT1G64405",397.772072641797,3.50361512520409,0.260722615595217,13.4380944177224,3.61629542681679e-41,2.84628280772102e-38
"AT3G13380",1349.13460183863,2.17089817387473,0.163580447740204,13.2711348077645,3.40386665799705e-40,2.58670391065307e-37
"AT1G80240",8569.12509109586,1.6204055845239,0.123300926220338,13.1418768227924,1.89468320425836e-39,1.36517138718098e-36
"AT4G22620",185.067453726393,3.97454926274475,0.302457331852011,13.1408593681883,1.92033365108496e-39,1.36517138718098e-36
"AT3G51410",345.814170366742,3.0456529002163,0.23367431121322,13.0337514825806,7.86438090398451e-39,5.41610082381283e-36
"AT3G26760",2054.74804338607,1.67128243373052,0.129189496934255,12.9366742141665,2.79467992207558e-38,1.8663380643243e-35
"AT5G66580",994.352896966288,1.89401595851139,0.149599828251458,12.6605490169935,9.78128947945401e-37,6.34000169259434e-34
"AT1G09932",617.926458976441,1.98646412319857,0.157581957419096,12.6059109541042,1.95896020624975e-36,1.23347328643806e-33
