ID	trivial
AT4G37770    ACS8
AT3G49700    ACS9
AT1G05010    ACO4
AT1G12010    ACO3
AT1G48420    D-CDES
AT2G19590    ACO1
AT3G15010    UBA2c
AT4G08040    ACS11
AT4G26200    ACS7
AT4G11280    ACS6
AT3G04070    NAC047
AT3G20860    NEK5
AT1G73500    MKK9
AT1G62380    ACO2
AT1G02500    SAM1
AT3G59060    PIL6
