GeneID,trivial_name,aux_sens,intersection
AT2G33710,AP2EREBP_At2g33710_col,TRUE,AT1G18570/AT2G47520/AT3G24500/AT3G61630/AT4G37580/AT4G38130/AT5G10720/AT5G44210/AT5G61590/AT1G18570/AT1G36060/AT2G44940/AT2G47520/AT3G15010/AT3G24500/AT3G51430/AT3G51430/AT3G61630/AT4G11140/AT4G17500/AT4G37580/AT4G38130/AT5G04950/AT5G10720/AT5G19790/AT5G21120/AT5G61590
AT2G33710,AP2EREBP_At2g33710_colamp_a,TRUE,AT1G18570/AT1G36060/AT2G44940/AT2G47520/AT3G15010/AT3G24500/AT3G51430/AT3G51430/AT3G61630/AT4G11140/AT4G17500/AT4G37580/AT4G38130/AT5G04950/AT5G10720/AT5G19790/AT5G21120/AT5G61590
AT2G44940,AP2EREBP_At2g44940_colamp_a,TRUE,AT1G05850/AT1G05850/AT1G28370/AT1G43160/AT1G43160/AT2G19590/AT2G25820/AT3G50260/AT3G59060/AT3G61630/AT4G27440/AT4G36900/AT5G61890/AT5G67300
AT3G16280,AP2EREBP_AT3G16280_colamp_a,FALSE,AT1G05850/AT1G05850/AT1G05850/AT1G13260/AT1G19220/AT1G22810/AT1G28370/AT1G43160/AT1G43160/AT1G62300/AT1G76800/AT2G19590/AT2G25820/AT3G16770/AT3G20860/AT3G23150/AT3G50260/AT3G59060/AT3G61630/AT4G11280/AT4G27440/AT4G36900/AT4G37770/AT5G07310/AT5G44210/AT5G53290/AT5G60120/AT5G61890/AT5G61890/AT5G67300/AT5G67300
AT3G60490,AP2EREBP_AT3G60490_colamp_a,FALSE,AT1G05850/AT1G05850/AT1G13260/AT1G28370/AT1G43160/AT1G43160/AT1G62380/AT2G19590/AT2G25820/AT3G50260/AT3G59060/AT3G61630/AT4G27440/AT4G36900/AT4G37770/AT5G07310/AT5G44210/AT5G53290/AT5G61890/AT5G61890/AT5G67300/AT5G67300
AT4G16750,AP2EREBP_At4g16750_col_a,TRUE,AT1G05850/AT1G05850/AT1G05850/AT1G10480/AT1G13260/AT1G19220/AT1G22810/AT1G28370/AT1G43160/AT1G62300/AT1G73500/AT1G74840/AT1G76800/AT2G19590/AT2G25820/AT2G44940/AT2G47520/AT3G16770/AT3G24500/AT3G24500/AT3G50260/AT3G59060/AT3G61630/AT4G27440/AT4G36900/AT4G37770/AT4G37770/AT4G38130/AT5G44210/AT5G47230/AT5G53290/AT5G59430/AT5G60120/AT5G61590/AT5G61890/AT5G67300/AT5G67300
AT4G18450,AP2EREBP_AT4G18450_col_a,TRUE,
AT4G31060,AP2EREBP_At4g31060_col_a,FALSE,AT1G05850/AT1G05850/AT1G28370/AT1G43160/AT2G19590/AT3G50260/AT3G61630/AT4G36900
AT4G31060,AP2EREBP_At4g31060_colamp_a,FALSE,AT1G05850/AT1G05850/AT1G22810/AT1G28370/AT1G43160/AT1G62300/AT3G16770/AT3G61630
AT4G32800,AP2EREBP_At4g32800_col,TRUE,AT1G05850/AT1G05850/AT1G05850/AT1G28370/AT1G43160/AT1G43160/AT2G19590/AT2G25820/AT3G61630/AT4G36900/AT5G53290/AT5G61890/AT5G61890/AT5G67300
AT5G18450,AP2EREBP_At5g18450_col_a,FALSE,
AT5G65130,AP2EREBP_At5g65130_col_a,FALSE,
AT4G25490,AP2EREBP_CBF1_col_a,FALSE,AT1G05850/AT1G13260/AT1G22810/AT1G43160/AT2G44940/AT3G50260/AT3G50260/AT3G50260/AT3G61630/AT4G11280/AT4G20380/AT4G23750/AT4G32800/AT4G37770/AT4G38130/AT5G47230/AT5G53290/AT5G67300
AT4G25490,AP2EREBP_CBF1_colamp_a,FALSE,AT1G05850/AT1G05850/AT1G13260/AT1G22810/AT1G28370/AT1G43160/AT1G44830/AT1G48420/AT1G62300/AT1G73500/AT1G74840/AT1G77640/AT2G44940/AT3G04580/AT3G50260/AT3G50260/AT3G59060/AT3G61630/AT4G11280/AT4G20380/AT4G23750/AT4G27440/AT4G32800/AT4G36900/AT4G37770/AT4G37770/AT4G37770/AT4G38130/AT5G47230/AT5G53290/AT5G67300/AT5G67300
AT4G25470,AP2EREBP_CBF2_col_a,FALSE,
AT4G25470,AP2EREBP_CBF2_colamp_a,FALSE,AT1G05850/AT1G13260/AT1G22810/AT1G43160/AT1G44830/AT1G48420/AT1G62300/AT1G73500/AT1G74840/AT1G77640/AT2G05520/AT2G25820/AT2G44940/AT3G50260/AT3G50260/AT3G61630/AT4G11280/AT4G20380/AT4G23750/AT4G27440/AT4G32800/AT4G36900/AT4G37770/AT4G37770/AT4G38130/AT5G47230/AT5G53290/AT5G56080/AT5G67300
AT4G25480,AP2EREBP_CBF3_col_a,TRUE,AT1G05850/AT1G05850/AT1G13260/AT1G43160/AT1G43160/AT1G62300/AT2G44940/AT3G50260/AT3G61630/AT4G11280/AT4G20380/AT4G23750/AT4G32800/AT4G37770/AT4G37770/AT4G38130/AT5G47230/AT5G53290/AT5G56080/AT5G61890/AT5G67300/AT5G67300
AT4G25480,AP2EREBP_CBF3_colamp_a,TRUE,AT1G05850/AT1G13260/AT1G22810/AT1G43160/AT1G62300/AT2G44940/AT3G50260/AT3G61630/AT4G11280/AT4G20380/AT4G23750/AT4G27440/AT4G32800/AT4G37770/AT4G37770/AT5G07310/AT5G47230/AT5G53290/AT5G67300/AT5G67300
AT5G51990,AP2EREBP_CBF4_col_a,FALSE,AT1G05850/AT1G05850/AT1G13260/AT1G22810/AT1G28370/AT1G43160/AT1G43160/AT1G44830/AT1G62300/AT1G73500/AT1G74840/AT1G77640/AT2G05520/AT2G25820/AT2G31180/AT2G31180/AT2G44940/AT2G47520/AT3G50260/AT3G50260/AT3G59060/AT3G59060/AT3G61630/AT4G11280/AT4G20380/AT4G23750/AT4G27440/AT4G32800/AT4G36900/AT4G37770/AT4G37770/AT4G38130/AT5G07580/AT5G44210/AT5G47230/AT5G53290/AT5G56080/AT5G61890/AT5G67300/AT5G67300
AT5G51990,AP2EREBP_CBF4_colamp_a,FALSE,AT1G05850/AT1G05850/AT1G05850/AT1G05850/AT1G13260/AT1G19220/AT1G22810/AT1G28370/AT1G36060/AT1G43160/AT1G43160/AT1G44830/AT1G48420/AT1G62300/AT1G73500/AT1G73500/AT1G74840/AT1G77640/AT2G02710/AT2G05520/AT2G19590/AT2G25820/AT2G25820/AT2G31180/AT2G31180/AT2G44840/AT2G44940/AT2G47520/AT3G04580/AT3G23150/AT3G25730/AT3G50260/AT3G50260/AT3G59060/AT3G59060/AT3G61630/AT4G11280/AT4G20380/AT4G23750/AT4G26200/AT4G27440/AT4G32800/AT4G36900/AT4G37770/AT4G37770/AT4G37770/AT4G38130/AT5G07310/AT5G07580/AT5G44210/AT5G47230/AT5G53290/AT5G56080/AT5G61890/AT5G67300/AT5G67300
AT3G50260,AP2EREBP_CEJ1_col_a,TRUE,AT1G05850/AT1G05850/AT1G05850/AT1G13260/AT1G22810/AT1G28360/AT1G28370/AT1G43160/AT1G43160/AT1G62300/AT1G76800/AT2G19590/AT2G25820/AT2G25820/AT2G47460/AT2G47520/AT3G15010/AT3G15010/AT3G15010/AT3G16770/AT3G23150/AT3G49700/AT3G50060/AT3G50260/AT3G51430/AT3G59060/AT3G61630/AT4G20380/AT4G23750/AT4G27440/AT4G36900/AT4G37770/AT4G37770/AT4G38130/AT4G38130/AT4G38130/AT5G02840/AT5G07310/AT5G10720/AT5G13910/AT5G19790/AT5G53290/AT5G59430/AT5G61590/AT5G61890/AT5G67300/AT5G67300
AT3G50260,AP2EREBP_CEJ1_colamp_a,TRUE,AT1G05850/AT1G05850/AT1G13260/AT1G22810/AT1G28370/AT1G43160/AT1G43160/AT1G62300/AT1G76800/AT2G19590/AT2G25820/AT2G47460/AT3G23150/AT3G50260/AT3G59060/AT3G61630/AT4G20380/AT4G27440/AT4G36900/AT4G37770/AT4G37770/AT5G07310/AT5G13910/AT5G53290/AT5G67300
AT1G68550,AP2EREBP_CRF10_col100_a,FALSE,AT2G47520/AT3G24500/AT3G61630/AT4G32940/AT5G61590
AT4G27950,AP2EREBP_CRF4_colamp_a,FALSE,AT2G47520/AT3G24500/AT5G19790
AT1G12610,AP2EREBP_DDF1_col_a,FALSE,
AT1G63030,AP2EREBP_DDF2_col_a,FALSE,
AT5G67190,AP2EREBP_DEAR2_col_a,FALSE,AT1G05850/AT1G05850/AT1G22810/AT1G28370/AT2G19590/AT3G16770/AT3G50260/AT3G61630/AT4G38130/AT5G67300
