gene_id,expressionLevel,SRAaccession,experiment_tissue,unit
AT2G30250,110.64,SRR1261509,root apical meristem,TPM
AT2G30250,93.22,SRR1049784,dark-grown seedling,TPM
AT2G30250,88.61,SRR446028,leaf,TPM
AT2G30250,82.57,SRR446027,leaf,TPM
AT2G30250,78.11,SRR1159837,leaf,TPM
AT2G30250,73.05,SRR584134,light-grown seedling,TPM
AT2G30250,71.18,ERR274309,root,TPM
AT2G30250,69.43,SRR346553,light-grown seedling,TPM
AT2G30250,69.14,SRR493097,leaf,TPM
AT2G30250,51.14,ERR274310,aerial,TPM
AT2G30250,40.94,SRR346552,light-grown seedling,TPM
AT2G30250,39.79,SRR1019437,dark-grown seedling,TPM
AT2G30250,38.82,SRR1019436,dark-grown seedling,TPM
AT2G30250,38.52,SRR1524940,root,TPM
AT2G30250,38.34,SRR394082,light-grown seedling,TPM
AT2G30250,37.18,SRR942022,leaf,TPM
AT2G30250,36.75,SRR493101,leaf,TPM
AT2G30250,34.57,SRR493098,leaf,TPM
AT2G30250,33.68,SRR797230,light-grown seedling,TPM
AT2G30250,32.1,SRR1524938,root,TPM
AT2G30250,31.19,SRR547531,aerial,TPM
AT2G30250,30.98,SRR1159821,leaf,TPM
AT2G30250,30.04,SRR446484,leaf,TPM
AT2G30250,29.33,SRR833246,light-grown seedling,TPM
AT2G30250,29.31,SRR847505,aerial,TPM
AT2G30250,28.76,SRR446486,leaf,TPM
AT2G30250,28.12,SRR446034,leaf,TPM
AT2G30250,27.74,SRR314814,root,TPM
AT2G30250,27.42,SRR446039,leaf,TPM
AT2G30250,26.38,SRR934391,leaf,TPM
AT2G30250,26.22,SRR493237,dark-grown seedling,TPM
AT2G30250,26.04,SRR1524935,root,TPM
AT2G30250,25.77,SRR446033,leaf,TPM
AT2G30250,25.67,SRR847506,aerial,TPM
AT2G30250,25.61,SRR493036,leaf,TPM
AT2G30250,23.63,SRR477075,dark-grown seedling,TPM
AT2G30250,23.57,SRR1159827,leaf,TPM
AT2G30250,23.2,SRR584129,light-grown seedling,TPM
AT2G30250,22.29,SRR493238,dark-grown seedling,TPM
AT2G30250,21.43,SRR515074,light-grown seedling,TPM
AT2G30250,20.85,SRR477076,dark-grown seedling,TPM
AT2G30250,19.92,SRR1046910,root,TPM
AT2G30250,18.7,SRR1046909,root,TPM
AT2G30250,18.61,SRR764885,leaf,TPM
AT2G30250,18.31,SRR504180,light-grown seedling,TPM
AT2G30250,17.93,SRR446040,leaf,TPM
AT2G30250,17.76,SRR504179,light-grown seedling,TPM
AT2G30250,16.62,SRR584121,light-grown seedling,TPM
AT2G30250,15.03,SRR584115,light-grown seedling,TPM
AT2G30250,14.74,SRR401414,receptacle,TPM
AT2G30250,14.62,SRR797194,light-grown seedling,TPM
AT2G30250,14.36,SRR653575,light-grown seedling,TPM
AT2G30250,14.35,SRR401415,receptacle,TPM
AT2G30250,14.31,SRR401413,receptacle,TPM
AT2G30250,14.1,SRR847503,aerial,TPM
AT2G30250,13.89,SRR401417,receptacle,TPM
AT2G30250,13.47,SRR653573,light-grown seedling,TPM
AT2G30250,12.74,SRR401418,receptacle,TPM
AT2G30250,12.71,SRR515073,light-grown seedling,TPM
AT2G30250,12.46,SRR401416,receptacle,TPM
AT2G30250,12.36,SRR401421,receptacle,TPM
AT2G30250,12.04,SRR401419,receptacle,TPM
AT2G30250,11.99,SRR401420,receptacle,TPM
AT2G30250,11.99,SRR653574,light-grown seedling,TPM
AT2G30250,11.86,SRR847504,aerial,TPM
AT2G30250,11.63,SRR653578,light-grown seedling,TPM
AT2G30250,11.51,SRR504181,light-grown seedling,TPM
AT2G30250,10.69,SRR653576,light-grown seedling,TPM
AT2G30250,10.26,SRR653577,light-grown seedling,TPM
AT2G30250,9.83,SRR1001909,light-grown seedling,TPM
AT2G30250,9.37,SRR653556,light-grown seedling,TPM
AT2G30250,9.11,SRR653567,light-grown seedling,TPM
AT2G30250,8.9,SRR653569,light-grown seedling,TPM
AT2G30250,8.68,SRR653557,light-grown seedling,TPM
AT2G30250,8.35,SRR653566,light-grown seedling,TPM
AT2G30250,8.3,SRR446485,leaf,TPM
AT2G30250,8.09,SRR653565,light-grown seedling,TPM
AT2G30250,7.98,SRR446487,leaf,TPM
AT2G30250,7.9,SRR924656,leaf,TPM
AT2G30250,7.89,SRR1001910,light-grown seedling,TPM
AT2G30250,7.79,SRR653568,light-grown seedling,TPM
AT2G30250,7.67,SRR653564,light-grown seedling,TPM
AT2G30250,7.48,SRR314813,leaf,TPM
AT2G30250,7.02,SRR548277,aerial,TPM
AT2G30250,6.93,SRR653571,light-grown seedling,TPM
AT2G30250,6.88,SRR653555,light-grown seedling,TPM
AT2G30250,6.26,SRR653563,light-grown seedling,TPM
AT2G30250,6.08,SRR653570,light-grown seedling,TPM
AT2G30250,5.3,SRR1105822,leaf,TPM
AT2G30250,5.21,SRR653572,light-grown seedling,TPM
AT2G30250,4.94,SRR1260033,root apical meristem,TPM
AT2G30250,4.29,SRR1105823,leaf,TPM
AT2G30250,4.07,SRR653561,light-grown seedling,TPM
AT2G30250,4.02,SRR1019221,light-grown seedling,TPM
AT2G30250,3.91,SRR653562,light-grown seedling,TPM
AT2G30250,3.4,SRR949988,shoot apical meristem,TPM
AT2G30250,2.66,SRR345561,light-grown seedling,TPM
AT2G30250,2.66,SRR345562,light-grown seedling,TPM
AT2G30250,2.46,SRR1260032,root apical meristem,TPM
AT2G30250,1.85,SRR949989,shoot apical meristem,TPM
AT2G30250,1.79,SRR949956,shoot apical meristem,TPM
AT2G30250,1.44,SRR949965,shoot apical meristem,TPM
AT2G30250,1.23,SRR070571,light-grown seedling,TPM
AT2G30250,0.96,SRR1207195,carpel,TPM
AT2G30250,0.94,SRR314815,stage 12 inflorescence,TPM
AT2G30250,0.62,SRR800754,stage 12 inflorescence,TPM
AT2G30250,0.49,SRR070570,light-grown seedling,TPM
AT2G30250,0.41,SRR1207194,carpel,TPM
AT2G30250,0.27,SRR527165,light-grown seedling,TPM
AT2G30250,0.21,SRR527164,light-grown seedling,TPM
AT2G30250,0.2,SRR800753,stage 12 inflorescence,TPM
AT2G30250,0.09,SRR847501,pollen,TPM
AT2G30250,0.03,SRR847502,pollen,TPM
