gene_id,expressionLevel,SRAaccession,experiment_tissue,unit
AT1G80840,312.16,ERR274310,aerial,TPM
AT1G80840,283.46,SRR446028,leaf,TPM
AT1G80840,236.12,SRR493097,leaf,TPM
AT1G80840,178.67,ERR274309,root,TPM
AT1G80840,176.12,SRR942022,leaf,TPM
AT1G80840,109.5,SRR446027,leaf,TPM
AT1G80840,109.43,SRR1524940,root,TPM
AT1G80840,100.51,SRR1159837,leaf,TPM
AT1G80840,98.93,SRR1159827,leaf,TPM
AT1G80840,94.25,SRR1207195,carpel,TPM
AT1G80840,87.2,SRR797230,light-grown seedling,TPM
AT1G80840,64.49,SRR1524938,root,TPM
AT1G80840,64.41,SRR446034,leaf,TPM
AT1G80840,54.41,SRR584115,light-grown seedling,TPM
AT1G80840,54.07,SRR504181,light-grown seedling,TPM
AT1G80840,53.97,SRR797194,light-grown seedling,TPM
AT1G80840,52.37,SRR1207194,carpel,TPM
AT1G80840,50.55,SRR493036,leaf,TPM
AT1G80840,48.43,SRR446039,leaf,TPM
AT1G80840,48.12,SRR833246,light-grown seedling,TPM
AT1G80840,44.31,SRR934391,leaf,TPM
AT1G80840,43.46,SRR446486,leaf,TPM
AT1G80840,37.72,SRR493101,leaf,TPM
AT1G80840,36.11,SRR493098,leaf,TPM
AT1G80840,34.55,SRR1524935,root,TPM
AT1G80840,32.14,SRR1019436,dark-grown seedling,TPM
AT1G80840,30.89,SRR1019437,dark-grown seedling,TPM
AT1G80840,28.92,SRR584134,light-grown seedling,TPM
AT1G80840,28.75,SRR847506,aerial,TPM
AT1G80840,28.4,SRR847505,aerial,TPM
AT1G80840,25.73,SRR1159821,leaf,TPM
AT1G80840,22.62,SRR446484,leaf,TPM
AT1G80840,21.25,SRR346553,light-grown seedling,TPM
AT1G80840,20.34,SRR1049784,dark-grown seedling,TPM
AT1G80840,20.0,SRR394082,light-grown seedling,TPM
AT1G80840,18.65,SRR547531,aerial,TPM
AT1G80840,17.75,SRR446040,leaf,TPM
AT1G80840,17.13,SRR1261509,root apical meristem,TPM
AT1G80840,15.88,SRR446487,leaf,TPM
AT1G80840,14.23,SRR346552,light-grown seedling,TPM
AT1G80840,12.95,SRR446033,leaf,TPM
AT1G80840,11.24,SRR314813,leaf,TPM
AT1G80840,11.24,SRR584129,light-grown seedling,TPM
AT1G80840,11.15,SRR493237,dark-grown seedling,TPM
AT1G80840,10.5,SRR401413,receptacle,TPM
