gene_id,expressionLevel,SRAaccession,experiment_tissue,unit
AT1G12010,86.12,SRR1524940,root,TPM
AT1G12010,79.74,ERR274309,root,TPM
AT1G12010,76.14,SRR1524938,root,TPM
AT1G12010,70.97,SRR1524935,root,TPM
AT1G12010,34.95,SRR477075,dark-grown seedling,TPM
AT1G12010,31.95,SRR477076,dark-grown seedling,TPM
AT1G12010,29.88,SRR1019436,dark-grown seedling,TPM
AT1G12010,22.38,SRR1019437,dark-grown seedling,TPM
AT1G12010,20.31,SRR446484,leaf,TPM
AT1G12010,18.82,SRR1046910,root,TPM
AT1G12010,18.36,SRR584129,light-grown seedling,TPM
AT1G12010,17.25,SRR446486,leaf,TPM
AT1G12010,16.96,SRR1046909,root,TPM
AT1G12010,16.47,SRR584115,light-grown seedling,TPM
AT1G12010,14.48,SRR1261509,root apical meristem,TPM
AT1G12010,13.26,SRR314814,root,TPM
AT1G12010,11.97,SRR515074,light-grown seedling,TPM
AT1G12010,11.5,SRR653577,light-grown seedling,TPM
AT1G12010,11.41,SRR1049784,dark-grown seedling,TPM
AT1G12010,11.05,SRR584134,light-grown seedling,TPM
AT1G12010,9.86,SRR653576,light-grown seedling,TPM
AT1G12010,9.86,SRR653578,light-grown seedling,TPM
AT1G12010,9.63,SRR1001910,light-grown seedling,TPM
AT1G12010,9.48,SRR446040,leaf,TPM
AT1G12010,8.97,SRR493238,dark-grown seedling,TPM
AT1G12010,8.74,SRR924656,leaf,TPM
AT1G12010,8.54,SRR493237,dark-grown seedling,TPM
AT1G12010,8.52,SRR1260033,root apical meristem,TPM
AT1G12010,7.89,SRR1001909,light-grown seedling,TPM
AT1G12010,7.71,SRR653574,light-grown seedling,TPM
AT1G12010,7.46,SRR764885,leaf,TPM
AT1G12010,7.28,SRR653573,light-grown seedling,TPM
AT1G12010,6.76,SRR1260032,root apical meristem,TPM
AT1G12010,6.49,SRR1159837,leaf,TPM
AT1G12010,6.36,SRR653575,light-grown seedling,TPM
AT1G12010,5.73,SRR394082,light-grown seedling,TPM
AT1G12010,5.16,SRR653555,light-grown seedling,TPM
AT1G12010,4.93,SRR548277,aerial,TPM
AT1G12010,4.72,SRR653557,light-grown seedling,TPM
AT1G12010,4.6,SRR942022,leaf,TPM
AT1G12010,4.57,SRR653556,light-grown seedling,TPM
AT1G12010,4.56,SRR653563,light-grown seedling,TPM
AT1G12010,4.55,SRR346553,light-grown seedling,TPM
AT1G12010,4.4,SRR653568,light-grown seedling,TPM
AT1G12010,4.34,SRR653567,light-grown seedling,TPM
AT1G12010,4.26,SRR1159827,leaf,TPM
AT1G12010,3.99,SRR653561,light-grown seedling,TPM
AT1G12010,3.97,SRR346552,light-grown seedling,TPM
AT1G12010,3.95,SRR345561,light-grown seedling,TPM
AT1G12010,3.94,SRR1105822,leaf,TPM
AT1G12010,3.73,SRR446487,leaf,TPM
AT1G12010,3.69,SRR446485,leaf,TPM
AT1G12010,3.66,SRR515073,light-grown seedling,TPM
AT1G12010,3.63,SRR584121,light-grown seedling,TPM
AT1G12010,3.63,SRR797230,light-grown seedling,TPM
AT1G12010,3.62,SRR653564,light-grown seedling,TPM
AT1G12010,3.61,SRR1105823,leaf,TPM
AT1G12010,3.57,SRR833246,light-grown seedling,TPM
AT1G12010,3.5,SRR1019221,light-grown seedling,TPM
AT1G12010,3.49,SRR653571,light-grown seedling,TPM
AT1G12010,3.43,SRR653565,light-grown seedling,TPM
AT1G12010,3.43,SRR847503,aerial,TPM
AT1G12010,3.38,SRR653570,light-grown seedling,TPM
AT1G12010,3.28,SRR547531,aerial,TPM
AT1G12010,3.17,SRR493036,leaf,TPM
AT1G12010,3.08,SRR446033,leaf,TPM
AT1G12010,3.07,SRR653562,light-grown seedling,TPM
AT1G12010,3.06,SRR653566,light-grown seedling,TPM
AT1G12010,2.98,SRR653569,light-grown seedling,TPM
AT1G12010,2.97,SRR1159821,leaf,TPM
AT1G12010,2.77,SRR493097,leaf,TPM
AT1G12010,2.74,SRR653572,light-grown seedling,TPM
AT1G12010,2.54,SRR847504,aerial,TPM
AT1G12010,2.53,SRR493101,leaf,TPM
AT1G12010,2.43,SRR446039,leaf,TPM
AT1G12010,2.42,SRR847505,aerial,TPM
AT1G12010,2.42,SRR934391,leaf,TPM
AT1G12010,2.34,ERR274310,aerial,TPM
AT1G12010,2.28,SRR949989,shoot apical meristem,TPM
AT1G12010,2.21,SRR504181,light-grown seedling,TPM
AT1G12010,2.19,SRR949988,shoot apical meristem,TPM
AT1G12010,2.12,SRR493098,leaf,TPM
AT1G12010,1.66,SRR314813,leaf,TPM
AT1G12010,1.66,SRR345562,light-grown seedling,TPM
AT1G12010,1.64,SRR504180,light-grown seedling,TPM
AT1G12010,1.61,SRR446034,leaf,TPM
AT1G12010,1.56,SRR847506,aerial,TPM
AT1G12010,1.51,SRR504179,light-grown seedling,TPM
AT1G12010,1.5,SRR797194,light-grown seedling,TPM
AT1G12010,1.46,SRR446027,leaf,TPM
AT1G12010,1.46,SRR446028,leaf,TPM
AT1G12010,1.45,SRR949965,shoot apical meristem,TPM
AT1G12010,1.1,SRR949956,shoot apical meristem,TPM
AT1G12010,1.05,SRR070571,light-grown seedling,TPM
AT1G12010,0.82,SRR401418,receptacle,TPM
AT1G12010,0.74,SRR070570,light-grown seedling,TPM
AT1G12010,0.7,SRR800754,stage 12 inflorescence,TPM
AT1G12010,0.68,SRR401416,receptacle,TPM
AT1G12010,0.61,SRR401421,receptacle,TPM
AT1G12010,0.6,SRR314815,stage 12 inflorescence,TPM
AT1G12010,0.6,SRR401414,receptacle,TPM
AT1G12010,0.56,SRR401419,receptacle,TPM
AT1G12010,0.54,SRR800753,stage 12 inflorescence,TPM
AT1G12010,0.43,SRR401415,receptacle,TPM
AT1G12010,0.42,SRR401413,receptacle,TPM
AT1G12010,0.4,SRR401420,receptacle,TPM
AT1G12010,0.32,SRR401417,receptacle,TPM
AT1G12010,0.13,SRR847502,pollen,TPM
AT1G12010,0.1,SRR527164,light-grown seedling,TPM
AT1G12010,0.08,SRR1207194,carpel,TPM
AT1G12010,0.03,SRR527165,light-grown seedling,TPM
AT1G12010,0.0,SRR1207195,carpel,TPM
AT1G12010,0.0,SRR847501,pollen,TPM
