gene_id,expressionLevel,SRAaccession,experiment_tissue,unit
AT5G67300,539.44,SRR446028,leaf,TPM
AT5G67300,394.99,SRR446027,leaf,TPM
AT5G67300,253.99,SRR446034,leaf,TPM
AT5G67300,209.96,ERR274310,aerial,TPM
AT5G67300,204.62,SRR1207195,carpel,TPM
AT5G67300,174.86,SRR1159827,leaf,TPM
AT5G67300,169.48,SRR446033,leaf,TPM
AT5G67300,163.86,SRR797230,light-grown seedling,TPM
AT5G67300,157.87,SRR446039,leaf,TPM
AT5G67300,154.41,SRR1159837,leaf,TPM
AT5G67300,145.74,ERR274309,root,TPM
AT5G67300,142.59,SRR942022,leaf,TPM
AT5G67300,118.07,SRR446040,leaf,TPM
AT5G67300,110.16,SRR1207194,carpel,TPM
AT5G67300,109.62,SRR833246,light-grown seedling,TPM
AT5G67300,106.24,SRR1524940,root,TPM
AT5G67300,105.03,SRR584115,light-grown seedling,TPM
AT5G67300,104.85,SRR493097,leaf,TPM
AT5G67300,104.06,SRR401421,receptacle,TPM
AT5G67300,103.87,SRR401419,receptacle,TPM
AT5G67300,102.74,SRR401415,receptacle,TPM
AT5G67300,102.31,SRR847506,aerial,TPM
AT5G67300,101.85,SRR314815,stage 12 inflorescence,TPM
AT5G67300,100.65,SRR401420,receptacle,TPM
AT5G67300,100.61,SRR401413,receptacle,TPM
AT5G67300,97.69,SRR847505,aerial,TPM
AT5G67300,96.27,SRR797194,light-grown seedling,TPM
AT5G67300,94.44,SRR401414,receptacle,TPM
AT5G67300,93.34,SRR1260033,root apical meristem,TPM
AT5G67300,92.58,SRR1524938,root,TPM
AT5G67300,92.3,SRR401416,receptacle,TPM
AT5G67300,88.75,SRR401417,receptacle,TPM
AT5G67300,88.26,SRR493036,leaf,TPM
AT5G67300,85.71,SRR800754,stage 12 inflorescence,TPM
AT5G67300,85.17,SRR1524935,root,TPM
AT5G67300,85.14,SRR401418,receptacle,TPM
AT5G67300,81.21,SRR446486,leaf,TPM
AT5G67300,76.84,SRR1046910,root,TPM
AT5G67300,75.25,SRR346553,light-grown seedling,TPM
AT5G67300,75.19,SRR446484,leaf,TPM
AT5G67300,73.09,SRR800753,stage 12 inflorescence,TPM
AT5G67300,71.68,SRR314814,root,TPM
AT5G67300,70.09,SRR584134,light-grown seedling,TPM
AT5G67300,66.32,SRR515073,light-grown seedling,TPM
AT5G67300,66.06,SRR1046909,root,TPM
AT5G67300,62.61,SRR493101,leaf,TPM
AT5G67300,59.83,SRR493098,leaf,TPM
AT5G67300,57.62,SRR584129,light-grown seedling,TPM
AT5G67300,57.22,SRR515074,light-grown seedling,TPM
AT5G67300,56.92,SRR547531,aerial,TPM
AT5G67300,56.07,SRR1019437,dark-grown seedling,TPM
AT5G67300,52.45,SRR314813,leaf,TPM
AT5G67300,52.03,SRR764885,leaf,TPM
AT5G67300,50.9,SRR1019436,dark-grown seedling,TPM
AT5G67300,50.85,SRR346552,light-grown seedling,TPM
AT5G67300,50.22,SRR1260032,root apical meristem,TPM
AT5G67300,46.38,SRR1159821,leaf,TPM
AT5G67300,45.91,SRR477075,dark-grown seedling,TPM
AT5G67300,45.37,SRR477076,dark-grown seedling,TPM
AT5G67300,44.82,SRR934391,leaf,TPM
AT5G67300,42.69,SRR493238,dark-grown seedling,TPM
AT5G67300,42.32,SRR493237,dark-grown seedling,TPM
AT5G67300,42.32,SRR548277,aerial,TPM
AT5G67300,40.34,SRR394082,light-grown seedling,TPM
AT5G67300,38.29,SRR1001910,light-grown seedling,TPM
AT5G67300,36.53,SRR1001909,light-grown seedling,TPM
AT5G67300,36.13,SRR653573,light-grown seedling,TPM
AT5G67300,35.09,SRR1261509,root apical meristem,TPM
AT5G67300,34.77,SRR1049784,dark-grown seedling,TPM
AT5G67300,34.53,SRR924656,leaf,TPM
AT5G67300,34.42,SRR653574,light-grown seedling,TPM
AT5G67300,33.46,SRR1019221,light-grown seedling,TPM
AT5G67300,32.98,SRR653556,light-grown seedling,TPM
AT5G67300,32.61,SRR653575,light-grown seedling,TPM
AT5G67300,32.23,SRR949989,shoot apical meristem,TPM
AT5G67300,31.71,SRR653578,light-grown seedling,TPM
AT5G67300,31.53,SRR446485,leaf,TPM
AT5G67300,30.15,SRR653577,light-grown seedling,TPM
AT5G67300,29.44,SRR847503,aerial,TPM
