gene_id,expressionLevel,SRAaccession,experiment_tissue,unit
AT5G25810,52.5,SRR314814,root,TPM
AT5G25810,47.7,SRR1260032,root apical meristem,TPM
AT5G25810,47.38,ERR274309,root,TPM
AT5G25810,37.48,SRR1260033,root apical meristem,TPM
AT5G25810,32.09,SRR797230,light-grown seedling,TPM
AT5G25810,30.9,SRR1046910,root,TPM
AT5G25810,30.21,SRR833246,light-grown seedling,TPM
AT5G25810,26.63,SRR1524935,root,TPM
AT5G25810,22.47,SRR1524938,root,TPM
AT5G25810,21.56,SRR1046909,root,TPM
AT5G25810,20.23,SRR1524940,root,TPM
AT5G25810,16.09,SRR653572,light-grown seedling,TPM
AT5G25810,15.12,SRR653573,light-grown seedling,TPM
AT5G25810,15.03,SRR653574,light-grown seedling,TPM
AT5G25810,14.68,SRR653571,light-grown seedling,TPM
AT5G25810,14.6,SRR653568,light-grown seedling,TPM
AT5G25810,13.85,SRR653569,light-grown seedling,TPM
AT5G25810,13.68,SRR653575,light-grown seedling,TPM
AT5G25810,13.66,SRR653570,light-grown seedling,TPM
AT5G25810,13.36,SRR446028,leaf,TPM
AT5G25810,13.25,SRR653565,light-grown seedling,TPM
AT5G25810,13.08,SRR653567,light-grown seedling,TPM
AT5G25810,11.77,SRR653566,light-grown seedling,TPM
AT5G25810,11.74,SRR797194,light-grown seedling,TPM
AT5G25810,11.66,SRR653564,light-grown seedling,TPM
AT5G25810,11.27,SRR493237,dark-grown seedling,TPM
AT5G25810,10.59,SRR446027,leaf,TPM
AT5G25810,9.99,SRR493238,dark-grown seedling,TPM
AT5G25810,9.44,SRR653555,light-grown seedling,TPM
AT5G25810,9.39,SRR653578,light-grown seedling,TPM
AT5G25810,9.36,SRR653556,light-grown seedling,TPM
AT5G25810,9.28,SRR653577,light-grown seedling,TPM
AT5G25810,8.69,SRR653576,light-grown seedling,TPM
AT5G25810,8.41,SRR653557,light-grown seedling,TPM
AT5G25810,7.98,SRR1001909,light-grown seedling,TPM
AT5G25810,7.6,SRR515074,light-grown seedling,TPM
AT5G25810,7.6,SRR584115,light-grown seedling,TPM
AT5G25810,7.48,SRR584129,light-grown seedling,TPM
AT5G25810,7.42,SRR1001910,light-grown seedling,TPM
AT5G25810,7.36,SRR653561,light-grown seedling,TPM
AT5G25810,7.23,SRR1261509,root apical meristem,TPM
AT5G25810,6.93,SRR345562,light-grown seedling,TPM
AT5G25810,6.34,SRR653563,light-grown seedling,TPM
AT5G25810,5.51,SRR1019436,dark-grown seedling,TPM
AT5G25810,5.25,SRR515073,light-grown seedling,TPM
AT5G25810,5.07,SRR653562,light-grown seedling,TPM
AT5G25810,4.65,SRR1019221,light-grown seedling,TPM
AT5G25810,4.29,SRR1019437,dark-grown seedling,TPM
AT5G25810,3.41,SRR584134,light-grown seedling,TPM
AT5G25810,3.26,SRR401417,receptacle,TPM
AT5G25810,2.95,SRR345561,light-grown seedling,TPM
AT5G25810,2.51,SRR401421,receptacle,TPM
AT5G25810,2.4,SRR401418,receptacle,TPM
AT5G25810,2.37,SRR847504,aerial,TPM
AT5G25810,2.26,ERR274310,aerial,TPM
AT5G25810,2.26,SRR401419,receptacle,TPM
AT5G25810,2.17,SRR847503,aerial,TPM
AT5G25810,2.13,SRR401414,receptacle,TPM
AT5G25810,2.09,SRR401415,receptacle,TPM
AT5G25810,2.06,SRR401413,receptacle,TPM
AT5G25810,2.06,SRR446485,leaf,TPM
AT5G25810,2.02,SRR584121,light-grown seedling,TPM
AT5G25810,2.01,SRR401416,receptacle,TPM
AT5G25810,2.01,SRR924656,leaf,TPM
AT5G25810,1.97,SRR847505,aerial,TPM
AT5G25810,1.9,SRR446487,leaf,TPM
AT5G25810,1.84,SRR401420,receptacle,TPM
AT5G25810,1.68,SRR346552,light-grown seedling,TPM
AT5G25810,1.64,SRR070570,light-grown seedling,TPM
AT5G25810,1.61,SRR949988,shoot apical meristem,TPM
AT5G25810,1.57,SRR477076,dark-grown seedling,TPM
AT5G25810,1.49,SRR446039,leaf,TPM
AT5G25810,1.47,SRR949965,shoot apical meristem,TPM
AT5G25810,1.27,SRR942022,leaf,TPM
AT5G25810,1.24,SRR1159837,leaf,TPM
AT5G25810,1.24,SRR504180,light-grown seedling,TPM
AT5G25810,1.24,SRR847506,aerial,TPM
AT5G25810,1.23,SRR477075,dark-grown seedling,TPM
AT5G25810,1.22,SRR493036,leaf,TPM
AT5G25810,1.11,SRR949956,shoot apical meristem,TPM
AT5G25810,1.09,SRR346553,light-grown seedling,TPM
AT5G25810,1.08,SRR394082,light-grown seedling,TPM
AT5G25810,0.99,SRR070571,light-grown seedling,TPM
AT5G25810,0.99,SRR504179,light-grown seedling,TPM
AT5G25810,0.96,SRR1105822,leaf,TPM
AT5G25810,0.84,SRR446040,leaf,TPM
AT5G25810,0.84,SRR949989,shoot apical meristem,TPM
AT5G25810,0.78,SRR446034,leaf,TPM
AT5G25810,0.75,SRR493097,leaf,TPM
AT5G25810,0.73,SRR548277,aerial,TPM
AT5G25810,0.72,SRR504181,light-grown seedling,TPM
AT5G25810,0.68,SRR314813,leaf,TPM
AT5G25810,0.64,SRR493101,leaf,TPM
AT5G25810,0.62,SRR446033,leaf,TPM
AT5G25810,0.62,SRR547531,aerial,TPM
AT5G25810,0.59,SRR1159821,leaf,TPM
AT5G25810,0.57,SRR493098,leaf,TPM
AT5G25810,0.56,SRR1105823,leaf,TPM
AT5G25810,0.56,SRR764885,leaf,TPM
AT5G25810,0.5,SRR446486,leaf,TPM
AT5G25810,0.4,SRR446484,leaf,TPM
AT5G25810,0.33,SRR1159827,leaf,TPM
AT5G25810,0.28,SRR1049784,dark-grown seedling,TPM
AT5G25810,0.24,SRR1207194,carpel,TPM
AT5G25810,0.14,SRR1207195,carpel,TPM
AT5G25810,0.14,SRR800754,stage 12 inflorescence,TPM
AT5G25810,0.11,SRR934391,leaf,TPM
AT5G25810,0.08,SRR314815,stage 12 inflorescence,TPM
AT5G25810,0.0,SRR527164,light-grown seedling,TPM
AT5G25810,0.0,SRR527165,light-grown seedling,TPM
AT5G25810,0.0,SRR800753,stage 12 inflorescence,TPM
AT5G25810,0.0,SRR847501,pollen,TPM
AT5G25810,0.0,SRR847502,pollen,TPM
