,gene_id,light-grown seedling,dark-grown seedling,leaf,root,shoot apical meristem,root apical meristem
ACO2,AT1G62380,343.830222222222,2647.04,230.621666666667,302.467142857143,184.96,106.66
G2like_At1g68670_col,AT1G68670,26.5177777777778,72.4328571428571,39.9104166666667,33.17,13.0525,32.16
G2like_At3g04030_col_a,AT3G04030,7.05533333333333,4.06285714285714,7.34416666666667,7.62857142857143,2.9275,0.78
G2like_AT5G45580_col_a,AT5G45580,1.21577777777778,2.10285714285714,0.380833333333333,14.0371428571429,0.5475,8.91666666666667
HB_ATHB53_col_a,AT5G66700,0.731777777777778,4.05857142857143,1.06708333333333,3.89857142857143,0.28,0.0733333333333333
Homeobox_ATHB13_col_a,AT1G69780,17.466,20.3285714285714,14.18125,28.4571428571429,17.725,21.62
Homeobox_ATHB7_col_a,AT2G46680,20.4288888888889,39.5142857142857,19.6995833333333,72.1528571428571,4.565,4.10666666666667
Homeobox_ecoli_HAT2_col_v31,AT5G47370,22.7335555555556,50.17,23.0475,28.2042857142857,10.6825,39.8666666666667
Homeobox_PDF2_col,AT4G04890,38.576,33.9142857142857,31.21875,3.39142857142857,56.02,0.133333333333333
MYB_MYB44_col,AT5G67300,36.5217777777778,45.4328571428571,121.47,92.0442857142857,28.3,59.55
MYB_MYB49_col_a,AT5G54230,3.10155555555556,6.60714285714286,0.1275,20.8085714285714,0.06,4.20333333333333
MYB_MYB67_col_a,AT3G12720,1.43044444444444,0.25,0.0183333333333333,9.64714285714286,0.06,0.0166666666666667
MYB_MYB70_col_a,AT2G23290,10.0673333333333,12.9085714285714,10.995,10.2057142857143,10.5425,16.6
MYB_MYB77_col_a,AT3G50060,8.66533333333333,3.80571428571429,22.8858333333333,13.9285714285714,13.2725,4.29
MYBrelated_RVE1_col_a,AT5G17300,21.9928888888889,24.7971428571429,14.1575,6.26285714285714,1.1375,14.11
RAV_RAV1_col,AT1G13260,19.2588888888889,122.574285714286,74.85375,62.3157142857143,13.1825,26.56
ZFHD_ATHB23_col_b,AT5G39760,11.4075555555556,16.6728571428571,13.67875,7.34857142857143,9.4725,15.5233333333333
ZFHD_ATHB25_col_a,AT5G65410,21.0286666666667,10.29,12.21,0.07,45.675,0.35
