gene_id,expressionLevel,SRAaccession,experiment_tissue,unit
AT3G47500,110.54,SRR764885,leaf,TPM
AT3G47500,110.36,SRR847506,aerial,TPM
AT3G47500,103.61,SRR847505,aerial,TPM
AT3G47500,86.09,SRR493101,leaf,TPM
AT3G47500,81.87,SRR446486,leaf,TPM
AT3G47500,79.58,SRR493098,leaf,TPM
AT3G47500,75.66,SRR493097,leaf,TPM
AT3G47500,72.2,SRR446028,leaf,TPM
AT3G47500,71.68,SRR653563,light-grown seedling,TPM
AT3G47500,71.65,SRR446484,leaf,TPM
AT3G47500,70.71,SRR942022,leaf,TPM
AT3G47500,69.32,SRR653562,light-grown seedling,TPM
AT3G47500,69.01,SRR446485,leaf,TPM
AT3G47500,68.28,SRR314813,leaf,TPM
AT3G47500,67.28,SRR547531,aerial,TPM
AT3G47500,66.06,SRR653565,light-grown seedling,TPM
AT3G47500,65.69,SRR653566,light-grown seedling,TPM
AT3G47500,65.39,SRR653564,light-grown seedling,TPM
AT3G47500,63.75,SRR653561,light-grown seedling,TPM
AT3G47500,62.78,SRR446487,leaf,TPM
AT3G47500,54.71,SRR1105823,leaf,TPM
AT3G47500,51.35,SRR1105822,leaf,TPM
AT3G47500,42.44,SRR548277,aerial,TPM
AT3G47500,38.46,SRR934391,leaf,TPM
AT3G47500,36.81,SRR446027,leaf,TPM
AT3G47500,34.89,SRR949965,shoot apical meristem,TPM
AT3G47500,33.37,ERR274309,root,TPM
AT3G47500,33.33,SRR314815,stage 12 inflorescence,TPM
AT3G47500,33.33,SRR847504,aerial,TPM
AT3G47500,32.7,SRR847503,aerial,TPM
AT3G47500,32.43,SRR949956,shoot apical meristem,TPM
AT3G47500,31.08,ERR274310,aerial,TPM
AT3G47500,30.62,SRR800753,stage 12 inflorescence,TPM
AT3G47500,29.52,SRR800754,stage 12 inflorescence,TPM
AT3G47500,28.47,SRR1046910,root,TPM
AT3G47500,27.63,SRR797230,light-grown seedling,TPM
AT3G47500,27.06,SRR924656,leaf,TPM
AT3G47500,24.29,SRR653557,light-grown seedling,TPM
AT3G47500,24.29,SRR653567,light-grown seedling,TPM
AT3G47500,24.17,SRR1159827,leaf,TPM
AT3G47500,24.05,SRR653556,light-grown seedling,TPM
AT3G47500,23.17,SRR584129,light-grown seedling,TPM
AT3G47500,22.72,SRR833246,light-grown seedling,TPM
AT3G47500,21.68,SRR653555,light-grown seedling,TPM
AT3G47500,21.51,SRR653568,light-grown seedling,TPM
AT3G47500,21.33,SRR1159837,leaf,TPM
AT3G47500,21.24,SRR1159821,leaf,TPM
AT3G47500,20.7,SRR653569,light-grown seedling,TPM
AT3G47500,20.48,SRR584121,light-grown seedling,TPM
AT3G47500,19.62,SRR1001909,light-grown seedling,TPM
AT3G47500,18.89,SRR1046909,root,TPM
AT3G47500,18.88,SRR346553,light-grown seedling,TPM
AT3G47500,18.42,SRR949989,shoot apical meristem,TPM
AT3G47500,18.17,SRR584115,light-grown seedling,TPM
AT3G47500,17.68,SRR949988,shoot apical meristem,TPM
AT3G47500,17.64,SRR1049784,dark-grown seedling,TPM
AT3G47500,17.54,SRR314814,root,TPM
AT3G47500,16.64,SRR401416,receptacle,TPM
AT3G47500,15.57,SRR1001910,light-grown seedling,TPM
AT3G47500,15.37,SRR401418,receptacle,TPM
AT3G47500,15.32,SRR584134,light-grown seedling,TPM
AT3G47500,14.95,SRR346552,light-grown seedling,TPM
AT3G47500,14.93,SRR401415,receptacle,TPM
AT3G47500,14.77,SRR401417,receptacle,TPM
AT3G47500,14.62,SRR401413,receptacle,TPM
AT3G47500,14.57,SRR401414,receptacle,TPM
AT3G47500,13.91,SRR401421,receptacle,TPM
AT3G47500,13.66,SRR401419,receptacle,TPM
AT3G47500,13.6,SRR504179,light-grown seedling,TPM
AT3G47500,12.86,SRR401420,receptacle,TPM
AT3G47500,12.6,SRR1524938,root,TPM
AT3G47500,12.5,SRR493237,dark-grown seedling,TPM
AT3G47500,12.38,SRR1524935,root,TPM
AT3G47500,12.03,SRR797194,light-grown seedling,TPM
AT3G47500,11.86,SRR493238,dark-grown seedling,TPM
AT3G47500,10.13,SRR394082,light-grown seedling,TPM
AT3G47500,9.86,SRR345562,light-grown seedling,TPM
AT3G47500,9.71,SRR1260033,root apical meristem,TPM
AT3G47500,9.69,SRR1019436,dark-grown seedling,TPM
AT3G47500,9.2,SRR446034,leaf,TPM
AT3G47500,8.98,SRR1019437,dark-grown seedling,TPM
AT3G47500,8.53,SRR504180,light-grown seedling,TPM
AT3G47500,8.39,SRR1524940,root,TPM
AT3G47500,8.01,SRR504181,light-grown seedling,TPM
AT3G47500,6.67,SRR653578,light-grown seedling,TPM
AT3G47500,6.65,SRR477075,dark-grown seedling,TPM
AT3G47500,6.49,SRR477076,dark-grown seedling,TPM
AT3G47500,6.13,SRR653570,light-grown seedling,TPM
AT3G47500,5.88,SRR653577,light-grown seedling,TPM
AT3G47500,5.8,SRR653576,light-grown seedling,TPM
AT3G47500,5.26,SRR653571,light-grown seedling,TPM
AT3G47500,5.21,SRR653572,light-grown seedling,TPM
AT3G47500,4.09,SRR345561,light-grown seedling,TPM
AT3G47500,4.02,SRR493036,leaf,TPM
AT3G47500,3.84,SRR446033,leaf,TPM
AT3G47500,3.78,SRR1019221,light-grown seedling,TPM
AT3G47500,3.61,SRR1207195,carpel,TPM
AT3G47500,3.54,SRR070570,light-grown seedling,TPM
AT3G47500,3.51,SRR1260032,root apical meristem,TPM
AT3G47500,3.23,SRR446040,leaf,TPM
AT3G47500,2.54,SRR446039,leaf,TPM
AT3G47500,2.43,SRR070571,light-grown seedling,TPM
AT3G47500,2.13,SRR653575,light-grown seedling,TPM
AT3G47500,2.02,SRR653574,light-grown seedling,TPM
AT3G47500,1.64,SRR1261509,root apical meristem,TPM
AT3G47500,1.54,SRR653573,light-grown seedling,TPM
AT3G47500,1.33,SRR1207194,carpel,TPM
AT3G47500,1.19,SRR515073,light-grown seedling,TPM
AT3G47500,0.97,SRR515074,light-grown seedling,TPM
AT3G47500,0.94,SRR527164,light-grown seedling,TPM
AT3G47500,0.71,SRR527165,light-grown seedling,TPM
AT3G47500,0.37,SRR847501,pollen,TPM
AT3G47500,0.33,SRR847502,pollen,TPM
