gene_id,expressionLevel,SRAaccession,experiment_tissue,unit
AT4G32800,242.39,SRR446028,leaf,TPM
AT4G32800,180.91,SRR446027,leaf,TPM
AT4G32800,61.96,SRR797230,light-grown seedling,TPM
AT4G32800,59.51,SRR1159837,leaf,TPM
AT4G32800,58.32,ERR274310,aerial,TPM
AT4G32800,51.21,SRR833246,light-grown seedling,TPM
AT4G32800,45.45,SRR446033,leaf,TPM
AT4G32800,33.05,ERR274309,root,TPM
AT4G32800,32.36,SRR446039,leaf,TPM
AT4G32800,30.9,SRR797194,light-grown seedling,TPM
AT4G32800,27.5,SRR401416,receptacle,TPM
AT4G32800,26.7,SRR401417,receptacle,TPM
AT4G32800,26.51,SRR401413,receptacle,TPM
AT4G32800,26.32,SRR346553,light-grown seedling,TPM
AT4G32800,25.14,SRR346552,light-grown seedling,TPM
AT4G32800,25.14,SRR493036,leaf,TPM
AT4G32800,24.24,SRR401415,receptacle,TPM
AT4G32800,24.24,SRR401419,receptacle,TPM
AT4G32800,24.05,SRR401414,receptacle,TPM
AT4G32800,23.03,SRR401418,receptacle,TPM
AT4G32800,22.76,SRR446034,leaf,TPM
AT4G32800,22.72,SRR401420,receptacle,TPM
AT4G32800,20.57,SRR584134,light-grown seedling,TPM
AT4G32800,20.46,SRR401421,receptacle,TPM
AT4G32800,19.0,SRR493097,leaf,TPM
AT4G32800,18.13,SRR394082,light-grown seedling,TPM
AT4G32800,17.47,SRR446040,leaf,TPM
AT4G32800,15.99,SRR847505,aerial,TPM
AT4G32800,14.93,SRR847506,aerial,TPM
AT4G32800,13.63,SRR1105823,leaf,TPM
AT4G32800,13.56,SRR1207195,carpel,TPM
AT4G32800,12.42,SRR847504,aerial,TPM
AT4G32800,12.35,SRR847503,aerial,TPM
AT4G32800,12.15,SRR1105822,leaf,TPM
AT4G32800,11.53,SRR1524940,root,TPM
AT4G32800,11.25,SRR1159821,leaf,TPM
AT4G32800,11.16,SRR949988,shoot apical meristem,TPM
AT4G32800,10.57,SRR493098,leaf,TPM
AT4G32800,10.07,SRR1159827,leaf,TPM
AT4G32800,9.99,SRR949989,shoot apical meristem,TPM
AT4G32800,9.94,SRR493101,leaf,TPM
AT4G32800,9.64,SRR504180,light-grown seedling,TPM
AT4G32800,9.49,SRR949965,shoot apical meristem,TPM
AT4G32800,9.43,SRR1524935,root,TPM
AT4G32800,9.27,SRR934391,leaf,TPM
AT4G32800,8.87,SRR942022,leaf,TPM
