gene_id,expressionLevel,SRAaccession,experiment_tissue,unit
AT3G21890,29.1,SRR548277,aerial,TPM
AT3G21890,23.16,SRR446028,leaf,TPM
AT3G21890,22.92,SRR847506,aerial,TPM
AT3G21890,21.43,SRR547531,aerial,TPM
AT3G21890,20.72,SRR653561,light-grown seedling,TPM
AT3G21890,19.4,SRR847505,aerial,TPM
AT3G21890,17.49,SRR653562,light-grown seedling,TPM
AT3G21890,16.73,SRR653563,light-grown seedling,TPM
AT3G21890,8.46,SRR942022,leaf,TPM
AT3G21890,7.98,SRR653557,light-grown seedling,TPM
AT3G21890,7.1,SRR653555,light-grown seedling,TPM
AT3G21890,6.62,SRR493098,leaf,TPM
AT3G21890,6.01,SRR653556,light-grown seedling,TPM
AT3G21890,5.3,SRR446486,leaf,TPM
AT3G21890,5.29,SRR314815,stage 12 inflorescence,TPM
AT3G21890,4.86,SRR314814,root,TPM
AT3G21890,4.77,SRR1260033,root apical meristem,TPM
AT3G21890,4.73,SRR493101,leaf,TPM
AT3G21890,4.57,SRR653565,light-grown seedling,TPM
AT3G21890,4.36,SRR584121,light-grown seedling,TPM
AT3G21890,4.36,SRR800754,stage 12 inflorescence,TPM
AT3G21890,4.14,SRR653564,light-grown seedling,TPM
AT3G21890,3.67,SRR800753,stage 12 inflorescence,TPM
AT3G21890,3.25,SRR584115,light-grown seedling,TPM
AT3G21890,2.94,SRR797230,light-grown seedling,TPM
AT3G21890,2.73,SRR1046909,root,TPM
AT3G21890,2.62,SRR1260032,root apical meristem,TPM
AT3G21890,2.56,SRR653566,light-grown seedling,TPM
AT3G21890,2.49,SRR446484,leaf,TPM
AT3G21890,2.38,SRR764885,leaf,TPM
AT3G21890,2.34,SRR446027,leaf,TPM
AT3G21890,1.98,SRR833246,light-grown seedling,TPM
AT3G21890,1.86,SRR797194,light-grown seedling,TPM
AT3G21890,1.84,SRR1105822,leaf,TPM
AT3G21890,1.83,SRR653578,light-grown seedling,TPM
AT3G21890,1.7,SRR314813,leaf,TPM
AT3G21890,1.56,SRR1524940,root,TPM
AT3G21890,1.51,SRR847501,pollen,TPM
AT3G21890,1.45,SRR1046910,root,TPM
AT3G21890,1.45,SRR653576,light-grown seedling,TPM
AT3G21890,1.44,SRR1524935,root,TPM
AT3G21890,1.38,SRR1524938,root,TPM
AT3G21890,1.32,SRR847502,pollen,TPM
AT3G21890,1.27,SRR1159821,leaf,TPM
AT3G21890,1.26,SRR493097,leaf,TPM
AT3G21890,1.15,SRR1105823,leaf,TPM
AT3G21890,1.14,SRR1159837,leaf,TPM
AT3G21890,1.12,SRR446487,leaf,TPM
AT3G21890,1.08,SRR070571,light-grown seedling,TPM
AT3G21890,1.0,SRR584129,light-grown seedling,TPM
AT3G21890,0.99,ERR274309,root,TPM
AT3G21890,0.99,SRR1159827,leaf,TPM
AT3G21890,0.96,SRR070570,light-grown seedling,TPM
AT3G21890,0.96,SRR653577,light-grown seedling,TPM
AT3G21890,0.93,SRR847503,aerial,TPM
AT3G21890,0.86,SRR653567,light-grown seedling,TPM
AT3G21890,0.82,SRR1207194,carpel,TPM
AT3G21890,0.82,SRR401419,receptacle,TPM
AT3G21890,0.75,SRR1207195,carpel,TPM
AT3G21890,0.73,SRR934391,leaf,TPM
AT3G21890,0.67,SRR653570,light-grown seedling,TPM
AT3G21890,0.65,SRR446485,leaf,TPM
AT3G21890,0.63,SRR401417,receptacle,TPM
AT3G21890,0.63,SRR949965,shoot apical meristem,TPM
AT3G21890,0.57,SRR446039,leaf,TPM
AT3G21890,0.55,SRR401415,receptacle,TPM
AT3G21890,0.52,SRR493036,leaf,TPM
AT3G21890,0.5,SRR1001910,light-grown seedling,TPM
AT3G21890,0.5,SRR584134,light-grown seedling,TPM
AT3G21890,0.48,SRR504181,light-grown seedling,TPM
AT3G21890,0.46,ERR274310,aerial,TPM
AT3G21890,0.45,SRR1049784,dark-grown seedling,TPM
AT3G21890,0.4,SRR504179,light-grown seedling,TPM
AT3G21890,0.39,SRR401414,receptacle,TPM
AT3G21890,0.39,SRR847504,aerial,TPM
AT3G21890,0.35,SRR653575,light-grown seedling,TPM
AT3G21890,0.32,SRR401421,receptacle,TPM
AT3G21890,0.31,SRR515074,light-grown seedling,TPM
AT3G21890,0.3,SRR401416,receptacle,TPM
AT3G21890,0.3,SRR504180,light-grown seedling,TPM
AT3G21890,0.29,SRR653568,light-grown seedling,TPM
AT3G21890,0.29,SRR653572,light-grown seedling,TPM
AT3G21890,0.29,SRR949956,shoot apical meristem,TPM
AT3G21890,0.27,SRR401413,receptacle,TPM
AT3G21890,0.26,SRR401420,receptacle,TPM
AT3G21890,0.25,SRR515073,light-grown seedling,TPM
AT3G21890,0.25,SRR653571,light-grown seedling,TPM
AT3G21890,0.21,SRR346552,light-grown seedling,TPM
AT3G21890,0.19,SRR401418,receptacle,TPM
AT3G21890,0.18,SRR446040,leaf,TPM
AT3G21890,0.17,SRR346553,light-grown seedling,TPM
AT3G21890,0.17,SRR493238,dark-grown seedling,TPM
AT3G21890,0.16,SRR493237,dark-grown seedling,TPM
AT3G21890,0.12,SRR394082,light-grown seedling,TPM
AT3G21890,0.1,SRR1019221,light-grown seedling,TPM
AT3G21890,0.09,SRR653569,light-grown seedling,TPM
AT3G21890,0.06,SRR924656,leaf,TPM
AT3G21890,0.04,SRR446033,leaf,TPM
AT3G21890,0.04,SRR446034,leaf,TPM
AT3G21890,0.03,SRR345561,light-grown seedling,TPM
AT3G21890,0.03,SRR527165,light-grown seedling,TPM
AT3G21890,0.0,SRR1001909,light-grown seedling,TPM
AT3G21890,0.0,SRR1019436,dark-grown seedling,TPM
AT3G21890,0.0,SRR1019437,dark-grown seedling,TPM
AT3G21890,0.0,SRR1261509,root apical meristem,TPM
AT3G21890,0.0,SRR345562,light-grown seedling,TPM
AT3G21890,0.0,SRR477075,dark-grown seedling,TPM
AT3G21890,0.0,SRR477076,dark-grown seedling,TPM
AT3G21890,0.0,SRR527164,light-grown seedling,TPM
AT3G21890,0.0,SRR653573,light-grown seedling,TPM
AT3G21890,0.0,SRR653574,light-grown seedling,TPM
AT3G21890,0.0,SRR949988,shoot apical meristem,TPM
AT3G21890,0.0,SRR949989,shoot apical meristem,TPM
