gene_id,expressionLevel,SRAaccession,experiment_tissue,unit
AT3G50260,393.54,SRR1261509,root apical meristem,TPM
AT3G50260,101.52,ERR274309,root,TPM
AT3G50260,78.63,SRR446027,leaf,TPM
AT3G50260,52.75,SRR446028,leaf,TPM
AT3G50260,47.8,SRR797230,light-grown seedling,TPM
AT3G50260,46.5,SRR493238,dark-grown seedling,TPM
AT3G50260,40.88,SRR446486,leaf,TPM
AT3G50260,40.76,SRR1260033,root apical meristem,TPM
AT3G50260,40.58,SRR314814,root,TPM
AT3G50260,38.83,SRR1046909,root,TPM
AT3G50260,35.52,SRR493237,dark-grown seedling,TPM
AT3G50260,34.26,ERR274310,aerial,TPM
AT3G50260,34.11,SRR1159837,leaf,TPM
AT3G50260,33.26,SRR446484,leaf,TPM
AT3G50260,29.1,SRR833246,light-grown seedling,TPM
AT3G50260,27.79,SRR1046910,root,TPM
AT3G50260,27.68,SRR797194,light-grown seedling,TPM
AT3G50260,26.44,SRR1524940,root,TPM
AT3G50260,26.09,SRR493097,leaf,TPM
AT3G50260,25.53,SRR446039,leaf,TPM
AT3G50260,24.32,SRR1524938,root,TPM
AT3G50260,22.09,SRR446034,leaf,TPM
AT3G50260,21.64,SRR446033,leaf,TPM
AT3G50260,19.05,SRR1524935,root,TPM
AT3G50260,18.93,SRR515074,light-grown seedling,TPM
AT3G50260,17.25,SRR1019436,dark-grown seedling,TPM
AT3G50260,16.98,SRR515073,light-grown seedling,TPM
AT3G50260,16.54,SRR934391,leaf,TPM
AT3G50260,16.02,SRR1260032,root apical meristem,TPM
AT3G50260,15.38,SRR584134,light-grown seedling,TPM
AT3G50260,15.1,SRR942022,leaf,TPM
AT3G50260,14.41,SRR1019437,dark-grown seedling,TPM
AT3G50260,13.92,SRR346553,light-grown seedling,TPM
AT3G50260,12.47,SRR401416,receptacle,TPM
AT3G50260,12.42,SRR653569,light-grown seedling,TPM
AT3G50260,12.26,SRR653573,light-grown seedling,TPM
AT3G50260,12.09,SRR1049784,dark-grown seedling,TPM
AT3G50260,12.07,SRR653567,light-grown seedling,TPM
AT3G50260,11.47,SRR847505,aerial,TPM
AT3G50260,11.17,SRR653574,light-grown seedling,TPM
AT3G50260,11.06,SRR653575,light-grown seedling,TPM
AT3G50260,10.98,SRR653578,light-grown seedling,TPM
AT3G50260,10.88,SRR401413,receptacle,TPM
AT3G50260,10.52,SRR401418,receptacle,TPM
AT3G50260,10.45,SRR346552,light-grown seedling,TPM
AT3G50260,10.44,SRR653577,light-grown seedling,TPM
AT3G50260,10.19,SRR653572,light-grown seedling,TPM
AT3G50260,10.03,SRR653565,light-grown seedling,TPM
AT3G50260,9.97,SRR653570,light-grown seedling,TPM
AT3G50260,9.79,SRR401419,receptacle,TPM
AT3G50260,9.77,SRR401414,receptacle,TPM
AT3G50260,9.69,SRR847506,aerial,TPM
AT3G50260,9.58,SRR401417,receptacle,TPM
AT3G50260,9.46,SRR653566,light-grown seedling,TPM
AT3G50260,9.37,SRR401420,receptacle,TPM
AT3G50260,9.27,SRR653568,light-grown seedling,TPM
AT3G50260,8.91,SRR653564,light-grown seedling,TPM
AT3G50260,8.48,SRR401421,receptacle,TPM
AT3G50260,8.24,SRR477076,dark-grown seedling,TPM
AT3G50260,8.23,SRR401415,receptacle,TPM
AT3G50260,7.84,SRR345561,light-grown seedling,TPM
AT3G50260,7.63,SRR653563,light-grown seedling,TPM
AT3G50260,7.5,SRR504181,light-grown seedling,TPM
AT3G50260,7.44,SRR1001910,light-grown seedling,TPM
AT3G50260,7.43,SRR477075,dark-grown seedling,TPM
AT3G50260,7.17,SRR653571,light-grown seedling,TPM
AT3G50260,6.79,SRR345562,light-grown seedling,TPM
AT3G50260,6.74,SRR493101,leaf,TPM
AT3G50260,6.66,SRR653576,light-grown seedling,TPM
AT3G50260,6.36,SRR653555,light-grown seedling,TPM
AT3G50260,6.28,SRR446040,leaf,TPM
AT3G50260,5.81,SRR1001909,light-grown seedling,TPM
AT3G50260,5.7,SRR653557,light-grown seedling,TPM
AT3G50260,5.46,SRR653561,light-grown seedling,TPM
AT3G50260,5.37,SRR394082,light-grown seedling,TPM
AT3G50260,5.31,SRR584129,light-grown seedling,TPM
AT3G50260,5.17,SRR493098,leaf,TPM
AT3G50260,5.15,SRR653562,light-grown seedling,TPM
AT3G50260,4.83,SRR653556,light-grown seedling,TPM
AT3G50260,4.35,SRR584115,light-grown seedling,TPM
AT3G50260,4.15,SRR1159827,leaf,TPM
AT3G50260,3.86,SRR446485,leaf,TPM
AT3G50260,3.85,SRR1019221,light-grown seedling,TPM
AT3G50260,3.63,SRR764885,leaf,TPM
AT3G50260,3.45,SRR446487,leaf,TPM
AT3G50260,3.28,SRR547531,aerial,TPM
AT3G50260,3.12,SRR1159821,leaf,TPM
AT3G50260,2.7,SRR504180,light-grown seedling,TPM
AT3G50260,2.49,SRR584121,light-grown seedling,TPM
AT3G50260,2.46,SRR847503,aerial,TPM
AT3G50260,2.35,SRR847504,aerial,TPM
AT3G50260,2.3,SRR493036,leaf,TPM
AT3G50260,1.89,SRR924656,leaf,TPM
AT3G50260,1.47,SRR949965,shoot apical meristem,TPM
