gene_id,expressionLevel,SRAaccession,experiment_tissue,unit
AT3G04030,56.74,SRR504180,light-grown seedling,TPM
AT3G04030,31.38,SRR504181,light-grown seedling,TPM
AT3G04030,18.6,SRR493101,leaf,TPM
AT3G04030,16.99,SRR934391,leaf,TPM
AT3G04030,15.8,SRR504179,light-grown seedling,TPM
AT3G04030,13.8,SRR314813,leaf,TPM
AT3G04030,12.87,SRR314814,root,TPM
AT3G04030,12.81,SRR493097,leaf,TPM
AT3G04030,12.22,SRR1019221,light-grown seedling,TPM
AT3G04030,11.74,SRR942022,leaf,TPM
AT3G04030,11.63,SRR314815,stage 12 inflorescence,TPM
AT3G04030,11.54,SRR493098,leaf,TPM
AT3G04030,10.65,SRR584115,light-grown seedling,TPM
AT3G04030,9.53,SRR847505,aerial,TPM
AT3G04030,9.41,SRR346552,light-grown seedling,TPM
AT3G04030,9.17,SRR847506,aerial,TPM
AT3G04030,9.06,SRR584129,light-grown seedling,TPM
AT3G04030,8.99,SRR764885,leaf,TPM
AT3G04030,8.95,SRR847503,aerial,TPM
AT3G04030,8.21,SRR1524938,root,TPM
AT3G04030,8.08,SRR346553,light-grown seedling,TPM
AT3G04030,7.98,ERR274309,root,TPM
AT3G04030,7.96,SRR653569,light-grown seedling,TPM
AT3G04030,7.93,SRR924656,leaf,TPM
AT3G04030,7.61,SRR797230,light-grown seedling,TPM
AT3G04030,7.6,SRR1524935,root,TPM
AT3G04030,7.38,SRR653572,light-grown seedling,TPM
AT3G04030,7.22,ERR274310,aerial,TPM
AT3G04030,7.22,SRR1524940,root,TPM
AT3G04030,7.15,SRR584134,light-grown seedling,TPM
AT3G04030,7.06,SRR446486,leaf,TPM
AT3G04030,7.02,SRR446484,leaf,TPM
AT3G04030,7.0,SRR446039,leaf,TPM
AT3G04030,6.97,SRR653571,light-grown seedling,TPM
AT3G04030,6.87,SRR847504,aerial,TPM
AT3G04030,6.79,SRR653556,light-grown seedling,TPM
AT3G04030,6.64,SRR584121,light-grown seedling,TPM
AT3G04030,6.57,SRR653557,light-grown seedling,TPM
AT3G04030,6.56,SRR833246,light-grown seedling,TPM
AT3G04030,6.49,SRR653561,light-grown seedling,TPM
AT3G04030,6.44,SRR949988,shoot apical meristem,TPM
AT3G04030,6.22,SRR1159821,leaf,TPM
AT3G04030,6.19,SRR653562,light-grown seedling,TPM
AT3G04030,6.17,SRR653568,light-grown seedling,TPM
AT3G04030,6.05,SRR1105822,leaf,TPM
AT3G04030,5.82,SRR653555,light-grown seedling,TPM
AT3G04030,5.44,SRR1046909,root,TPM
AT3G04030,5.44,SRR477076,dark-grown seedling,TPM
AT3G04030,5.36,SRR653565,light-grown seedling,TPM
AT3G04030,5.32,SRR1159827,leaf,TPM
AT3G04030,5.27,SRR1159837,leaf,TPM
AT3G04030,5.18,SRR653567,light-grown seedling,TPM
AT3G04030,5.17,SRR653563,light-grown seedling,TPM
AT3G04030,5.15,SRR1105823,leaf,TPM
AT3G04030,5.11,SRR446033,leaf,TPM
AT3G04030,5.07,SRR653570,light-grown seedling,TPM
AT3G04030,4.88,SRR1019437,dark-grown seedling,TPM
AT3G04030,4.85,SRR394082,light-grown seedling,TPM
AT3G04030,4.84,SRR653578,light-grown seedling,TPM
AT3G04030,4.83,SRR653575,light-grown seedling,TPM
AT3G04030,4.82,SRR653576,light-grown seedling,TPM
AT3G04030,4.72,SRR1019436,dark-grown seedling,TPM
AT3G04030,4.58,SRR653564,light-grown seedling,TPM
AT3G04030,4.56,SRR401417,receptacle,TPM
AT3G04030,4.51,SRR653577,light-grown seedling,TPM
AT3G04030,4.41,SRR493036,leaf,TPM
AT3G04030,4.37,SRR800753,stage 12 inflorescence,TPM
AT3G04030,4.3,SRR493238,dark-grown seedling,TPM
AT3G04030,4.27,SRR477075,dark-grown seedling,TPM
AT3G04030,4.24,SRR653566,light-grown seedling,TPM
AT3G04030,4.21,SRR446040,leaf,TPM
AT3G04030,4.08,SRR1046910,root,TPM
AT3G04030,3.81,SRR653573,light-grown seedling,TPM
AT3G04030,3.63,SRR797194,light-grown seedling,TPM
AT3G04030,3.61,SRR653574,light-grown seedling,TPM
AT3G04030,3.59,SRR800754,stage 12 inflorescence,TPM
AT3G04030,3.43,SRR493237,dark-grown seedling,TPM
AT3G04030,3.42,SRR515074,light-grown seedling,TPM
AT3G04030,3.34,SRR401418,receptacle,TPM
AT3G04030,3.24,SRR547531,aerial,TPM
AT3G04030,3.2,SRR1001910,light-grown seedling,TPM
AT3G04030,3.13,SRR401416,receptacle,TPM
AT3G04030,3.1,SRR446028,leaf,TPM
AT3G04030,2.73,SRR401414,receptacle,TPM
AT3G04030,2.65,SRR401415,receptacle,TPM
AT3G04030,2.59,SRR949989,shoot apical meristem,TPM
AT3G04030,2.53,SRR446487,leaf,TPM
AT3G04030,2.24,SRR401413,receptacle,TPM
AT3G04030,2.24,SRR446485,leaf,TPM
AT3G04030,2.16,SRR446034,leaf,TPM
AT3G04030,2.12,SRR1001909,light-grown seedling,TPM
AT3G04030,2.0,SRR515073,light-grown seedling,TPM
AT3G04030,1.96,SRR401420,receptacle,TPM
AT3G04030,1.54,SRR401419,receptacle,TPM
AT3G04030,1.5,SRR949956,shoot apical meristem,TPM
AT3G04030,1.42,SRR548277,aerial,TPM
AT3G04030,1.4,SRR1049784,dark-grown seedling,TPM
AT3G04030,1.39,SRR401421,receptacle,TPM
AT3G04030,1.23,SRR1260033,root apical meristem,TPM
AT3G04030,1.18,SRR949965,shoot apical meristem,TPM
AT3G04030,1.01,SRR446027,leaf,TPM
AT3G04030,0.98,SRR1261509,root apical meristem,TPM
AT3G04030,0.83,SRR1207195,carpel,TPM
AT3G04030,0.76,SRR1207194,carpel,TPM
AT3G04030,0.25,SRR345562,light-grown seedling,TPM
AT3G04030,0.22,SRR345561,light-grown seedling,TPM
AT3G04030,0.13,SRR1260032,root apical meristem,TPM
AT3G04030,0.08,SRR527165,light-grown seedling,TPM
AT3G04030,0.06,SRR527164,light-grown seedling,TPM
AT3G04030,0.0,SRR070570,light-grown seedling,TPM
AT3G04030,0.0,SRR070571,light-grown seedling,TPM
AT3G04030,0.0,SRR847501,pollen,TPM
AT3G04030,0.0,SRR847502,pollen,TPM
