gene_id,expressionLevel,SRAaccession,experiment_tissue,unit
AT4G14770,24.46,SRR1207195,carpel,TPM
AT4G14770,24.21,SRR949956,shoot apical meristem,TPM
AT4G14770,23.73,SRR1207194,carpel,TPM
AT4G14770,22.89,SRR653570,light-grown seedling,TPM
AT4G14770,22.72,SRR653562,light-grown seedling,TPM
AT4G14770,22.42,SRR949965,shoot apical meristem,TPM
AT4G14770,20.73,SRR949989,shoot apical meristem,TPM
AT4G14770,20.2,SRR653561,light-grown seedling,TPM
AT4G14770,19.75,SRR653563,light-grown seedling,TPM
AT4G14770,19.65,SRR653571,light-grown seedling,TPM
AT4G14770,18.91,SRR653572,light-grown seedling,TPM
AT4G14770,18.89,SRR949988,shoot apical meristem,TPM
AT4G14770,18.69,SRR653565,light-grown seedling,TPM
AT4G14770,17.81,SRR653564,light-grown seedling,TPM
AT4G14770,16.39,SRR653555,light-grown seedling,TPM
AT4G14770,16.34,SRR653569,light-grown seedling,TPM
AT4G14770,16.31,SRR653557,light-grown seedling,TPM
AT4G14770,16.19,SRR653575,light-grown seedling,TPM
AT4G14770,16.16,SRR653556,light-grown seedling,TPM
AT4G14770,15.66,SRR314813,leaf,TPM
AT4G14770,15.43,SRR653568,light-grown seedling,TPM
AT4G14770,14.92,SRR584115,light-grown seedling,TPM
AT4G14770,14.88,SRR653577,light-grown seedling,TPM
AT4G14770,14.45,SRR653576,light-grown seedling,TPM
AT4G14770,14.36,SRR653566,light-grown seedling,TPM
AT4G14770,14.3,SRR653574,light-grown seedling,TPM
AT4G14770,14.2,SRR653567,light-grown seedling,TPM
AT4G14770,14.19,SRR1105823,leaf,TPM
AT4G14770,13.86,SRR1105822,leaf,TPM
AT4G14770,13.72,SRR1524935,root,TPM
AT4G14770,13.57,SRR653578,light-grown seedling,TPM
AT4G14770,13.33,SRR1524938,root,TPM
AT4G14770,13.22,SRR1524940,root,TPM
AT4G14770,13.07,SRR653573,light-grown seedling,TPM
AT4G14770,13.02,SRR446485,leaf,TPM
AT4G14770,12.88,SRR493036,leaf,TPM
AT4G14770,12.7,SRR446487,leaf,TPM
