gene_id,expressionLevel,SRAaccession,experiment_tissue,unit
AT1G68670,89.63,SRR1049784,dark-grown seedling,TPM
AT1G68670,85.45,SRR1019437,dark-grown seedling,TPM
AT1G68670,83.67,SRR1019436,dark-grown seedling,TPM
AT1G68670,70.03,SRR477076,dark-grown seedling,TPM
AT1G68670,69.97,SRR477075,dark-grown seedling,TPM
AT1G68670,69.73,SRR493101,leaf,TPM
AT1G68670,66.95,SRR446486,leaf,TPM
AT1G68670,65.76,SRR446484,leaf,TPM
AT1G68670,63.64,SRR446485,leaf,TPM
AT1G68670,59.77,SRR446034,leaf,TPM
AT1G68670,59.16,SRR446487,leaf,TPM
AT1G68670,58.4,SRR493098,leaf,TPM
AT1G68670,54.22,SRR493237,dark-grown seedling,TPM
AT1G68670,54.06,SRR493238,dark-grown seedling,TPM
AT1G68670,51.49,ERR274309,root,TPM
AT1G68670,49.98,SRR764885,leaf,TPM
AT1G68670,47.46,SRR314813,leaf,TPM
AT1G68670,45.57,SRR653575,light-grown seedling,TPM
AT1G68670,44.82,SRR653578,light-grown seedling,TPM
AT1G68670,44.52,SRR653576,light-grown seedling,TPM
AT1G68670,43.58,SRR653574,light-grown seedling,TPM
AT1G68670,43.09,SRR314815,stage 12 inflorescence,TPM
AT1G68670,41.97,SRR653573,light-grown seedling,TPM
AT1G68670,41.22,SRR653561,light-grown seedling,TPM
AT1G68670,41.1,SRR1261509,root apical meristem,TPM
AT1G68670,40.87,SRR1207195,carpel,TPM
AT1G68670,40.84,SRR924656,leaf,TPM
AT1G68670,40.68,SRR446040,leaf,TPM
AT1G68670,39.76,SRR653563,light-grown seedling,TPM
AT1G68670,39.73,SRR584115,light-grown seedling,TPM
AT1G68670,39.0,SRR1207194,carpel,TPM
AT1G68670,38.73,ERR274310,aerial,TPM
AT1G68670,38.7,SRR1524940,root,TPM
AT1G68670,38.31,SRR1524935,root,TPM
AT1G68670,38.22,SRR493097,leaf,TPM
AT1G68670,38.16,SRR653577,light-grown seedling,TPM
AT1G68670,36.58,SRR653562,light-grown seedling,TPM
AT1G68670,35.83,SRR547531,aerial,TPM
AT1G68670,35.36,SRR1260033,root apical meristem,TPM
AT1G68670,34.97,SRR584121,light-grown seedling,TPM
AT1G68670,34.53,SRR653565,light-grown seedling,TPM
AT1G68670,34.19,SRR548277,aerial,TPM
AT1G68670,34.11,SRR653570,light-grown seedling,TPM
AT1G68670,33.61,SRR1524938,root,TPM
AT1G68670,33.29,SRR653571,light-grown seedling,TPM
AT1G68670,33.24,SRR653572,light-grown seedling,TPM
AT1G68670,33.15,SRR653566,light-grown seedling,TPM
AT1G68670,32.66,SRR584134,light-grown seedling,TPM
AT1G68670,31.68,SRR584129,light-grown seedling,TPM
AT1G68670,31.58,SRR1159827,leaf,TPM
AT1G68670,30.46,SRR800754,stage 12 inflorescence,TPM
AT1G68670,30.38,SRR1105823,leaf,TPM
AT1G68670,30.21,SRR653564,light-grown seedling,TPM
AT1G68670,30.03,SRR346553,light-grown seedling,TPM
AT1G68670,29.92,SRR1105822,leaf,TPM
AT1G68670,29.77,SRR346552,light-grown seedling,TPM
AT1G68670,29.75,SRR1001910,light-grown seedling,TPM
AT1G68670,28.64,SRR800753,stage 12 inflorescence,TPM
AT1G68670,28.56,SRR446039,leaf,TPM
