gene_id,expressionLevel,SRAaccession,experiment_tissue,unit
AT5G47370,169.88,SRR584134,light-grown seedling,TPM
AT5G47370,61.66,SRR401416,receptacle,TPM
AT5G47370,59.49,SRR401417,receptacle,TPM
AT5G47370,58.95,SRR401413,receptacle,TPM
AT5G47370,58.55,SRR401418,receptacle,TPM
AT5G47370,56.63,SRR401415,receptacle,TPM
AT5G47370,56.5,SRR493238,dark-grown seedling,TPM
AT5G47370,55.91,SRR493097,leaf,TPM
AT5G47370,55.28,SRR401414,receptacle,TPM
AT5G47370,55.17,SRR401419,receptacle,TPM
AT5G47370,55.07,SRR1260033,root apical meristem,TPM
AT5G47370,54.76,SRR1049784,dark-grown seedling,TPM
AT5G47370,53.74,SRR401421,receptacle,TPM
AT5G47370,53.58,SRR493237,dark-grown seedling,TPM
AT5G47370,50.92,SRR1260032,root apical meristem,TPM
AT5G47370,50.52,SRR401420,receptacle,TPM
AT5G47370,49.26,SRR1019436,dark-grown seedling,TPM
AT5G47370,48.29,SRR477076,dark-grown seedling,TPM
AT5G47370,47.45,SRR584129,light-grown seedling,TPM
AT5G47370,45.0,SRR477075,dark-grown seedling,TPM
AT5G47370,43.8,SRR1019437,dark-grown seedling,TPM
AT5G47370,38.05,SRR653563,light-grown seedling,TPM
AT5G47370,37.17,SRR653565,light-grown seedling,TPM
AT5G47370,36.81,SRR493098,leaf,TPM
AT5G47370,36.46,SRR493101,leaf,TPM
AT5G47370,36.1,SRR1159821,leaf,TPM
AT5G47370,35.97,SRR942022,leaf,TPM
AT5G47370,34.68,SRR1524940,root,TPM
AT5G47370,34.53,SRR653561,light-grown seedling,TPM
AT5G47370,34.19,SRR833246,light-grown seedling,TPM
AT5G47370,33.02,SRR653562,light-grown seedling,TPM
AT5G47370,32.92,SRR653566,light-grown seedling,TPM
AT5G47370,32.54,ERR274309,root,TPM
AT5G47370,31.98,SRR1524935,root,TPM
AT5G47370,31.66,SRR1524938,root,TPM
AT5G47370,31.62,SRR1207195,carpel,TPM
AT5G47370,31.19,SRR1159837,leaf,TPM
AT5G47370,31.16,SRR764885,leaf,TPM
AT5G47370,30.3,SRR653564,light-grown seedling,TPM
AT5G47370,30.13,SRR797230,light-grown seedling,TPM
AT5G47370,29.87,ERR274310,aerial,TPM
AT5G47370,29.35,SRR1105822,leaf,TPM
AT5G47370,27.69,SRR924656,leaf,TPM
AT5G47370,27.56,SRR1105823,leaf,TPM
AT5G47370,27.07,SRR504180,light-grown seedling,TPM
AT5G47370,25.99,SRR314814,root,TPM
AT5G47370,25.03,SRR1207194,carpel,TPM
AT5G47370,23.63,SRR653571,light-grown seedling,TPM
AT5G47370,23.62,SRR653572,light-grown seedling,TPM
AT5G47370,23.55,SRR847505,aerial,TPM
AT5G47370,23.03,SRR847506,aerial,TPM
AT5G47370,22.93,SRR934391,leaf,TPM
AT5G47370,22.8,SRR504181,light-grown seedling,TPM
AT5G47370,22.71,SRR653570,light-grown seedling,TPM
