gene_id,expressionLevel,SRAaccession,experiment_tissue,unit
AT5G39760,63.06,SRR1019221,light-grown seedling,TPM
AT5G39760,50.59,SRR446028,leaf,TPM
AT5G39760,30.3,SRR800754,stage 12 inflorescence,TPM
AT5G39760,28.67,SRR800753,stage 12 inflorescence,TPM
AT5G39760,28.05,SRR764885,leaf,TPM
AT5G39760,27.57,SRR847506,aerial,TPM
AT5G39760,27.2,SRR847505,aerial,TPM
AT5G39760,26.89,SRR446039,leaf,TPM
AT5G39760,26.78,SRR515073,light-grown seedling,TPM
AT5G39760,25.61,SRR934391,leaf,TPM
AT5G39760,24.03,SRR1207194,carpel,TPM
AT5G39760,22.45,SRR446027,leaf,TPM
AT5G39760,21.81,SRR847504,aerial,TPM
AT5G39760,21.28,SRR1207195,carpel,TPM
AT5G39760,20.63,SRR446033,leaf,TPM
AT5G39760,20.59,SRR515074,light-grown seedling,TPM
AT5G39760,19.74,SRR1019436,dark-grown seedling,TPM
AT5G39760,19.73,SRR653568,light-grown seedling,TPM
AT5G39760,18.92,SRR493238,dark-grown seedling,TPM
AT5G39760,18.87,SRR653567,light-grown seedling,TPM
AT5G39760,18.61,SRR847503,aerial,TPM
AT5G39760,18.06,SRR797230,light-grown seedling,TPM
AT5G39760,17.73,SRR1261509,root apical meristem,TPM
AT5G39760,17.7,SRR1019437,dark-grown seedling,TPM
AT5G39760,17.24,SRR833246,light-grown seedling,TPM
AT5G39760,17.16,SRR653569,light-grown seedling,TPM
AT5G39760,17.15,SRR493237,dark-grown seedling,TPM
AT5G39760,16.24,SRR653571,light-grown seedling,TPM
AT5G39760,16.15,SRR1260032,root apical meristem,TPM
AT5G39760,15.59,SRR1049784,dark-grown seedling,TPM
AT5G39760,15.3,SRR584129,light-grown seedling,TPM
AT5G39760,15.06,SRR346553,light-grown seedling,TPM
AT5G39760,14.97,SRR477076,dark-grown seedling,TPM
AT5G39760,14.8,SRR1046910,root,TPM
AT5G39760,14.79,SRR653572,light-grown seedling,TPM
AT5G39760,14.53,SRR924656,leaf,TPM
AT5G39760,13.87,ERR274310,aerial,TPM
AT5G39760,13.41,SRR1046909,root,TPM
AT5G39760,12.69,SRR1260033,root apical meristem,TPM
AT5G39760,12.69,SRR653570,light-grown seedling,TPM
AT5G39760,12.64,SRR477075,dark-grown seedling,TPM
AT5G39760,12.21,SRR653573,light-grown seedling,TPM
AT5G39760,11.94,SRR446040,leaf,TPM
AT5G39760,11.75,SRR446034,leaf,TPM
AT5G39760,11.74,SRR446484,leaf,TPM
AT5G39760,11.73,SRR346552,light-grown seedling,TPM
AT5G39760,11.63,SRR446486,leaf,TPM
AT5G39760,11.49,SRR345562,light-grown seedling,TPM
AT5G39760,11.38,SRR949988,shoot apical meristem,TPM
AT5G39760,11.27,SRR1159821,leaf,TPM
AT5G39760,11.02,SRR653575,light-grown seedling,TPM
AT5G39760,10.83,SRR653565,light-grown seedling,TPM
AT5G39760,10.68,SRR1001909,light-grown seedling,TPM
AT5G39760,10.48,SRR314815,stage 12 inflorescence,TPM
