gene_id,expressionLevel,SRAaccession,experiment_tissue,unit
AT5G66700,12.06,ERR274309,root,TPM
AT5G66700,9.03,SRR1019437,dark-grown seedling,TPM
AT5G66700,7.83,SRR1019436,dark-grown seedling,TPM
AT5G66700,7.64,SRR446485,leaf,TPM
AT5G66700,7.35,SRR446487,leaf,TPM
AT5G66700,4.44,SRR942022,leaf,TPM
AT5G66700,4.32,SRR477076,dark-grown seedling,TPM
AT5G66700,3.88,SRR477075,dark-grown seedling,TPM
AT5G66700,3.8,SRR1524940,root,TPM
AT5G66700,3.67,SRR1524938,root,TPM
AT5G66700,3.65,SRR1524935,root,TPM
AT5G66700,2.82,SRR764885,leaf,TPM
AT5G66700,2.54,SRR1019221,light-grown seedling,TPM
AT5G66700,1.81,SRR653565,light-grown seedling,TPM
AT5G66700,1.78,SRR547531,aerial,TPM
AT5G66700,1.76,SRR653576,light-grown seedling,TPM
AT5G66700,1.69,SRR314814,root,TPM
AT5G66700,1.58,SRR653561,light-grown seedling,TPM
AT5G66700,1.53,SRR1046909,root,TPM
AT5G66700,1.53,SRR584134,light-grown seedling,TPM
AT5G66700,1.39,SRR653562,light-grown seedling,TPM
AT5G66700,1.34,SRR653567,light-grown seedling,TPM
AT5G66700,1.31,SRR653578,light-grown seedling,TPM
AT5G66700,1.26,SRR493237,dark-grown seedling,TPM
AT5G66700,1.23,SRR653569,light-grown seedling,TPM
AT5G66700,1.21,SRR653572,light-grown seedling,TPM
AT5G66700,1.13,SRR1049784,dark-grown seedling,TPM
AT5G66700,1.13,SRR653570,light-grown seedling,TPM
AT5G66700,1.09,SRR653564,light-grown seedling,TPM
AT5G66700,1.09,SRR653566,light-grown seedling,TPM
AT5G66700,1.05,SRR504179,light-grown seedling,TPM
AT5G66700,1.01,SRR504180,light-grown seedling,TPM
AT5G66700,0.96,SRR493238,dark-grown seedling,TPM
AT5G66700,0.93,SRR346552,light-grown seedling,TPM
AT5G66700,0.9,SRR401416,receptacle,TPM
AT5G66700,0.9,SRR653563,light-grown seedling,TPM
AT5G66700,0.89,SRR1046910,root,TPM
AT5G66700,0.89,SRR401417,receptacle,TPM
AT5G66700,0.84,ERR274310,aerial,TPM
AT5G66700,0.78,SRR401413,receptacle,TPM
AT5G66700,0.77,SRR401415,receptacle,TPM
AT5G66700,0.77,SRR401421,receptacle,TPM
AT5G66700,0.77,SRR653573,light-grown seedling,TPM
AT5G66700,0.77,SRR949965,shoot apical meristem,TPM
AT5G66700,0.71,SRR314815,stage 12 inflorescence,TPM
AT5G66700,0.71,SRR653568,light-grown seedling,TPM
AT5G66700,0.67,SRR653577,light-grown seedling,TPM
AT5G66700,0.65,SRR584121,light-grown seedling,TPM
AT5G66700,0.64,SRR401414,receptacle,TPM
AT5G66700,0.64,SRR800753,stage 12 inflorescence,TPM
AT5G66700,0.61,SRR1001909,light-grown seedling,TPM
AT5G66700,0.61,SRR401418,receptacle,TPM
AT5G66700,0.58,SRR653575,light-grown seedling,TPM
AT5G66700,0.57,SRR797230,light-grown seedling,TPM
AT5G66700,0.55,SRR401419,receptacle,TPM
AT5G66700,0.5,SRR504181,light-grown seedling,TPM
AT5G66700,0.49,SRR548277,aerial,TPM
AT5G66700,0.48,SRR653555,light-grown seedling,TPM
AT5G66700,0.47,SRR345561,light-grown seedling,TPM
AT5G66700,0.47,SRR924656,leaf,TPM
AT5G66700,0.46,SRR584129,light-grown seedling,TPM
AT5G66700,0.44,SRR653574,light-grown seedling,TPM
AT5G66700,0.44,SRR800754,stage 12 inflorescence,TPM
AT5G66700,0.44,SRR847506,aerial,TPM
AT5G66700,0.4,SRR1105823,leaf,TPM
AT5G66700,0.39,SRR847504,aerial,TPM
AT5G66700,0.38,SRR833246,light-grown seedling,TPM
AT5G66700,0.38,SRR847503,aerial,TPM
AT5G66700,0.37,SRR394082,light-grown seedling,TPM
AT5G66700,0.36,SRR1001910,light-grown seedling,TPM
AT5G66700,0.36,SRR653557,light-grown seedling,TPM
AT5G66700,0.35,SRR1159827,leaf,TPM
AT5G66700,0.35,SRR446039,leaf,TPM
AT5G66700,0.35,SRR584115,light-grown seedling,TPM
