gene_id,expressionLevel,SRAaccession,experiment_tissue,unit
AT2G37590,10.94,SRR1207194,carpel,TPM
AT2G37590,10.8,SRR1207195,carpel,TPM
AT2G37590,7.4,SRR401415,receptacle,TPM
AT2G37590,7.01,SRR401414,receptacle,TPM
AT2G37590,6.64,SRR401417,receptacle,TPM
AT2G37590,6.54,SRR401418,receptacle,TPM
AT2G37590,6.51,SRR401419,receptacle,TPM
AT2G37590,6.39,SRR401421,receptacle,TPM
AT2G37590,6.02,SRR401413,receptacle,TPM
AT2G37590,5.88,SRR401420,receptacle,TPM
AT2G37590,5.86,SRR401416,receptacle,TPM
AT2G37590,5.08,SRR446487,leaf,TPM
AT2G37590,4.85,SRR1019221,light-grown seedling,TPM
AT2G37590,4.57,SRR800753,stage 12 inflorescence,TPM
AT2G37590,4.55,SRR653561,light-grown seedling,TPM
AT2G37590,4.49,SRR653555,light-grown seedling,TPM
AT2G37590,4.45,SRR653578,light-grown seedling,TPM
AT2G37590,4.25,SRR446485,leaf,TPM
AT2G37590,4.25,SRR800754,stage 12 inflorescence,TPM
AT2G37590,4.05,SRR1105822,leaf,TPM
AT2G37590,4.04,SRR1524938,root,TPM
AT2G37590,4.04,SRR1524940,root,TPM
AT2G37590,4.03,SRR493237,dark-grown seedling,TPM
AT2G37590,3.88,SRR653563,light-grown seedling,TPM
AT2G37590,3.77,SRR1260032,root apical meristem,TPM
AT2G37590,3.7,SRR653562,light-grown seedling,TPM
AT2G37590,3.68,SRR949965,shoot apical meristem,TPM
AT2G37590,3.66,SRR653570,light-grown seedling,TPM
AT2G37590,3.63,SRR653572,light-grown seedling,TPM
AT2G37590,3.58,SRR493238,dark-grown seedling,TPM
AT2G37590,3.56,SRR653576,light-grown seedling,TPM
AT2G37590,3.52,SRR493036,leaf,TPM
AT2G37590,3.51,SRR1019436,dark-grown seedling,TPM
AT2G37590,3.46,SRR653571,light-grown seedling,TPM
AT2G37590,3.42,SRR1001909,light-grown seedling,TPM
AT2G37590,3.42,SRR1524935,root,TPM
AT2G37590,3.38,SRR653567,light-grown seedling,TPM
AT2G37590,3.36,SRR477076,dark-grown seedling,TPM
AT2G37590,3.35,SRR653557,light-grown seedling,TPM
AT2G37590,3.34,SRR1046910,root,TPM
AT2G37590,3.34,SRR949989,shoot apical meristem,TPM
AT2G37590,3.33,SRR653568,light-grown seedling,TPM
AT2G37590,3.29,SRR653556,light-grown seedling,TPM
AT2G37590,3.28,SRR1019437,dark-grown seedling,TPM
AT2G37590,3.26,ERR274309,root,TPM
AT2G37590,3.04,SRR653574,light-grown seedling,TPM
AT2G37590,3.01,SRR1105823,leaf,TPM
AT2G37590,3.01,SRR653564,light-grown seedling,TPM
AT2G37590,2.99,SRR477075,dark-grown seedling,TPM
AT2G37590,2.97,SRR584134,light-grown seedling,TPM
AT2G37590,2.96,SRR584129,light-grown seedling,TPM
AT2G37590,2.86,SRR653569,light-grown seedling,TPM
AT2G37590,2.83,SRR653565,light-grown seedling,TPM
AT2G37590,2.75,SRR584115,light-grown seedling,TPM
AT2G37590,2.75,SRR949956,shoot apical meristem,TPM
AT2G37590,2.6,SRR653575,light-grown seedling,TPM
AT2G37590,2.56,SRR653566,light-grown seedling,TPM
AT2G37590,2.55,SRR653577,light-grown seedling,TPM
AT2G37590,2.47,SRR394082,light-grown seedling,TPM
AT2G37590,2.46,SRR1260033,root apical meristem,TPM
AT2G37590,2.4,SRR584121,light-grown seedling,TPM
AT2G37590,2.39,SRR548277,aerial,TPM
AT2G37590,2.39,SRR764885,leaf,TPM
AT2G37590,2.31,SRR1046909,root,TPM
AT2G37590,2.3,SRR847506,aerial,TPM
AT2G37590,2.25,SRR942022,leaf,TPM
AT2G37590,2.24,SRR924656,leaf,TPM
AT2G37590,2.19,SRR346553,light-grown seedling,TPM
AT2G37590,2.07,SRR346552,light-grown seedling,TPM
AT2G37590,2.05,SRR1159827,leaf,TPM
AT2G37590,2.0,SRR345562,light-grown seedling,TPM
AT2G37590,1.96,SRR949988,shoot apical meristem,TPM
AT2G37590,1.95,SRR833246,light-grown seedling,TPM
AT2G37590,1.93,SRR847505,aerial,TPM
AT2G37590,1.92,SRR1001910,light-grown seedling,TPM
AT2G37590,1.92,SRR847503,aerial,TPM
AT2G37590,1.92,SRR847504,aerial,TPM
AT2G37590,1.91,SRR653573,light-grown seedling,TPM
AT2G37590,1.78,SRR446486,leaf,TPM
AT2G37590,1.73,SRR1159837,leaf,TPM
AT2G37590,1.68,ERR274310,aerial,TPM
AT2G37590,1.55,SRR797230,light-grown seedling,TPM
AT2G37590,1.44,SRR314815,stage 12 inflorescence,TPM
AT2G37590,1.42,SRR446484,leaf,TPM
AT2G37590,1.41,SRR446034,leaf,TPM
AT2G37590,1.15,SRR446028,leaf,TPM
AT2G37590,1.12,SRR446027,leaf,TPM
AT2G37590,0.89,SRR1261509,root apical meristem,TPM
AT2G37590,0.87,SRR504181,light-grown seedling,TPM
AT2G37590,0.86,SRR314814,root,TPM
AT2G37590,0.86,SRR515073,light-grown seedling,TPM
AT2G37590,0.84,SRR446040,leaf,TPM
AT2G37590,0.83,SRR504179,light-grown seedling,TPM
AT2G37590,0.79,SRR446039,leaf,TPM
AT2G37590,0.79,SRR797194,light-grown seedling,TPM
AT2G37590,0.77,SRR446033,leaf,TPM
AT2G37590,0.76,SRR493098,leaf,TPM
AT2G37590,0.74,SRR1159821,leaf,TPM
AT2G37590,0.71,SRR493101,leaf,TPM
AT2G37590,0.71,SRR934391,leaf,TPM
AT2G37590,0.7,SRR314813,leaf,TPM
AT2G37590,0.66,SRR345561,light-grown seedling,TPM
AT2G37590,0.63,SRR515074,light-grown seedling,TPM
AT2G37590,0.49,SRR504180,light-grown seedling,TPM
AT2G37590,0.48,SRR1049784,dark-grown seedling,TPM
AT2G37590,0.46,SRR547531,aerial,TPM
AT2G37590,0.28,SRR493097,leaf,TPM
AT2G37590,0.26,SRR070570,light-grown seedling,TPM
AT2G37590,0.08,SRR847502,pollen,TPM
AT2G37590,0.07,SRR070571,light-grown seedling,TPM
AT2G37590,0.07,SRR527165,light-grown seedling,TPM
AT2G37590,0.02,SRR527164,light-grown seedling,TPM
AT2G37590,0.0,SRR847501,pollen,TPM
