gene_id,expressionLevel,SRAaccession,experiment_tissue,unit
AT5G17300,138.55,SRR653578,light-grown seedling,TPM
AT5G17300,127.37,SRR653577,light-grown seedling,TPM
AT5G17300,125.54,SRR653576,light-grown seedling,TPM
AT5G17300,71.18,SRR653563,light-grown seedling,TPM
AT5G17300,67.01,SRR653562,light-grown seedling,TPM
AT5G17300,66.43,SRR653561,light-grown seedling,TPM
AT5G17300,65.0,SRR446487,leaf,TPM
AT5G17300,45.86,SRR1049784,dark-grown seedling,TPM
AT5G17300,42.04,SRR446485,leaf,TPM
AT5G17300,40.52,SRR584121,light-grown seedling,TPM
AT5G17300,37.43,SRR1261509,root apical meristem,TPM
AT5G17300,37.11,SRR446486,leaf,TPM
AT5G17300,37.07,SRR547531,aerial,TPM
AT5G17300,34.4,SRR548277,aerial,TPM
AT5G17300,31.56,SRR493237,dark-grown seedling,TPM
AT5G17300,30.83,SRR584115,light-grown seedling,TPM
AT5G17300,29.34,SRR942022,leaf,TPM
AT5G17300,28.98,SRR493238,dark-grown seedling,TPM
AT5G17300,28.03,SRR653556,light-grown seedling,TPM
AT5G17300,26.63,SRR1159827,leaf,TPM
AT5G17300,26.45,SRR653557,light-grown seedling,TPM
AT5G17300,25.76,SRR653555,light-grown seedling,TPM
AT5G17300,23.12,SRR584134,light-grown seedling,TPM
AT5G17300,20.47,SRR446484,leaf,TPM
AT5G17300,18.84,SRR314815,stage 12 inflorescence,TPM
AT5G17300,18.65,SRR653565,light-grown seedling,TPM
AT5G17300,18.41,SRR1019436,dark-grown seedling,TPM
AT5G17300,17.11,SRR584129,light-grown seedling,TPM
AT5G17300,17.04,SRR1019437,dark-grown seedling,TPM
AT5G17300,16.41,SRR653564,light-grown seedling,TPM
AT5G17300,16.36,SRR477075,dark-grown seedling,TPM
AT5G17300,15.86,SRR653566,light-grown seedling,TPM
AT5G17300,15.37,SRR477076,dark-grown seedling,TPM
AT5G17300,15.06,SRR800753,stage 12 inflorescence,TPM
AT5G17300,14.35,SRR800754,stage 12 inflorescence,TPM
AT5G17300,14.26,SRR1159821,leaf,TPM
AT5G17300,14.13,SRR833246,light-grown seedling,TPM
AT5G17300,13.89,SRR797230,light-grown seedling,TPM
AT5G17300,13.48,SRR493101,leaf,TPM
AT5G17300,12.66,SRR653574,light-grown seedling,TPM
AT5G17300,12.23,SRR847506,aerial,TPM
AT5G17300,11.96,SRR493098,leaf,TPM
AT5G17300,11.9,SRR847505,aerial,TPM
AT5G17300,11.72,SRR1159837,leaf,TPM
AT5G17300,11.71,SRR1001909,light-grown seedling,TPM
AT5G17300,11.22,SRR653573,light-grown seedling,TPM
AT5G17300,11.07,SRR653575,light-grown seedling,TPM
AT5G17300,10.79,SRR446040,leaf,TPM
AT5G17300,10.43,SRR1524940,root,TPM
AT5G17300,10.34,SRR1524938,root,TPM
AT5G17300,10.19,SRR1524935,root,TPM
AT5G17300,9.17,SRR847502,pollen,TPM
AT5G17300,8.53,SRR797194,light-grown seedling,TPM
AT5G17300,8.52,SRR446039,leaf,TPM
AT5G17300,8.33,SRR847501,pollen,TPM
AT5G17300,8.01,SRR1001910,light-grown seedling,TPM
AT5G17300,7.44,SRR446028,leaf,TPM
AT5G17300,7.26,SRR493036,leaf,TPM
AT5G17300,6.98,SRR515074,light-grown seedling,TPM
AT5G17300,6.79,SRR401421,receptacle,TPM
AT5G17300,6.68,SRR394082,light-grown seedling,TPM
AT5G17300,6.44,ERR274309,root,TPM
AT5G17300,6.39,SRR314813,leaf,TPM
AT5G17300,6.36,SRR653570,light-grown seedling,TPM
AT5G17300,6.17,SRR1207194,carpel,TPM
AT5G17300,5.86,SRR653572,light-grown seedling,TPM
AT5G17300,5.81,SRR401419,receptacle,TPM
AT5G17300,5.8,SRR1105822,leaf,TPM
AT5G17300,5.58,SRR493097,leaf,TPM
AT5G17300,5.48,SRR653571,light-grown seedling,TPM
AT5G17300,5.39,SRR401420,receptacle,TPM
AT5G17300,5.23,SRR764885,leaf,TPM
AT5G17300,5.06,SRR1105823,leaf,TPM
AT5G17300,5.0,SRR401416,receptacle,TPM
AT5G17300,4.95,SRR401414,receptacle,TPM
AT5G17300,4.72,SRR401415,receptacle,TPM
AT5G17300,4.55,SRR401413,receptacle,TPM
AT5G17300,4.53,SRR401417,receptacle,TPM
AT5G17300,4.31,SRR1207195,carpel,TPM
AT5G17300,3.69,SRR401418,receptacle,TPM
AT5G17300,3.64,SRR653567,light-grown seedling,TPM
AT5G17300,3.5,SRR653569,light-grown seedling,TPM
AT5G17300,3.43,SRR653568,light-grown seedling,TPM
AT5G17300,3.19,SRR1260033,root apical meristem,TPM
AT5G17300,2.96,SRR1019221,light-grown seedling,TPM
AT5G17300,2.89,SRR314814,root,TPM
AT5G17300,2.86,SRR515073,light-grown seedling,TPM
AT5G17300,2.69,SRR070570,light-grown seedling,TPM
AT5G17300,2.35,ERR274310,aerial,TPM
AT5G17300,2.21,SRR346553,light-grown seedling,TPM
AT5G17300,2.02,SRR1046910,root,TPM
AT5G17300,1.77,SRR934391,leaf,TPM
AT5G17300,1.71,SRR1260032,root apical meristem,TPM
AT5G17300,1.54,SRR345562,light-grown seedling,TPM
AT5G17300,1.53,SRR1046909,root,TPM
AT5G17300,1.48,SRR949988,shoot apical meristem,TPM
AT5G17300,1.34,SRR949956,shoot apical meristem,TPM
AT5G17300,1.32,SRR070571,light-grown seedling,TPM
AT5G17300,1.31,SRR949965,shoot apical meristem,TPM
AT5G17300,1.23,SRR346552,light-grown seedling,TPM
AT5G17300,1.16,SRR446034,leaf,TPM
AT5G17300,1.12,SRR446027,leaf,TPM
AT5G17300,1.08,SRR504179,light-grown seedling,TPM
AT5G17300,1.02,SRR924656,leaf,TPM
AT5G17300,0.84,SRR847504,aerial,TPM
AT5G17300,0.83,SRR504180,light-grown seedling,TPM
AT5G17300,0.81,SRR504181,light-grown seedling,TPM
AT5G17300,0.71,SRR847503,aerial,TPM
AT5G17300,0.63,SRR446033,leaf,TPM
AT5G17300,0.42,SRR949989,shoot apical meristem,TPM
AT5G17300,0.16,SRR345561,light-grown seedling,TPM
AT5G17300,0.02,SRR527164,light-grown seedling,TPM
AT5G17300,0.0,SRR527165,light-grown seedling,TPM
