gene_id,expressionLevel,SRAaccession,experiment_tissue,unit
AT1G77200,13.22,SRR1260032,root apical meristem,TPM
AT1G77200,12.42,SRR1260033,root apical meristem,TPM
AT1G77200,11.75,SRR493238,dark-grown seedling,TPM
AT1G77200,10.65,SRR477076,dark-grown seedling,TPM
AT1G77200,9.8,SRR493237,dark-grown seedling,TPM
AT1G77200,9.64,SRR477075,dark-grown seedling,TPM
AT1G77200,7.14,SRR1207195,carpel,TPM
AT1G77200,6.09,SRR1019437,dark-grown seedling,TPM
AT1G77200,5.82,SRR800753,stage 12 inflorescence,TPM
AT1G77200,5.66,SRR1019221,light-grown seedling,TPM
AT1G77200,5.63,SRR1207194,carpel,TPM
AT1G77200,5.43,SRR1019436,dark-grown seedling,TPM
AT1G77200,5.02,SRR345562,light-grown seedling,TPM
AT1G77200,4.97,SRR847505,aerial,TPM
AT1G77200,4.48,SRR653565,light-grown seedling,TPM
AT1G77200,4.34,SRR847506,aerial,TPM
AT1G77200,4.24,SRR797230,light-grown seedling,TPM
AT1G77200,4.23,SRR653562,light-grown seedling,TPM
AT1G77200,3.92,SRR800754,stage 12 inflorescence,TPM
AT1G77200,3.91,SRR949956,shoot apical meristem,TPM
AT1G77200,3.64,SRR653566,light-grown seedling,TPM
AT1G77200,3.48,SRR833246,light-grown seedling,TPM
AT1G77200,3.0,SRR653570,light-grown seedling,TPM
AT1G77200,2.99,SRR515074,light-grown seedling,TPM
AT1G77200,2.76,SRR653563,light-grown seedling,TPM
AT1G77200,2.75,ERR274310,aerial,TPM
AT1G77200,2.74,SRR764885,leaf,TPM
AT1G77200,2.71,SRR653569,light-grown seedling,TPM
AT1G77200,2.62,SRR446487,leaf,TPM
AT1G77200,2.54,SRR653561,light-grown seedling,TPM
AT1G77200,2.54,SRR653575,light-grown seedling,TPM
AT1G77200,2.53,SRR653567,light-grown seedling,TPM
AT1G77200,2.52,SRR653564,light-grown seedling,TPM
AT1G77200,2.5,SRR653556,light-grown seedling,TPM
AT1G77200,2.44,SRR446485,leaf,TPM
AT1G77200,2.44,SRR653568,light-grown seedling,TPM
AT1G77200,2.41,SRR847504,aerial,TPM
AT1G77200,2.24,SRR1001910,light-grown seedling,TPM
AT1G77200,2.24,SRR653572,light-grown seedling,TPM
AT1G77200,2.21,SRR515073,light-grown seedling,TPM
