gene_id,expressionLevel,SRAaccession,experiment_tissue,unit
AT2G38470,339.72,ERR274310,aerial,TPM
AT2G38470,338.1,SRR446028,leaf,TPM
AT2G38470,307.76,SRR493097,leaf,TPM
AT2G38470,265.19,ERR274309,root,TPM
AT2G38470,189.54,SRR1159827,leaf,TPM
AT2G38470,182.18,SRR493101,leaf,TPM
AT2G38470,166.22,SRR1049784,dark-grown seedling,TPM
AT2G38470,158.79,SRR493098,leaf,TPM
AT2G38470,155.73,SRR942022,leaf,TPM
AT2G38470,149.99,SRR1524940,root,TPM
AT2G38470,127.32,SRR446486,leaf,TPM
AT2G38470,113.35,SRR797230,light-grown seedling,TPM
AT2G38470,112.41,SRR1019221,light-grown seedling,TPM
AT2G38470,111.8,SRR1524938,root,TPM
AT2G38470,110.05,SRR446034,leaf,TPM
AT2G38470,106.81,SRR584115,light-grown seedling,TPM
AT2G38470,105.16,SRR493036,leaf,TPM
AT2G38470,99.65,SRR1261509,root apical meristem,TPM
AT2G38470,84.43,SRR446027,leaf,TPM
AT2G38470,80.38,SRR504181,light-grown seedling,TPM
AT2G38470,71.7,SRR1524935,root,TPM
AT2G38470,70.04,SRR847505,aerial,TPM
AT2G38470,69.56,SRR847506,aerial,TPM
AT2G38470,64.59,SRR833246,light-grown seedling,TPM
AT2G38470,60.16,SRR446484,leaf,TPM
AT2G38470,59.42,SRR547531,aerial,TPM
AT2G38470,59.26,SRR934391,leaf,TPM
AT2G38470,50.82,SRR797194,light-grown seedling,TPM
AT2G38470,50.32,SRR1159821,leaf,TPM
AT2G38470,48.4,SRR1159837,leaf,TPM
AT2G38470,46.93,SRR401414,receptacle,TPM
AT2G38470,46.64,SRR401415,receptacle,TPM
AT2G38470,46.01,SRR446487,leaf,TPM
AT2G38470,45.8,SRR401413,receptacle,TPM
AT2G38470,44.69,SRR446039,leaf,TPM
AT2G38470,43.99,SRR764885,leaf,TPM
AT2G38470,43.81,SRR1207195,carpel,TPM
AT2G38470,41.2,SRR584134,light-grown seedling,TPM
AT2G38470,39.94,SRR493237,dark-grown seedling,TPM
AT2G38470,39.74,SRR346553,light-grown seedling,TPM
AT2G38470,33.43,SRR446040,leaf,TPM
AT2G38470,33.2,SRR394082,light-grown seedling,TPM
AT2G38470,31.72,SRR1046910,root,TPM
AT2G38470,30.56,SRR493238,dark-grown seedling,TPM
AT2G38470,29.95,SRR1019436,dark-grown seedling,TPM
AT2G38470,29.25,SRR584129,light-grown seedling,TPM
AT2G38470,28.51,SRR314813,leaf,TPM
AT2G38470,27.49,SRR1046909,root,TPM
AT2G38470,26.71,SRR653573,light-grown seedling,TPM
AT2G38470,25.78,SRR653574,light-grown seedling,TPM
AT2G38470,25.48,SRR346552,light-grown seedling,TPM
AT2G38470,25.38,SRR515074,light-grown seedling,TPM
AT2G38470,25.24,SRR1019437,dark-grown seedling,TPM
AT2G38470,25.16,SRR653575,light-grown seedling,TPM
AT2G38470,25.1,SRR1207194,carpel,TPM
AT2G38470,25.01,SRR401420,receptacle,TPM
AT2G38470,24.78,SRR401419,receptacle,TPM
AT2G38470,24.21,SRR653563,light-grown seedling,TPM
AT2G38470,24.2,SRR847503,aerial,TPM
AT2G38470,23.98,SRR401421,receptacle,TPM
AT2G38470,23.32,SRR314814,root,TPM
AT2G38470,23.1,SRR446485,leaf,TPM
AT2G38470,22.79,SRR401416,receptacle,TPM
AT2G38470,22.08,SRR847504,aerial,TPM
AT2G38470,21.77,SRR584121,light-grown seedling,TPM
AT2G38470,20.59,SRR446033,leaf,TPM
AT2G38470,19.77,SRR401418,receptacle,TPM
AT2G38470,19.67,SRR401417,receptacle,TPM
AT2G38470,19.66,SRR653561,light-grown seedling,TPM
AT2G38470,19.39,SRR653576,light-grown seedling,TPM
AT2G38470,18.84,SRR653577,light-grown seedling,TPM
AT2G38470,18.73,SRR653565,light-grown seedling,TPM
AT2G38470,18.51,SRR653578,light-grown seedling,TPM
AT2G38470,17.83,SRR314815,stage 12 inflorescence,TPM
AT2G38470,16.98,SRR653566,light-grown seedling,TPM
AT2G38470,16.89,SRR653570,light-grown seedling,TPM
AT2G38470,16.13,SRR653567,light-grown seedling,TPM
AT2G38470,15.72,SRR1260033,root apical meristem,TPM
AT2G38470,15.45,SRR653568,light-grown seedling,TPM
AT2G38470,15.25,SRR653569,light-grown seedling,TPM
AT2G38470,15.06,SRR653556,light-grown seedling,TPM
AT2G38470,14.67,SRR1001910,light-grown seedling,TPM
AT2G38470,14.42,SRR653571,light-grown seedling,TPM
AT2G38470,14.4,SRR653572,light-grown seedling,TPM
AT2G38470,13.55,SRR653562,light-grown seedling,TPM
AT2G38470,13.15,SRR924656,leaf,TPM
AT2G38470,12.56,SRR548277,aerial,TPM
AT2G38470,12.56,SRR653564,light-grown seedling,TPM
AT2G38470,12.38,SRR1001909,light-grown seedling,TPM
AT2G38470,11.86,SRR949988,shoot apical meristem,TPM
AT2G38470,11.76,SRR653555,light-grown seedling,TPM
AT2G38470,11.52,SRR477075,dark-grown seedling,TPM
AT2G38470,11.33,SRR515073,light-grown seedling,TPM
AT2G38470,11.27,SRR653557,light-grown seedling,TPM
AT2G38470,10.98,SRR477076,dark-grown seedling,TPM
AT2G38470,10.24,SRR1260032,root apical meristem,TPM
AT2G38470,8.55,SRR504180,light-grown seedling,TPM
AT2G38470,6.44,SRR800754,stage 12 inflorescence,TPM
AT2G38470,6.15,SRR504179,light-grown seedling,TPM
AT2G38470,5.61,SRR949956,shoot apical meristem,TPM
AT2G38470,5.26,SRR949965,shoot apical meristem,TPM
AT2G38470,5.18,SRR949989,shoot apical meristem,TPM
AT2G38470,5.06,SRR1105822,leaf,TPM
AT2G38470,4.94,SRR1105823,leaf,TPM
AT2G38470,3.0,SRR345561,light-grown seedling,TPM
AT2G38470,2.67,SRR800753,stage 12 inflorescence,TPM
AT2G38470,1.69,SRR070570,light-grown seedling,TPM
AT2G38470,1.59,SRR345562,light-grown seedling,TPM
AT2G38470,1.3,SRR070571,light-grown seedling,TPM
AT2G38470,0.26,SRR527164,light-grown seedling,TPM
AT2G38470,0.25,SRR527165,light-grown seedling,TPM
AT2G38470,0.05,SRR847501,pollen,TPM
AT2G38470,0.03,SRR847502,pollen,TPM
