gene_id,expressionLevel,SRAaccession,experiment_tissue,unit
AT1G13260,166.62,SRR446034,leaf,TPM
AT1G13260,154.12,SRR1019437,dark-grown seedling,TPM
AT1G13260,150.26,SRR1019436,dark-grown seedling,TPM
AT1G13260,142.81,SRR493097,leaf,TPM
AT1G13260,137.74,SRR1159827,leaf,TPM
AT1G13260,129.25,SRR477076,dark-grown seedling,TPM
AT1G13260,128.67,SRR1159837,leaf,TPM
AT1G13260,127.62,ERR274310,aerial,TPM
AT1G13260,124.61,SRR477075,dark-grown seedling,TPM
AT1G13260,115.07,SRR493098,leaf,TPM
AT1G13260,112.98,ERR274309,root,TPM
AT1G13260,111.0,SRR1049784,dark-grown seedling,TPM
AT1G13260,106.27,SRR942022,leaf,TPM
AT1G13260,102.48,SRR493238,dark-grown seedling,TPM
AT1G13260,100.65,SRR493101,leaf,TPM
AT1G13260,100.29,SRR1524940,root,TPM
AT1G13260,94.22,SRR446484,leaf,TPM
AT1G13260,86.3,SRR493237,dark-grown seedling,TPM
AT1G13260,86.13,SRR934391,leaf,TPM
AT1G13260,86.07,SRR446028,leaf,TPM
AT1G13260,85.66,SRR446027,leaf,TPM
AT1G13260,76.13,SRR446486,leaf,TPM
AT1G13260,74.2,SRR1524938,root,TPM
AT1G13260,68.08,SRR1524935,root,TPM
AT1G13260,65.62,SRR493036,leaf,TPM
AT1G13260,64.36,SRR314813,leaf,TPM
AT1G13260,58.2,SRR446033,leaf,TPM
AT1G13260,56.96,SRR1159821,leaf,TPM
AT1G13260,55.2,SRR797230,light-grown seedling,TPM
AT1G13260,54.04,SRR584134,light-grown seedling,TPM
AT1G13260,52.34,SRR847506,aerial,TPM
AT1G13260,51.31,SRR847505,aerial,TPM
AT1G13260,51.02,SRR346553,light-grown seedling,TPM
AT1G13260,48.09,SRR584115,light-grown seedling,TPM
AT1G13260,45.78,SRR764885,leaf,TPM
AT1G13260,45.47,SRR1260033,root apical meristem,TPM
AT1G13260,42.96,SRR346552,light-grown seedling,TPM
AT1G13260,40.46,SRR833246,light-grown seedling,TPM
AT1G13260,38.89,SRR515073,light-grown seedling,TPM
AT1G13260,37.37,SRR584129,light-grown seedling,TPM
AT1G13260,37.02,SRR547531,aerial,TPM
AT1G13260,34.67,SRR446039,leaf,TPM
AT1G13260,33.73,SRR1046910,root,TPM
AT1G13260,32.9,SRR924656,leaf,TPM
AT1G13260,28.46,SRR446040,leaf,TPM
