gene_id,expressionLevel,SRAaccession,experiment_tissue,unit
AT2G46590,53.89,SRR1207195,carpel,TPM
AT2G46590,44.25,SRR1207194,carpel,TPM
AT2G46590,35.2,SRR1019436,dark-grown seedling,TPM
AT2G46590,31.83,SRR1019437,dark-grown seedling,TPM
AT2G46590,31.49,SRR1524938,root,TPM
AT2G46590,31.36,SRR401417,receptacle,TPM
AT2G46590,30.71,SRR1524940,root,TPM
AT2G46590,30.66,ERR274309,root,TPM
AT2G46590,30.21,SRR401416,receptacle,TPM
AT2G46590,30.06,SRR477075,dark-grown seedling,TPM
AT2G46590,29.15,SRR401414,receptacle,TPM
AT2G46590,28.48,SRR401419,receptacle,TPM
AT2G46590,28.34,SRR401418,receptacle,TPM
AT2G46590,28.07,SRR477076,dark-grown seedling,TPM
AT2G46590,27.9,SRR401420,receptacle,TPM
AT2G46590,27.5,SRR401421,receptacle,TPM
AT2G46590,27.49,SRR401415,receptacle,TPM
AT2G46590,27.37,SRR1524935,root,TPM
AT2G46590,26.62,SRR401413,receptacle,TPM
AT2G46590,21.18,SRR800754,stage 12 inflorescence,TPM
AT2G46590,19.52,SRR1046910,root,TPM
AT2G46590,18.51,SRR1019221,light-grown seedling,TPM
AT2G46590,18.24,SRR493237,dark-grown seedling,TPM
AT2G46590,17.77,SRR493238,dark-grown seedling,TPM
AT2G46590,17.42,SRR800753,stage 12 inflorescence,TPM
AT2G46590,17.34,SRR1049784,dark-grown seedling,TPM
AT2G46590,14.47,SRR584115,light-grown seedling,TPM
AT2G46590,14.11,SRR584129,light-grown seedling,TPM
AT2G46590,13.4,SRR833246,light-grown seedling,TPM
AT2G46590,13.29,SRR764885,leaf,TPM
AT2G46590,13.23,SRR653555,light-grown seedling,TPM
AT2G46590,13.09,SRR653574,light-grown seedling,TPM
AT2G46590,12.7,SRR797230,light-grown seedling,TPM
AT2G46590,12.68,SRR446487,leaf,TPM
AT2G46590,12.65,SRR1046909,root,TPM
AT2G46590,12.49,SRR653570,light-grown seedling,TPM
AT2G46590,12.04,SRR653576,light-grown seedling,TPM
AT2G46590,11.95,SRR949989,shoot apical meristem,TPM
AT2G46590,11.7,SRR584134,light-grown seedling,TPM
