gene_id,expressionLevel,SRAaccession,experiment_tissue,unit
AT5G60850,95.55,SRR446028,leaf,TPM
AT5G60850,84.26,SRR446486,leaf,TPM
AT5G60850,73.87,SRR446484,leaf,TPM
AT5G60850,69.1,SRR493097,leaf,TPM
AT5G60850,53.66,SRR1049784,dark-grown seedling,TPM
AT5G60850,45.3,ERR274310,aerial,TPM
AT5G60850,42.93,SRR446040,leaf,TPM
AT5G60850,42.86,SRR446027,leaf,TPM
AT5G60850,40.1,SRR446039,leaf,TPM
AT5G60850,39.45,SRR764885,leaf,TPM
AT5G60850,37.41,SRR493098,leaf,TPM
AT5G60850,37.39,SRR584134,light-grown seedling,TPM
AT5G60850,37.0,SRR446485,leaf,TPM
AT5G60850,36.95,SRR847506,aerial,TPM
AT5G60850,36.4,SRR446487,leaf,TPM
AT5G60850,36.16,SRR493101,leaf,TPM
AT5G60850,35.99,SRR847505,aerial,TPM
AT5G60850,35.02,SRR1159837,leaf,TPM
AT5G60850,32.83,SRR515074,light-grown seedling,TPM
AT5G60850,32.68,SRR653562,light-grown seedling,TPM
AT5G60850,32.25,SRR1019436,dark-grown seedling,TPM
AT5G60850,32.17,SRR493237,dark-grown seedling,TPM
AT5G60850,32.05,SRR493238,dark-grown seedling,TPM
AT5G60850,31.32,SRR653563,light-grown seedling,TPM
AT5G60850,30.85,SRR477076,dark-grown seedling,TPM
AT5G60850,29.71,SRR800753,stage 12 inflorescence,TPM
AT5G60850,29.47,SRR942022,leaf,TPM
AT5G60850,29.34,SRR477075,dark-grown seedling,TPM
AT5G60850,29.01,SRR653561,light-grown seedling,TPM
AT5G60850,28.71,SRR653565,light-grown seedling,TPM
AT5G60850,28.34,SRR653566,light-grown seedling,TPM
AT5G60850,27.75,SRR653576,light-grown seedling,TPM
AT5G60850,27.59,SRR653577,light-grown seedling,TPM
AT5G60850,27.58,SRR1019437,dark-grown seedling,TPM
AT5G60850,26.96,SRR446034,leaf,TPM
AT5G60850,26.78,SRR653578,light-grown seedling,TPM
AT5G60850,26.77,SRR584129,light-grown seedling,TPM
AT5G60850,26.24,SRR653564,light-grown seedling,TPM
AT5G60850,25.66,SRR1105823,leaf,TPM
AT5G60850,25.53,SRR924656,leaf,TPM
AT5G60850,23.94,SRR800754,stage 12 inflorescence,TPM
AT5G60850,23.86,ERR274309,root,TPM
AT5G60850,23.27,SRR515073,light-grown seedling,TPM
AT5G60850,23.23,SRR934391,leaf,TPM
AT5G60850,23.12,SRR314815,stage 12 inflorescence,TPM
AT5G60850,21.8,SRR346552,light-grown seedling,TPM
AT5G60850,20.98,SRR1105822,leaf,TPM
AT5G60850,20.94,SRR446033,leaf,TPM
AT5G60850,20.32,SRR070571,light-grown seedling,TPM
AT5G60850,19.91,SRR847504,aerial,TPM
AT5G60850,19.68,SRR847503,aerial,TPM
AT5G60850,19.17,SRR797230,light-grown seedling,TPM
AT5G60850,18.71,SRR346553,light-grown seedling,TPM
AT5G60850,18.23,SRR653574,light-grown seedling,TPM
AT5G60850,17.9,SRR1159821,leaf,TPM
AT5G60850,17.86,SRR653569,light-grown seedling,TPM
AT5G60850,17.69,SRR070570,light-grown seedling,TPM
AT5G60850,17.54,SRR548277,aerial,TPM
AT5G60850,17.33,SRR833246,light-grown seedling,TPM
AT5G60850,17.03,SRR653570,light-grown seedling,TPM
