,gene_id,light-grown seedling,dark-grown seedling,leaf,root,shoot apical meristem,root apical meristem
ACO1,AT2G19590,5.05,10.7228571428571,1.43458333333333,60.6057142857143,1.46,2.95
AP2EREBP_AT1G77200_col_a,AT1G77200,2.04177777777778,7.66,0.812083333333333,1.33,2.41,8.70666666666667
AP2EREBP_At4g16750_col_a,AT4G16750,4.46088888888889,6.64142857142857,3.7725,6.22285714285714,8.305,2.42333333333333
AP2EREBP_At4g32800_col,AT4G32800,7.174,1.01142857142857,31.7254166666667,9.45,9.275,0.693333333333333
AP2EREBP_CEJ1_col_a,AT3G50260,9.53888888888889,20.2057142857143,17.0970833333333,39.79,0.69,150.106666666667
AP2EREBP_TINY_col_a,AT5G25810,8.59044444444444,4.87714285714286,1.83458333333333,31.6671428571429,1.2575,30.8033333333333
C2C2dof_DAG2_col_a,AT2G46590,8.19177777777778,25.5014285714286,4.96833333333333,22.8014285714286,10.835,3.44333333333333
C2C2dof_OBP4_col_a,AT5G60850,17.9268888888889,33.9857142857143,37.3433333333333,14.3628571428571,8.295,7.55333333333333
CPP_TCX2_col_a,AT4G14770,10.7764444444444,5.24714285714286,5.00208333333333,9.89142857142857,21.5625,0.886666666666667
MYB_MYB67_col_a,AT3G12720,1.43044444444444,0.25,0.0183333333333333,9.64714285714286,0.06,0.0166666666666667
MYB_MYB77_col_a,AT3G50060,8.66533333333333,3.80571428571429,22.8858333333333,13.9285714285714,13.2725,4.29
WRKY_WRKY15_col_b,AT2G23320,43.9811111111111,55.9128571428571,66.095,47.8885714285714,17.19,127.693333333333
WRKY_WRKY18_col_a,AT4G31800,28.5091111111111,16.5871428571429,89.67125,38.1671428571429,7.59,5.06
WRKY_WRKY22_col,AT4G01250,8.86,28.4742857142857,13.8045833333333,6.97285714285714,3.4025,5.03
WRKY_WRKY40_col,AT1G80840,10.5095555555556,16.5785714285714,60.7529166666667,56.0528571428571,1.2725,9.21333333333333
WRKY_WRKY71_col_a,AT1G29860,0.322888888888889,0.578571428571429,0.237083333333333,3.57428571428571,0.2975,0.11
WRKY_WRKY75_col_a,AT5G13080,4.30977777777778,21.9228571428571,2.40541666666667,37.3642857142857,0,61.7833333333333
ZFHD_ATHB23_col_b,AT5G39760,11.4075555555556,16.6728571428571,13.67875,7.34857142857143,9.4725,15.5233333333333
ZFHD_ATHB25_col_a,AT5G65410,21.0286666666667,10.29,12.21,0.07,45.675,0.35
