gene_id,expressionLevel,SRAaccession,experiment_tissue,unit
AT4G04890,147.71,SRR1207194,carpel,TPM
AT4G04890,139.61,SRR1207195,carpel,TPM
AT4G04890,67.4,SRR446485,leaf,TPM
AT4G04890,65.33,SRR446487,leaf,TPM
AT4G04890,64.75,SRR847503,aerial,TPM
AT4G04890,62.93,SRR847504,aerial,TPM
AT4G04890,62.6,SRR653571,light-grown seedling,TPM
AT4G04890,59.63,SRR847505,aerial,TPM
AT4G04890,58.24,SRR949988,shoot apical meristem,TPM
AT4G04890,58.2,SRR653570,light-grown seedling,TPM
AT4G04890,58.08,SRR949989,shoot apical meristem,TPM
AT4G04890,57.33,SRR653556,light-grown seedling,TPM
AT4G04890,57.25,SRR847506,aerial,TPM
AT4G04890,57.15,SRR515073,light-grown seedling,TPM
AT4G04890,55.64,SRR653572,light-grown seedling,TPM
AT4G04890,55.58,SRR949956,shoot apical meristem,TPM
AT4G04890,54.8,SRR515074,light-grown seedling,TPM
AT4G04890,54.3,SRR584121,light-grown seedling,TPM
AT4G04890,53.15,SRR653569,light-grown seedling,TPM
AT4G04890,53.11,SRR653565,light-grown seedling,TPM
AT4G04890,52.86,SRR653557,light-grown seedling,TPM
AT4G04890,52.18,SRR949965,shoot apical meristem,TPM
AT4G04890,52.14,SRR653555,light-grown seedling,TPM
AT4G04890,52.1,SRR653564,light-grown seedling,TPM
AT4G04890,51.95,SRR653567,light-grown seedling,TPM
AT4G04890,51.54,SRR653568,light-grown seedling,TPM
AT4G04890,50.74,SRR653566,light-grown seedling,TPM
AT4G04890,48.9,SRR653573,light-grown seedling,TPM
AT4G04890,48.8,SRR584115,light-grown seedling,TPM
AT4G04890,48.8,SRR653577,light-grown seedling,TPM
AT4G04890,48.71,SRR346552,light-grown seedling,TPM
AT4G04890,48.65,SRR653575,light-grown seedling,TPM
AT4G04890,48.57,SRR924656,leaf,TPM
AT4G04890,47.45,SRR653574,light-grown seedling,TPM
