gene_id,expressionLevel,SRAaccession,experiment_tissue,unit
AT5G45580,21.72,SRR314814,root,TPM
AT5G45580,16.82,SRR1524935,root,TPM
AT5G45580,16.81,SRR1524938,root,TPM
AT5G45580,16.75,SRR1261509,root apical meristem,TPM
AT5G45580,16.46,SRR1524940,root,TPM
AT5G45580,11.14,ERR274309,root,TPM
AT5G45580,9.54,SRR1046910,root,TPM
AT5G45580,6.6,SRR1260033,root apical meristem,TPM
AT5G45580,5.77,SRR1046909,root,TPM
AT5G45580,5.59,SRR493237,dark-grown seedling,TPM
AT5G45580,4.15,SRR401417,receptacle,TPM
AT5G45580,3.67,SRR1019221,light-grown seedling,TPM
AT5G45580,3.61,SRR401418,receptacle,TPM
AT5G45580,3.4,SRR1260032,root apical meristem,TPM
AT5G45580,3.37,SRR493238,dark-grown seedling,TPM
AT5G45580,3.36,SRR584129,light-grown seedling,TPM
AT5G45580,3.23,SRR401419,receptacle,TPM
AT5G45580,3.12,SRR401413,receptacle,TPM
AT5G45580,3.11,SRR401416,receptacle,TPM
AT5G45580,2.93,SRR653563,light-grown seedling,TPM
AT5G45580,2.72,SRR653577,light-grown seedling,TPM
AT5G45580,2.63,SRR314815,stage 12 inflorescence,TPM
AT5G45580,2.51,SRR1019437,dark-grown seedling,TPM
AT5G45580,2.29,SRR653571,light-grown seedling,TPM
AT5G45580,2.24,SRR401414,receptacle,TPM
AT5G45580,2.2,SRR401420,receptacle,TPM
AT5G45580,2.04,SRR764885,leaf,TPM
AT5G45580,1.97,SRR653567,light-grown seedling,TPM
AT5G45580,1.88,SRR401415,receptacle,TPM
AT5G45580,1.84,SRR653557,light-grown seedling,TPM
AT5G45580,1.79,SRR584134,light-grown seedling,TPM
AT5G45580,1.76,SRR584115,light-grown seedling,TPM
AT5G45580,1.74,SRR653569,light-grown seedling,TPM
AT5G45580,1.74,SRR653570,light-grown seedling,TPM
AT5G45580,1.65,SRR653565,light-grown seedling,TPM
AT5G45580,1.6,SRR401421,receptacle,TPM
AT5G45580,1.6,SRR515074,light-grown seedling,TPM
AT5G45580,1.54,SRR653568,light-grown seedling,TPM
AT5G45580,1.52,SRR1001909,light-grown seedling,TPM
AT5G45580,1.52,SRR653555,light-grown seedling,TPM
AT5G45580,1.5,SRR653556,light-grown seedling,TPM
AT5G45580,1.5,SRR653573,light-grown seedling,TPM
AT5G45580,1.48,SRR1207194,carpel,TPM
AT5G45580,1.4,SRR653561,light-grown seedling,TPM
AT5G45580,1.27,SRR1207195,carpel,TPM
AT5G45580,1.23,SRR797230,light-grown seedling,TPM
AT5G45580,1.22,SRR833246,light-grown seedling,TPM
AT5G45580,1.2,SRR653562,light-grown seedling,TPM
AT5G45580,1.17,SRR653574,light-grown seedling,TPM
AT5G45580,1.16,SRR653575,light-grown seedling,TPM
AT5G45580,1.1,SRR653572,light-grown seedling,TPM
AT5G45580,1.03,SRR1019436,dark-grown seedling,TPM
AT5G45580,1.02,SRR346552,light-grown seedling,TPM
AT5G45580,0.98,SRR653578,light-grown seedling,TPM
AT5G45580,0.97,SRR493098,leaf,TPM
AT5G45580,0.9,SRR1001910,light-grown seedling,TPM
AT5G45580,0.89,SRR800754,stage 12 inflorescence,TPM
AT5G45580,0.87,SRR653566,light-grown seedling,TPM
AT5G45580,0.84,SRR477076,dark-grown seedling,TPM
AT5G45580,0.8,SRR346553,light-grown seedling,TPM
AT5G45580,0.8,SRR477075,dark-grown seedling,TPM
AT5G45580,0.75,SRR1159827,leaf,TPM
AT5G45580,0.75,SRR949956,shoot apical meristem,TPM
AT5G45580,0.73,SRR949988,shoot apical meristem,TPM
AT5G45580,0.72,SRR653576,light-grown seedling,TPM
AT5G45580,0.71,SRR949989,shoot apical meristem,TPM
AT5G45580,0.69,SRR584121,light-grown seedling,TPM
AT5G45580,0.67,SRR847506,aerial,TPM
AT5G45580,0.65,SRR1105822,leaf,TPM
AT5G45580,0.64,SRR504181,light-grown seedling,TPM
AT5G45580,0.62,SRR504180,light-grown seedling,TPM
AT5G45580,0.61,SRR800753,stage 12 inflorescence,TPM
AT5G45580,0.6,SRR493036,leaf,TPM
AT5G45580,0.58,SRR1049784,dark-grown seedling,TPM
AT5G45580,0.55,SRR653564,light-grown seedling,TPM
AT5G45580,0.54,SRR314813,leaf,TPM
AT5G45580,0.51,SRR942022,leaf,TPM
AT5G45580,0.44,SRR504179,light-grown seedling,TPM
AT5G45580,0.43,SRR847503,aerial,TPM
AT5G45580,0.42,SRR345562,light-grown seedling,TPM
AT5G45580,0.42,SRR847504,aerial,TPM
AT5G45580,0.41,SRR924656,leaf,TPM
AT5G45580,0.37,SRR1105823,leaf,TPM
AT5G45580,0.37,SRR446487,leaf,TPM
AT5G45580,0.37,SRR548277,aerial,TPM
AT5G45580,0.36,SRR934391,leaf,TPM
AT5G45580,0.35,ERR274310,aerial,TPM
AT5G45580,0.3,SRR394082,light-grown seedling,TPM
AT5G45580,0.28,SRR547531,aerial,TPM
AT5G45580,0.26,SRR493097,leaf,TPM
