gene_id,expressionLevel,SRAaccession,experiment_tissue,unit
AT1G62380,5460.07,SRR1019437,dark-grown seedling,TPM
AT1G62380,4852.23,SRR1019436,dark-grown seedling,TPM
AT1G62380,2434.12,SRR477075,dark-grown seedling,TPM
AT1G62380,2375.61,SRR477076,dark-grown seedling,TPM
AT1G62380,1640.26,SRR493237,dark-grown seedling,TPM
AT1G62380,1524.02,SRR797230,light-grown seedling,TPM
AT1G62380,1420.46,SRR833246,light-grown seedling,TPM
AT1G62380,1381.39,SRR493238,dark-grown seedling,TPM
AT1G62380,1123.42,SRR401414,receptacle,TPM
AT1G62380,1106.61,SRR401415,receptacle,TPM
AT1G62380,1104.61,SRR401413,receptacle,TPM
AT1G62380,966.77,SRR401417,receptacle,TPM
AT1G62380,956.02,SRR401416,receptacle,TPM
AT1G62380,949.39,SRR401418,receptacle,TPM
AT1G62380,897.52,SRR401420,receptacle,TPM
AT1G62380,871.29,SRR401419,receptacle,TPM
AT1G62380,869.62,SRR401421,receptacle,TPM
AT1G62380,845.36,SRR584115,light-grown seedling,TPM
AT1G62380,704.91,SRR584134,light-grown seedling,TPM
AT1G62380,694.25,SRR584129,light-grown seedling,TPM
AT1G62380,625.92,SRR764885,leaf,TPM
AT1G62380,613.66,SRR797194,light-grown seedling,TPM
AT1G62380,598.47,SRR942022,leaf,TPM
AT1G62380,578.82,SRR584121,light-grown seedling,TPM
AT1G62380,457.29,SRR515074,light-grown seedling,TPM
AT1G62380,415.31,SRR1524938,root,TPM
AT1G62380,410.85,SRR1001909,light-grown seedling,TPM
AT1G62380,401.27,SRR515073,light-grown seedling,TPM
AT1G62380,400.56,SRR1524940,root,TPM
AT1G62380,388.52,SRR1524935,root,TPM
AT1G62380,385.6,SRR1049784,dark-grown seedling,TPM
AT1G62380,366.19,ERR274310,aerial,TPM
AT1G62380,352.93,SRR653573,light-grown seedling,TPM
AT1G62380,349.23,SRR924656,leaf,TPM
AT1G62380,344.54,SRR1001910,light-grown seedling,TPM
AT1G62380,333.63,SRR653562,light-grown seedling,TPM
AT1G62380,319.36,SRR653574,light-grown seedling,TPM
AT1G62380,317.19,SRR653577,light-grown seedling,TPM
AT1G62380,312.78,SRR653563,light-grown seedling,TPM
