gene_id,expressionLevel,SRAaccession,experiment_tissue,unit
AT2G23290,45.93,SRR1207195,carpel,TPM
AT2G23290,34.4,SRR1207194,carpel,TPM
AT2G23290,31.32,SRR1260033,root apical meristem,TPM
AT2G23290,28.37,SRR1159827,leaf,TPM
AT2G23290,27.0,ERR274310,aerial,TPM
AT2G23290,22.56,SRR515074,light-grown seedling,TPM
AT2G23290,22.04,SRR584134,light-grown seedling,TPM
AT2G23290,21.88,SRR515073,light-grown seedling,TPM
AT2G23290,21.4,SRR493097,leaf,TPM
AT2G23290,21.07,ERR274309,root,TPM
AT2G23290,20.23,SRR446034,leaf,TPM
AT2G23290,20.16,SRR1019436,dark-grown seedling,TPM
AT2G23290,19.65,SRR1019437,dark-grown seedling,TPM
AT2G23290,18.25,SRR800753,stage 12 inflorescence,TPM
AT2G23290,18.02,SRR797230,light-grown seedling,TPM
AT2G23290,17.77,SRR493036,leaf,TPM
AT2G23290,17.62,SRR800754,stage 12 inflorescence,TPM
AT2G23290,16.55,SRR314815,stage 12 inflorescence,TPM
AT2G23290,16.35,SRR653573,light-grown seedling,TPM
AT2G23290,16.13,SRR401415,receptacle,TPM
AT2G23290,16.1,SRR653574,light-grown seedling,TPM
AT2G23290,15.72,SRR653577,light-grown seedling,TPM
AT2G23290,15.67,SRR401420,receptacle,TPM
AT2G23290,15.65,SRR401419,receptacle,TPM
AT2G23290,15.61,SRR493237,dark-grown seedling,TPM
AT2G23290,15.04,SRR401414,receptacle,TPM
AT2G23290,14.77,SRR401413,receptacle,TPM
AT2G23290,14.69,SRR949965,shoot apical meristem,TPM
AT2G23290,14.65,SRR653575,light-grown seedling,TPM
AT2G23290,14.25,SRR401421,receptacle,TPM
AT2G23290,14.12,SRR847505,aerial,TPM
AT2G23290,14.05,SRR1159837,leaf,TPM
AT2G23290,14.02,SRR1001910,light-grown seedling,TPM
AT2G23290,13.22,SRR833246,light-grown seedling,TPM
AT2G23290,13.02,SRR504180,light-grown seedling,TPM
AT2G23290,13.01,SRR584115,light-grown seedling,TPM
AT2G23290,12.99,SRR1260032,root apical meristem,TPM
AT2G23290,12.94,SRR653578,light-grown seedling,TPM
AT2G23290,12.84,SRR584129,light-grown seedling,TPM
AT2G23290,12.56,SRR949956,shoot apical meristem,TPM
AT2G23290,12.55,SRR653576,light-grown seedling,TPM
AT2G23290,12.52,SRR314813,leaf,TPM
AT2G23290,12.31,SRR847506,aerial,TPM
AT2G23290,12.19,SRR401418,receptacle,TPM
AT2G23290,12.09,SRR401416,receptacle,TPM
AT2G23290,11.88,SRR446033,leaf,TPM
AT2G23290,11.86,SRR493238,dark-grown seedling,TPM
AT2G23290,11.73,SRR394082,light-grown seedling,TPM
AT2G23290,11.55,SRR346553,light-grown seedling,TPM
AT2G23290,11.31,SRR924656,leaf,TPM
AT2G23290,11.17,SRR942022,leaf,TPM
AT2G23290,10.86,SRR493098,leaf,TPM
AT2G23290,10.71,SRR446028,leaf,TPM
AT2G23290,10.6,SRR401417,receptacle,TPM
AT2G23290,10.32,SRR493101,leaf,TPM
AT2G23290,9.88,SRR477076,dark-grown seedling,TPM
AT2G23290,9.79,SRR548277,aerial,TPM
AT2G23290,9.75,SRR584121,light-grown seedling,TPM
AT2G23290,9.74,SRR477075,dark-grown seedling,TPM
AT2G23290,9.52,SRR847504,aerial,TPM
AT2G23290,9.45,SRR653568,light-grown seedling,TPM
AT2G23290,9.45,SRR847503,aerial,TPM
AT2G23290,9.2,SRR1001909,light-grown seedling,TPM
AT2G23290,9.19,SRR446485,leaf,TPM
AT2G23290,9.08,SRR1524935,root,TPM
AT2G23290,9.03,SRR653564,light-grown seedling,TPM
AT2G23290,9.01,SRR1524938,root,TPM
AT2G23290,8.78,SRR653566,light-grown seedling,TPM
AT2G23290,8.74,SRR653563,light-grown seedling,TPM
AT2G23290,8.68,SRR653565,light-grown seedling,TPM
AT2G23290,8.6,SRR949989,shoot apical meristem,TPM
AT2G23290,8.56,SRR653556,light-grown seedling,TPM
AT2G23290,8.45,SRR314814,root,TPM
AT2G23290,8.33,SRR346552,light-grown seedling,TPM
AT2G23290,8.29,SRR797194,light-grown seedling,TPM
AT2G23290,8.26,SRR653569,light-grown seedling,TPM
AT2G23290,8.21,SRR446027,leaf,TPM
AT2G23290,8.09,SRR1524940,root,TPM
AT2G23290,8.08,SRR1159821,leaf,TPM
AT2G23290,8.05,SRR1046910,root,TPM
AT2G23290,7.91,SRR1105822,leaf,TPM
AT2G23290,7.79,SRR446487,leaf,TPM
AT2G23290,7.73,SRR764885,leaf,TPM
AT2G23290,7.69,SRR1046909,root,TPM
AT2G23290,7.49,SRR653567,light-grown seedling,TPM
AT2G23290,7.47,SRR653557,light-grown seedling,TPM
AT2G23290,7.46,SRR653562,light-grown seedling,TPM
AT2G23290,7.37,SRR1019221,light-grown seedling,TPM
AT2G23290,7.3,SRR504181,light-grown seedling,TPM
AT2G23290,7.16,SRR446486,leaf,TPM
AT2G23290,7.13,SRR446040,leaf,TPM
AT2G23290,7.0,SRR1105823,leaf,TPM
AT2G23290,6.95,SRR653561,light-grown seedling,TPM
