gene_id,expressionLevel,SRAaccession,experiment_tissue,unit
AT3G50060,189.46,SRR1207195,carpel,TPM
AT3G50060,129.89,SRR1159827,leaf,TPM
AT3G50060,110.01,SRR1207194,carpel,TPM
AT3G50060,81.66,SRR942022,leaf,TPM
AT3G50060,78.63,ERR274310,aerial,TPM
AT3G50060,50.85,SRR584115,light-grown seedling,TPM
AT3G50060,47.61,SRR493036,leaf,TPM
AT3G50060,47.38,SRR847506,aerial,TPM
AT3G50060,41.99,SRR847505,aerial,TPM
AT3G50060,39.54,SRR504181,light-grown seedling,TPM
AT3G50060,33.85,SRR493097,leaf,TPM
AT3G50060,33.19,SRR446034,leaf,TPM
AT3G50060,30.39,SRR1524940,root,TPM
AT3G50060,25.68,SRR1524938,root,TPM
AT3G50060,24.62,SRR797230,light-grown seedling,TPM
AT3G50060,23.18,SRR446028,leaf,TPM
AT3G50060,22.93,SRR401413,receptacle,TPM
AT3G50060,22.54,SRR314813,leaf,TPM
AT3G50060,22.41,SRR401415,receptacle,TPM
AT3G50060,22.39,SRR401414,receptacle,TPM
AT3G50060,20.11,SRR800754,stage 12 inflorescence,TPM
AT3G50060,18.35,SRR401419,receptacle,TPM
AT3G50060,18.17,SRR401421,receptacle,TPM
AT3G50060,18.16,SRR314815,stage 12 inflorescence,TPM
AT3G50060,18.11,ERR274309,root,TPM
AT3G50060,17.56,SRR401420,receptacle,TPM
AT3G50060,17.21,SRR493098,leaf,TPM
AT3G50060,16.97,SRR800753,stage 12 inflorescence,TPM
AT3G50060,16.45,SRR934391,leaf,TPM
AT3G50060,16.43,SRR493101,leaf,TPM
AT3G50060,16.38,SRR401416,receptacle,TPM
AT3G50060,15.95,SRR1159821,leaf,TPM
AT3G50060,15.56,SRR504180,light-grown seedling,TPM
AT3G50060,15.51,SRR833246,light-grown seedling,TPM
AT3G50060,15.48,SRR401418,receptacle,TPM
AT3G50060,15.2,SRR584134,light-grown seedling,TPM
AT3G50060,15.13,SRR1524935,root,TPM
AT3G50060,14.87,SRR949988,shoot apical meristem,TPM
AT3G50060,14.53,SRR401417,receptacle,TPM
AT3G50060,13.33,SRR949956,shoot apical meristem,TPM
AT3G50060,13.09,SRR924656,leaf,TPM
AT3G50060,12.62,SRR949989,shoot apical meristem,TPM
AT3G50060,12.6,SRR446027,leaf,TPM
AT3G50060,12.39,SRR346552,light-grown seedling,TPM
AT3G50060,12.27,SRR949965,shoot apical meristem,TPM
AT3G50060,11.97,SRR394082,light-grown seedling,TPM
AT3G50060,11.96,SRR584129,light-grown seedling,TPM
AT3G50060,11.86,SRR1159837,leaf,TPM
AT3G50060,11.02,SRR797194,light-grown seedling,TPM
AT3G50060,10.84,SRR515074,light-grown seedling,TPM
AT3G50060,10.18,SRR446040,leaf,TPM
AT3G50060,10.14,SRR446486,leaf,TPM
AT3G50060,9.72,SRR346553,light-grown seedling,TPM
AT3G50060,9.53,SRR1001910,light-grown seedling,TPM
AT3G50060,9.49,SRR548277,aerial,TPM
AT3G50060,9.43,SRR847504,aerial,TPM
AT3G50060,9.42,SRR847503,aerial,TPM
AT3G50060,9.18,SRR515073,light-grown seedling,TPM
AT3G50060,9.0,SRR1105822,leaf,TPM
AT3G50060,8.48,SRR446033,leaf,TPM
AT3G50060,8.38,SRR584121,light-grown seedling,TPM
AT3G50060,8.04,SRR653578,light-grown seedling,TPM
AT3G50060,8.03,SRR1105823,leaf,TPM
AT3G50060,7.92,SRR653573,light-grown seedling,TPM
AT3G50060,7.23,SRR653577,light-grown seedling,TPM
AT3G50060,6.98,SRR446039,leaf,TPM
AT3G50060,6.85,SRR653574,light-grown seedling,TPM
AT3G50060,6.64,SRR653556,light-grown seedling,TPM
AT3G50060,6.37,SRR653576,light-grown seedling,TPM
AT3G50060,6.32,SRR1260033,root apical meristem,TPM
AT3G50060,6.15,SRR653575,light-grown seedling,TPM
AT3G50060,5.95,SRR446487,leaf,TPM
AT3G50060,5.87,SRR504179,light-grown seedling,TPM
AT3G50060,5.57,SRR446484,leaf,TPM
AT3G50060,5.44,SRR547531,aerial,TPM
AT3G50060,5.26,SRR653555,light-grown seedling,TPM
AT3G50060,5.11,SRR653562,light-grown seedling,TPM
AT3G50060,5.1,SRR1001909,light-grown seedling,TPM
AT3G50060,5.07,SRR653561,light-grown seedling,TPM
AT3G50060,5.02,SRR446485,leaf,TPM
AT3G50060,4.86,SRR493237,dark-grown seedling,TPM
AT3G50060,4.85,SRR653557,light-grown seedling,TPM
AT3G50060,4.78,SRR1019437,dark-grown seedling,TPM
AT3G50060,4.67,SRR653565,light-grown seedling,TPM
AT3G50060,4.6,SRR653568,light-grown seedling,TPM
AT3G50060,4.59,SRR653569,light-grown seedling,TPM
AT3G50060,4.46,SRR477076,dark-grown seedling,TPM
AT3G50060,4.44,SRR477075,dark-grown seedling,TPM
AT3G50060,4.42,SRR1260032,root apical meristem,TPM
AT3G50060,4.4,SRR1019221,light-grown seedling,TPM
AT3G50060,4.4,SRR764885,leaf,TPM
AT3G50060,4.33,SRR653566,light-grown seedling,TPM
AT3G50060,4.24,SRR653564,light-grown seedling,TPM
AT3G50060,4.14,SRR653567,light-grown seedling,TPM
AT3G50060,4.1,SRR653570,light-grown seedling,TPM
AT3G50060,4.05,SRR653572,light-grown seedling,TPM
AT3G50060,4.0,SRR1019436,dark-grown seedling,TPM
AT3G50060,3.95,SRR653563,light-grown seedling,TPM
AT3G50060,3.63,SRR653571,light-grown seedling,TPM
AT3G50060,3.32,SRR493238,dark-grown seedling,TPM
AT3G50060,3.29,SRR314814,root,TPM
AT3G50060,3.16,SRR1046910,root,TPM
AT3G50060,2.13,SRR1261509,root apical meristem,TPM
AT3G50060,1.91,SRR070571,light-grown seedling,TPM
AT3G50060,1.87,SRR070570,light-grown seedling,TPM
AT3G50060,1.74,SRR1046909,root,TPM
AT3G50060,1.25,SRR345561,light-grown seedling,TPM
AT3G50060,0.88,SRR345562,light-grown seedling,TPM
AT3G50060,0.78,SRR1049784,dark-grown seedling,TPM
