gene_id,expressionLevel,SRAaccession,experiment_tissue,unit
AT2G19590,128.77,SRR1524940,root,TPM
AT2G19590,120.44,SRR1524938,root,TPM
AT2G19590,116.91,SRR1524935,root,TPM
AT2G19590,35.17,SRR584115,light-grown seedling,TPM
AT2G19590,32.78,SRR584129,light-grown seedling,TPM
AT2G19590,31.1,SRR1019436,dark-grown seedling,TPM
AT2G19590,25.55,ERR274309,root,TPM
AT2G19590,15.65,SRR584134,light-grown seedling,TPM
AT2G19590,13.0,SRR1019437,dark-grown seedling,TPM
AT2G19590,12.0,SRR1046909,root,TPM
AT2G19590,10.61,SRR1046910,root,TPM
AT2G19590,10.08,SRR833246,light-grown seedling,TPM
AT2G19590,9.96,SRR314814,root,TPM
AT2G19590,8.71,SRR797230,light-grown seedling,TPM
AT2G19590,8.44,SRR493238,dark-grown seedling,TPM
AT2G19590,7.78,SRR493237,dark-grown seedling,TPM
AT2G19590,7.55,SRR1019221,light-grown seedling,TPM
AT2G19590,6.62,SRR477076,dark-grown seedling,TPM
AT2G19590,6.17,SRR477075,dark-grown seedling,TPM
AT2G19590,6.02,SRR1261509,root apical meristem,TPM
AT2G19590,5.43,SRR1001909,light-grown seedling,TPM
AT2G19590,5.38,SRR1001910,light-grown seedling,TPM
AT2G19590,5.33,SRR653574,light-grown seedling,TPM
AT2G19590,5.21,SRR401416,receptacle,TPM
AT2G19590,5.07,SRR653557,light-grown seedling,TPM
AT2G19590,4.84,SRR401418,receptacle,TPM
AT2G19590,4.78,SRR401417,receptacle,TPM
AT2G19590,4.73,SRR493036,leaf,TPM
AT2G19590,4.66,SRR653555,light-grown seedling,TPM
AT2G19590,4.55,SRR942022,leaf,TPM
AT2G19590,4.43,SRR653556,light-grown seedling,TPM
AT2G19590,4.38,SRR401414,receptacle,TPM
AT2G19590,4.37,SRR653572,light-grown seedling,TPM
AT2G19590,4.34,SRR653571,light-grown seedling,TPM
AT2G19590,4.32,SRR653573,light-grown seedling,TPM
AT2G19590,4.16,SRR653575,light-grown seedling,TPM
AT2G19590,4.03,SRR653567,light-grown seedling,TPM
AT2G19590,4.02,SRR653577,light-grown seedling,TPM
AT2G19590,3.92,ERR274310,aerial,TPM
AT2G19590,3.91,SRR1105822,leaf,TPM
AT2G19590,3.88,SRR1105823,leaf,TPM
AT2G19590,3.87,SRR653568,light-grown seedling,TPM
AT2G19590,3.86,SRR653578,light-grown seedling,TPM
AT2G19590,3.81,SRR547531,aerial,TPM
AT2G19590,3.77,SRR584121,light-grown seedling,TPM
AT2G19590,3.76,SRR401420,receptacle,TPM
AT2G19590,3.75,SRR346552,light-grown seedling,TPM
AT2G19590,3.69,SRR653570,light-grown seedling,TPM
AT2G19590,3.56,SRR653569,light-grown seedling,TPM
